Author,and,the,me,from,these,had,now,also,thee,her,said,unto,of,lord,have,for,not,that,thou,in,therefore,if,it,will,again,with,but,shall,shalt,when,was,he,out,to,him,which,is,did,wherefore,all,say,god,my,they,were,into,thence,as,every,by,thy,whatsoever,an,upon,thus,his,hath,how,whom,or,be,among,who,let,like,what,hast,them,must,whence,man,should,neither,do,make,there,no,according,himself,other,their,whose,are,forth,many,than,would,thereof,because,one,moreover,then,thine,may,we,seemeth,ye,your,more,our,yet,outward,till,wherewith,became,yea,those,where,verily,thyself,without,therein,doeth,been,whither,could,some,being,cometh,whosoever,ever,lest,wherein,therewith,notwithstanding,once,whereof,didst,each,inasmuch,downward,abundance,whereto,seest,thereby,shouldest,hence,howsoever,throughout,becometh,whereby,henceforth,thereon,thereupon,thereunto,oft,oftentimes,such,underneath,whereunto,much,wherewithal,whensoever,hereof,whereon,soever,forthwith,therefrom,wheresoever,whoso,upward,ought,a_percentage_use,n_percentage_use,d_percentage_use,t_percentage_use,h_percentage_use,e_percentage_use,s_percentage_use,w_percentage_use,m_percentage_use,u_percentage_use,r_percentage_use,f_percentage_use,o_percentage_use,i_percentage_use,l_percentage_use,y_percentage_use,v_percentage_use,b_percentage_use,g_percentage_use,k_percentage_use,p_percentage_use,c_percentage_use,j_percentage_use,z_percentage_use,x_percentage_use,q_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
Moses,118.0,83.0,22.0,9.0,2.0,4.0,6.0,3.0,19.0,1.0,33.0,34.0,51.0,16.0,6.0,4.0,21.0,22.0,13.0,12.0,3.0,2.0,10.0,8.0,2.0,8.0,10.0,30.0,4.0,3.0,2.0,43.0,8.0,25.0,19.0,9.0,9.0,3.0,1.0,7.0,2.0,12.0,4.0,2.0,3.0,4.0,3.0,13.0,4.0,5.0,7.0,1.0,3.0,2.0,2.0,23.0,21.0,3.0,2.0,3.0,8.0,2.0,2.0,2.0,1.0,5.0,3.0,12.0,2.0,1.0,4.0,2.0,4.0,5.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11175400892709539,0.06695321540750537,0.050917507025954704,0.09191601917672343,0.08282360720780295,0.11555629029591669,0.058852702926103485,0.01570507521904447,0.03157546701934204,0.025954703256736652,0.043312944288312116,0.016862291287816168,0.07521904447016035,0.053727888907257396,0.052240039675979504,0.010745577781451479,0.006116713506364688,0.025293436931724252,0.014713175731525871,0.012233427012729376,0.01653165812530997,0.01620102496280377,0.0016531658125309968,0.000495949743759299,0.000495949743759299,0.00016531658125309968,1545,3.915210355987055,26.551724137931036,879.9980162010248
Joshua,16.0,34.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,9.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0851581508515815,0.08637469586374696,0.06326034063260341,0.11313868613138686,0.08637469586374696,0.12165450121654502,0.052311435523114354,0.027980535279805353,0.015815085158150853,0.019464720194647202,0.05474452554744526,0.031630170316301706,0.10218978102189781,0.0413625304136253,0.021897810218978103,0.006082725060827251,0.006082725060827251,0.019464720194647202,0.015815085158150853,0.0012165450121654502,0.004866180048661801,0.014598540145985401,0.0072992700729927005,0.0,0.0,0.0012165450121654502,198,4.151515151515151,33.0,103.00000000000001
Samuel,48.0,39.0,6.0,2.0,1.0,2.0,0.0,1.0,5.0,0.0,9.0,7.0,26.0,4.0,1.0,4.0,4.0,5.0,5.0,6.0,0.0,0.0,2.0,6.0,0.0,10.0,3.0,1.0,0.0,2.0,2.0,13.0,7.0,14.0,12.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,4.0,0.0,1.0,2.0,0.0,13.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09784324039978959,0.06365071015255129,0.07417148869016307,0.09836927932667017,0.09153077327722252,0.10362966859547607,0.0583903208837454,0.019989479221462388,0.028406102051551814,0.02472382956338769,0.035244608100999476,0.026827985270910047,0.07206733298264072,0.08890057864281957,0.035244608100999476,0.007364544976328248,0.016833245660178853,0.01209889531825355,0.011572856391372961,0.004208311415044713,0.013677012098895318,0.011572856391372961,0.0,0.0,0.0,0.0,514,3.698443579766537,34.0,299.99631772751184
Unknown,16.0,24.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,11.0,0.0,0.0,4.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,4.0,0.0,4.0,2.0,0.0,1.0,1.0,1.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09464082098061574,0.06955530216647662,0.05701254275940707,0.10718358038768529,0.07639680729760548,0.11174458380843785,0.046750285062713795,0.02280501710376283,0.01596351197263398,0.03534777651083238,0.04561003420752566,0.028506271379703536,0.07525655644241733,0.06043329532497149,0.03876852907639681,0.01710376282782212,0.005701254275940707,0.019384264538198404,0.018244013683010263,0.0068415051311288486,0.02394526795895097,0.014823261117445839,0.0034207525655644243,0.0011402508551881414,0.0,0.0,220,3.9863636363636363,36.5,114.9965792474344
Unknown,24.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,5.0,2.0,11.0,4.0,2.0,4.0,4.0,4.0,1.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,2.0,6.0,0.0,10.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11280487804878049,0.06707317073170732,0.06707317073170732,0.0975609756097561,0.08231707317073171,0.12398373983739837,0.047764227642276426,0.02032520325203252,0.022357723577235773,0.014227642276422764,0.051829268292682924,0.024390243902439025,0.06808943089430894,0.06504065040650407,0.044715447154471545,0.014227642276422764,0.0040650406504065045,0.013211382113821139,0.018292682926829267,0.008130081300813009,0.006097560975609756,0.02032520325203252,0.003048780487804878,0.003048780487804878,0.0,0.0,270,3.6444444444444444,33.75,158.0
Unknown,7.0,10.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,2.0,11.0,1.0,2.0,1.0,3.0,1.0,4.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,5.0,1.0,1.0,1.0,6.0,1.0,7.0,2.0,2.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10573248407643313,0.061146496815286625,0.049681528662420385,0.08152866242038216,0.10318471337579618,0.10445859872611465,0.07643312101910828,0.017834394904458598,0.017834394904458598,0.02802547770700637,0.04713375796178344,0.02165605095541401,0.06496815286624204,0.06751592356687898,0.044585987261146494,0.02165605095541401,0.008917197452229299,0.015286624203821656,0.022929936305732482,0.016560509554140127,0.006369426751592357,0.008917197452229299,0.0025477707006369425,0.003821656050955414,0.0,0.0,188,4.175531914893617,26.857142857142858,108.99872611464966
Ezra,59.0,65.0,2.0,1.0,0.0,3.0,3.0,2.0,0.0,0.0,3.0,9.0,49.0,11.0,3.0,9.0,5.0,7.0,0.0,11.0,2.0,0.0,1.0,1.0,2.0,7.0,6.0,1.0,0.0,1.0,5.0,11.0,3.0,15.0,10.0,3.0,4.0,2.0,0.0,5.0,0.0,5.0,0.0,7.0,3.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,5.0,4.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09327162691349235,0.06621573513705944,0.055535777856888575,0.09149163403346387,0.0886436454254183,0.12958348166607334,0.05909576361694553,0.014595941616233536,0.024207903168387328,0.025631897472410112,0.056247775008899964,0.028123887504449982,0.07440370238519046,0.058027767888928446,0.028835884656461374,0.014951940192239232,0.009611961552153792,0.01067995728017088,0.019223923104307584,0.008187967248131008,0.013883944464222144,0.017443930224279102,0.006051975792096832,0.004271982912068352,0.000355998576005696,0.0,678,4.14306784660767,33.85,401.99857600569607
Nehemiah,8.0,17.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09068627450980392,0.07107843137254902,0.041666666666666664,0.08823529411764706,0.11029411764705882,0.12745098039215685,0.06862745098039216,0.012254901960784314,0.024509803921568627,0.0196078431372549,0.04656862745098039,0.05392156862745098,0.09803921568627451,0.051470588235294115,0.0196078431372549,0.007352941176470588,0.012254901960784314,0.024509803921568627,0.012254901960784314,0.0024509803921568627,0.0,0.004901960784313725,0.0024509803921568627,0.00980392156862745,0.0,0.0,98,4.163265306122449,24.5,54.000000000000014
Mordecai,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12307692307692308,0.06153846153846154,0.12307692307692308,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.046153846153846156,0.03076923076923077,0.06153846153846154,0.0,0.046153846153846156,0.0,0.07692307692307693,0.07692307692307693,0.03076923076923077,0.015384615384615385,0.0,0.0,0.015384615384615385,0.0,0.0,0.06153846153846154,0.0,0.0,0.0,0.0,15,4.333333333333333,15.0,9.999999999999996
Unknown,7.0,10.0,1.0,0.0,1.0,4.0,1.0,2.0,0.0,0.0,3.0,0.0,8.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,6.0,2.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09261576971214018,0.07133917396745933,0.06508135168961202,0.07759699624530664,0.07759699624530664,0.13016270337922403,0.06633291614518148,0.03629536921151439,0.02002503128911139,0.03254067584480601,0.05506883604505632,0.02002503128911139,0.06132665832290363,0.07259073842302878,0.03254067584480601,0.01877346683354193,0.0037546933667083854,0.015018773466833541,0.01376720901126408,0.010012515644555695,0.007509386733416771,0.010012515644555695,0.006257822277847309,0.0025031289111389237,0.0,0.0,187,4.2727272727272725,18.7,97.99874843554441
David and others,14.0,22.0,6.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,5.0,9.0,9.0,0.0,5.0,3.0,9.0,5.0,3.0,0.0,0.0,6.0,2.0,0.0,7.0,4.0,1.0,0.0,3.0,0.0,9.0,3.0,5.0,7.0,1.0,4.0,0.0,0.0,1.0,0.0,2.0,8.0,4.0,0.0,2.0,0.0,7.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,12.0,1.0,0.0,0.0,0.0,14.0,1.0,0.0,22.0,4.0,0.0,1.0,8.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06692913385826772,0.05343082114735658,0.0421822272215973,0.10967379077615298,0.0843644544431946,0.1377952755905512,0.05568053993250844,0.01687289088863892,0.04049493813273341,0.024184476940382452,0.05174353205849269,0.02080989876265467,0.07367829021372328,0.06580427446569179,0.05174353205849269,0.020247469066366704,0.00843644544431946,0.01968503937007874,0.014623172103487065,0.007874015748031496,0.00843644544431946,0.02080989876265467,0.0005624296962879641,0.0,0.0011248593925759281,0.0005624296962879641,443,4.013544018058691,18.416666666666668,266.9977502812147
Solomon and others,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,2.0,6.0,5.0,6.0,3.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,6.0,0.0,7.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07062146892655367,0.06779661016949153,0.0423728813559322,0.12005649717514125,0.09322033898305085,0.11440677966101695,0.06779661016949153,0.01977401129943503,0.018361581920903956,0.02824858757062147,0.03954802259887006,0.02401129943502825,0.09887005649717515,0.05790960451977401,0.03954802259887006,0.022598870056497175,0.00847457627118644,0.015536723163841809,0.009887005649717515,0.00847457627118644,0.007062146892655367,0.018361581920903956,0.0,0.0,0.0014124293785310734,0.0,180,3.933333333333333,20.0,109.99435028248585
Solomon,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05466237942122187,0.04501607717041801,0.028938906752411574,0.10932475884244373,0.09646302250803858,0.1157556270096463,0.06430868167202572,0.022508038585209004,0.03215434083601286,0.02572347266881029,0.03858520900321544,0.04180064308681672,0.12861736334405144,0.03215434083601286,0.028938906752411574,0.03536977491961415,0.00964630225080386,0.012861736334405145,0.006430868167202572,0.01929260450160772,0.01929260450160772,0.022508038585209004,0.0,0.0,0.0,0.0,80,3.8875,26.333333333333332,40.990353697749185
Isaiah,19.0,25.0,3.0,3.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,6.0,13.0,7.0,5.0,1.0,2.0,7.0,4.0,4.0,0.0,0.0,3.0,1.0,0.0,3.0,1.0,13.0,0.0,0.0,0.0,3.0,1.0,4.0,4.0,0.0,5.0,0.0,0.0,4.0,1.0,4.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,4.0,1.0,0.0,0.0,2.0,4.0,0.0,0.0,6.0,0.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08412483039348712,0.06377204884667571,0.044097693351424695,0.10583446404341927,0.09497964721845319,0.1248303934871099,0.06784260515603799,0.014246947082767978,0.027815468113975575,0.022388059701492536,0.051560379918588875,0.018995929443690638,0.0780189959294437,0.056309362279511534,0.048846675712347354,0.018995929443690638,0.014246947082767978,0.008819538670284939,0.016282225237449117,0.008141112618724558,0.010854816824966078,0.018317503392130258,0.0,0.0,0.0,0.0,360,4.094444444444444,30.0,217.99932157394846
Jeremiah,29.0,20.0,0.0,4.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,2.0,9.0,4.0,0.0,5.0,2.0,11.0,3.0,5.0,2.0,0.0,3.0,1.0,0.0,1.0,0.0,11.0,1.0,0.0,1.0,5.0,1.0,5.0,6.0,0.0,10.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,4.0,0.0,0.0,6.0,0.0,11.0,5.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09203655352480418,0.06657963446475196,0.04699738903394256,0.09725848563968668,0.08877284595300261,0.11357702349869452,0.07180156657963446,0.015665796344647518,0.026762402088772844,0.020887728459530026,0.044386422976501305,0.02154046997389034,0.08159268929503917,0.05613577023498695,0.04569190600522193,0.022845953002610966,0.005221932114882507,0.020887728459530026,0.012402088772845953,0.007832898172323759,0.016971279373368148,0.02154046997389034,0.0013054830287206266,0.0006527415143603133,0.0,0.0,368,4.163043478260869,24.533333333333335,215.9993472584857
