Author,that,thou,shalt,of,the,all,which,thy,lord,god,thee,and,it,in,unto,shall,to,his,there,be,those,say,him,our,for,out,thine,was,my,he,into,with,became,upon,when,we,forth,an,hath,now,have,hast,me,every,is,among,they,may,then,also,them,according,not,neither,thereof,ought,but,from,as,do,these,therefore,shouldest,make,ye,thereon,are,man,or,by,because,if,will,one,himself,many,other,said,your,their,had,whom,what,how,wherefore,her,no,cometh,more,moreover,let,again,where,whose,like,yet,were,each,thus,would,did,some,such,whatsoever,been,than,who,whither,yea,being,should,could,whosoever,therein,thyself,wherein,didst,must,lest,whereof,without,ever,inasmuch,downward,abundance,whereto,seest,therewith,thence,once,thereby,outward,hence,howsoever,throughout,becometh,whereby,henceforth,till,thereupon,doeth,thereunto,wherewith,oft,oftentimes,underneath,whereunto,whence,much,wherewithal,whensoever,seemeth,hereof,notwithstanding,verily,whereon,soever,forthwith,therefrom,wheresoever,whoso,upward,t_percentage_use,h_percentage_use,a_percentage_use,o_percentage_use,u_percentage_use,s_percentage_use,l_percentage_use,k_percentage_use,e_percentage_use,f_percentage_use,i_percentage_use,r_percentage_use,w_percentage_use,c_percentage_use,b_percentage_use,n_percentage_use,g_percentage_use,y_percentage_use,d_percentage_use,v_percentage_use,p_percentage_use,m_percentage_use,j_percentage_use,z_percentage_use,q_percentage_use,x_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
Moses,32.0,48.0,33.0,50.0,141.0,32.0,19.0,48.0,43.0,29.0,30.0,130.0,8.0,25.0,32.0,36.0,33.0,24.0,5.0,30.0,1.0,16.0,1.0,7.0,3.0,6.0,7.0,1.0,3.0,19.0,2.0,19.0,1.0,7.0,8.0,1.0,1.0,8.0,10.0,1.0,9.0,7.0,3.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,10.0,2.0,8.0,2.0,3.0,2.0,1.0,3.0,5.0,6.0,5.0,3.0,1.0,3.0,4.0,1.0,1.0,1.0,4.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11340510249225778,0.10131249078307035,0.08980976257189205,0.07653738386668633,0.028166937029936587,0.05721869930688689,0.05279457307181831,0.006193776729096004,0.12004129184486063,0.01902374281079487,0.04438873322518803,0.04143931573514231,0.014599616575726294,0.015631912697242293,0.013714791328712578,0.06621442265152633,0.01681167969326058,0.020498451555817726,0.05338445656982746,0.008848252470137147,0.014894558324730866,0.02138327680283144,0.0017696504940274296,0.0002949417490045716,0.0,0.0,1677,4.043530113297555,28.862068965517242,1056.9983778203805
Joshua,2.0,0.0,0.0,8.0,18.0,5.0,2.0,0.0,6.0,3.0,0.0,14.0,0.0,3.0,9.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,6.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,9.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10430839002267574,0.08163265306122448,0.0782312925170068,0.0963718820861678,0.035147392290249435,0.060090702947845805,0.032879818594104306,0.005668934240362812,0.12698412698412698,0.01473922902494331,0.032879818594104306,0.049886621315192746,0.018140589569160998,0.012471655328798186,0.012471655328798186,0.07709750566893424,0.013605442176870748,0.02947845804988662,0.05442176870748299,0.017006802721088437,0.006802721088435374,0.034013605442176874,0.005668934240362812,0.0,0.0,0.0,216,4.083333333333333,36.0,135.99999999999994
Samuel,5.0,14.0,1.0,13.0,35.0,3.0,1.0,5.0,9.0,1.0,10.0,39.0,2.0,2.0,14.0,5.0,13.0,2.0,2.0,2.0,1.0,0.0,6.0,0.0,7.0,3.0,4.0,4.0,3.0,11.0,2.0,6.0,0.0,1.0,2.0,0.0,0.0,1.0,6.0,1.0,5.0,2.0,16.0,0.0,5.0,0.0,1.0,0.0,5.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,6.0,2.0,0.0,1.0,0.0,2.0,0.0,1.0,11.0,0.0,0.0,1.0,2.0,4.0,1.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09647058823529411,0.09129411764705882,0.09411764705882353,0.07529411764705882,0.032,0.059294117647058824,0.03670588235294118,0.00611764705882353,0.12470588235294118,0.01976470588235294,0.05788235294117647,0.04611764705882353,0.024941176470588234,0.010352941176470589,0.011764705882352941,0.07011764705882353,0.01223529411764706,0.014588235294117647,0.05788235294117647,0.009411764705882352,0.012705882352941176,0.03388235294117647,0.0,0.00047058823529411766,0.00047058823529411766,0.00047058823529411766,538,3.949814126394052,35.86666666666667,331.9990588235296
Unknown,2.0,0.0,0.0,13.0,18.0,1.0,0.0,0.0,3.0,0.0,0.0,13.0,0.0,5.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,5.0,3.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09576138147566719,0.0847723704866562,0.10361067503924647,0.06907378335949764,0.012558869701726845,0.058084772370486655,0.03296703296703297,0.004709576138147566,0.130298273155416,0.03453689167974882,0.058084772370486655,0.054945054945054944,0.02511773940345369,0.0015698587127158557,0.018838304552590265,0.07221350078492936,0.018838304552590265,0.015698587127158554,0.058084772370486655,0.0141287284144427,0.004709576138147566,0.018838304552590265,0.0031397174254317113,0.0,0.0,0.0031397174254317113,168,3.7916666666666665,27.833333333333332,97.99372056514916
Unknown,3.0,2.0,1.0,18.0,28.0,2.0,1.0,1.0,5.0,0.0,1.0,15.0,2.0,2.0,4.0,4.0,3.0,1.0,2.0,1.0,0.0,1.0,4.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,0.0,1.0,1.0,2.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09237668161434978,0.10403587443946188,0.08878923766816144,0.08699551569506726,0.019730941704035873,0.054708520179372194,0.036771300448430494,0.011659192825112108,0.11569506726457399,0.023318385650224215,0.06816143497757847,0.05022421524663677,0.009865470852017937,0.013452914798206279,0.009865470852017937,0.06636771300448431,0.025112107623318385,0.009865470852017937,0.0484304932735426,0.0053811659192825115,0.026905829596412557,0.023318385650224215,0.004484304932735426,0.0008968609865470852,0.0017937219730941704,0.0,272,4.099264705882353,33.875,155.99820627802688
Unknown,6.0,0.0,0.0,15.0,17.0,3.0,2.0,0.0,2.0,0.0,0.0,8.0,0.0,4.0,1.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,4.0,0.0,6.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09478021978021978,0.09203296703296704,0.08791208791208792,0.07692307692307693,0.017857142857142856,0.046703296703296704,0.03571428571428571,0.012362637362637362,0.12087912087912088,0.03021978021978022,0.0673076923076923,0.046703296703296704,0.016483516483516484,0.020604395604395604,0.013736263736263736,0.07967032967032966,0.0260989010989011,0.012362637362637362,0.046703296703296704,0.005494505494505495,0.01098901098901099,0.019230769230769232,0.012362637362637362,0.0027472527472527475,0.0,0.0,173,4.208092485549133,24.571428571428573,100.99587912087917
Ezra,6.0,4.0,0.0,64.0,81.0,4.0,7.0,3.0,5.0,13.0,3.0,32.0,1.0,13.0,5.0,1.0,18.0,8.0,1.0,0.0,1.0,0.0,3.0,0.0,5.0,0.0,1.0,2.0,1.0,4.0,0.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09390083369899078,0.0868802106186924,0.07547169811320754,0.08907415533128565,0.022817025010969723,0.06143045195261079,0.03466432645897324,0.008775778850372971,0.12724879333040806,0.04475647213690215,0.060552874067573495,0.05835892935498026,0.014041246160596753,0.016673979815708645,0.009214567792891619,0.06406318560772269,0.021939447125932425,0.01184730144800351,0.040368582711715666,0.009214567792891619,0.012724879333040808,0.019745502413339184,0.005704256252742431,0.005265467310223783,0.0008775778850372971,0.0035103115401491883,572,3.984265734265734,28.6,337.99912242211497
Nehemiah,2.0,0.0,0.0,6.0,18.0,1.0,0.0,0.0,0.0,1.0,0.0,12.0,0.0,1.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12045889101338432,0.08986615678776291,0.07265774378585087,0.06118546845124283,0.0248565965583174,0.05162523900573614,0.022944550669216062,0.0057361376673040155,0.1586998087954111,0.028680688336520075,0.06692160611854685,0.06309751434034416,0.017208413001912046,0.017208413001912046,0.009560229445506692,0.07074569789674952,0.011472275334608031,0.0057361376673040155,0.055449330783938815,0.01338432122370937,0.009560229445506692,0.01338432122370937,0.0019120458891013384,0.0038240917782026767,0.0,0.0019120458891013384,124,4.217741935483871,31.0,72.9980879541109
Mordecai,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,4.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10975609756097561,0.12804878048780488,0.07317073170731707,0.11585365853658537,0.036585365853658534,0.03048780487804878,0.036585365853658534,0.018292682926829267,0.07926829268292683,0.006097560975609756,0.06097560975609756,0.024390243902439025,0.03048780487804878,0.006097560975609756,0.006097560975609756,0.0975609756097561,0.036585365853658534,0.006097560975609756,0.042682926829268296,0.0,0.0,0.054878048780487805,0.0,0.0,0.0,0.0,42,3.9047619047619047,42.0,28.000000000000007
Unknown,1.0,5.0,0.0,5.0,19.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,5.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11970802919708029,0.10364963503649635,0.043795620437956206,0.10364963503649635,0.032116788321167884,0.051094890510948905,0.029197080291970802,0.008759124087591242,0.11386861313868613,0.026277372262773723,0.051094890510948905,0.058394160583941604,0.0364963503649635,0.02335766423357664,0.013138686131386862,0.07445255474452554,0.021897810218978103,0.02335766423357664,0.032116788321167884,0.010218978102189781,0.0072992700729927005,0.014598540145985401,0.0,0.0,0.0,0.0,170,4.029411764705882,17.0,90.99854014598537
David and others,3.0,6.0,0.0,7.0,23.0,1.0,2.0,8.0,3.0,3.0,8.0,15.0,2.0,12.0,2.0,6.0,3.0,0.0,5.0,2.0,1.0,1.0,0.0,0.0,5.0,0.0,3.0,3.0,10.0,0.0,1.0,3.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,18.0,0.0,4.0,0.0,4.0,0.0,0.0,1.0,6.0,0.0,5.0,0.0,0.0,0.0,1.0,9.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,5.0,3.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0953757225433526,0.08554913294797688,0.07052023121387284,0.06416184971098265,0.024277456647398842,0.05375722543352601,0.03815028901734104,0.012138728323699421,0.1439306358381503,0.02254335260115607,0.06647398843930635,0.05722543352601156,0.02485549132947977,0.016184971098265895,0.010404624277456647,0.06416184971098265,0.01676300578034682,0.024277456647398842,0.04046242774566474,0.010982658959537572,0.013872832369942197,0.041040462427745665,0.0,0.0,0.0,0.0,434,3.986175115207373,18.0,237.99710982658965
Solomon and others,4.0,0.0,0.0,7.0,21.0,0.0,3.0,0.0,0.0,0.0,0.0,11.0,5.0,2.0,0.0,2.0,2.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11097256857855362,0.10099750623441396,0.09351620947630923,0.06733167082294264,0.0199501246882793,0.05361596009975062,0.0199501246882793,0.007481296758104738,0.14089775561097256,0.03117206982543641,0.06483790523690773,0.059850374064837904,0.029925187032418952,0.01371571072319202,0.006234413965087282,0.06359102244389027,0.02119700748129676,0.017456359102244388,0.03366583541147132,0.012468827930174564,0.008728179551122194,0.017456359102244388,0.0012468827930174563,0.0,0.0012468827930174563,0.0,210,3.8190476190476192,23.22222222222222,111.99750623441395
Solomon,3.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.084375,0.071875,0.065625,0.075,0.0375,0.0375,0.05,0.0125,0.140625,0.03125,0.059375,0.021875,0.03125,0.01875,0.021875,0.04375,0.015625,0.0375,0.05,0.01875,0.009375,0.0625,0.003125,0.0,0.0,0.0,86,3.7209302325581395,28.666666666666668,45.0
Isaiah,4.0,0.0,0.0,5.0,10.0,1.0,0.0,0.0,2.0,1.0,1.0,23.0,4.0,7.0,1.0,1.0,6.0,5.0,5.0,0.0,0.0,0.0,3.0,5.0,11.0,0.0,0.0,4.0,0.0,6.0,0.0,2.0,0.0,1.0,0.0,10.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0,4.0,5.0,6.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091283459162663,0.05696636925188744,0.08579272477693892,0.0727522306108442,0.03088538091969801,0.06932052161976665,0.03225806451612903,0.01098146877144818,0.12285518188057652,0.026767330130404943,0.06451612903225806,0.06932052161976665,0.023335621139327384,0.017844886753603295,0.01029512697323267,0.07687028140013727,0.024708304735758406,0.013040494166094716,0.04598490048043926,0.008922443376801648,0.015785861358956762,0.02059025394646534,0.004804392587508579,0.0006863417982155113,0.002059025394646534,0.0,329,4.428571428571429,27.333333333333332,181.99862731640363
Jeremiah,2.0,6.0,0.0,8.0,16.0,2.0,0.0,0.0,3.0,1.0,0.0,9.0,2.0,3.0,1.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10831234256926953,0.08942065491183879,0.07808564231738035,0.0906801007556675,0.04659949622166247,0.06801007556675064,0.0327455919395466,0.0,0.11083123425692695,0.027707808564231738,0.05289672544080604,0.05919395465994962,0.011335012594458438,0.021410579345088162,0.003778337531486146,0.06801007556675064,0.017632241813602016,0.006297229219143577,0.04659949622166247,0.013853904282115869,0.021410579345088162,0.022670025188916875,0.0,0.0,0.0,0.0,195,4.0717948717948715,13.0,109.99748110831229
Ezekiel,5.0,0.0,0.0,3.0,20.0,1.0,0.0,0.0,1.0,1.0,0.0,22.0,2.0,8.0,3.0,23.0,6.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,5.0,3.0,4.0,2.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,21.0,1.0,0.0,0.0,4.0,1.0,2.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10356652949245541,0.09122085048010974,0.08093278463648834,0.05898491083676269,0.019890260631001373,0.06652949245541838,0.053497942386831275,0.00411522633744856,0.13511659807956103,0.02400548696844993,0.05761316872427984,0.05898491083676269,0.012345679012345678,0.01783264746227709,0.0102880658436214,0.07956104252400549,0.01440329218106996,0.02880658436213992,0.03772290809327846,0.00823045267489712,0.013717421124828532,0.0205761316872428,0.00205761316872428,0.0,0.0,0.0,332,4.391566265060241,27.666666666666668,192.00000000000006
