Author,and,god,said,unto,thou,shalt,my,therefore,thy,thee,in,their,is,which,ye,shall,me,every,man,among,be,the,of,your,it,he,that,or,with,not,must,for,an,whose,his,from,hath,as,her,but,will,also,yea,then,upon,him,have,make,all,were,had,was,when,lord,by,them,to,himself,if,now,let,are,they,do,hast,into,did,where,according,being,wherefore,didst,thence,may,because,yet,there,therein,should,again,once,we,out,say,no,whom,one,would,moreover,what,those,these,more,than,thine,who,many,neither,like,thereof,could,how,much,our,therewith,forth,been,till,without,thus,thyself,whereunto,wherewith,lest,hence,forthwith,some,cometh,other,henceforth,became,whereof,thereupon,outward,shouldest,underneath,whereby,abundance,thereby,whence,ought,notwithstanding,throughout,hereof,doeth,thereon,oftentimes,whither,wherein,upward,each,inasmuch,verily,downward,such,whoso,ever,whereto,therefrom,thereunto,becometh,oft,a_percentage_use,n_percentage_use,d_percentage_use,g_percentage_use,o_percentage_use,s_percentage_use,i_percentage_use,u_percentage_use,t_percentage_use,b_percentage_use,r_percentage_use,h_percentage_use,m_percentage_use,l_percentage_use,k_percentage_use,e_percentage_use,p_percentage_use,y_percentage_use,c_percentage_use,v_percentage_use,f_percentage_use,w_percentage_use,x_percentage_use,q_percentage_use,j_percentage_use,z_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
Moses,137.0,6.0,32.0,25.0,9.0,3.0,9.0,3.0,11.0,13.0,27.0,5.0,14.0,11.0,6.0,31.0,5.0,4.0,4.0,3.0,23.0,80.0,34.0,9.0,13.0,36.0,21.0,1.0,15.0,15.0,1.0,14.0,3.0,1.0,21.0,10.0,2.0,7.0,6.0,8.0,22.0,4.0,1.0,3.0,6.0,23.0,9.0,4.0,10.0,4.0,3.0,7.0,3.0,16.0,2.0,13.0,16.0,2.0,5.0,6.0,3.0,3.0,10.0,7.0,1.0,3.0,4.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,12.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09939611555410478,0.07165007344540558,0.05908274849028888,0.013383385017137261,0.06544801697404928,0.05516566019259017,0.06414232087481639,0.026113921984658072,0.08731842663620043,0.016810837277623635,0.05385996409335727,0.08340133833850172,0.028562102170719764,0.043740819324302266,0.007507752570589195,0.11800228496817365,0.008487024645013873,0.02219683368695936,0.018769381426472987,0.007670964582993308,0.024645013873021055,0.020238289538110004,0.0006528480496164518,0.0003264240248082259,0.0004896360372123388,0.0,1560,3.9275641025641024,26.810344827586206,905.9970621837768
Joshua,15.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,2.0,0.0,0.0,0.0,1.0,1.0,20.0,5.0,2.0,5.0,1.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08495821727019498,0.06406685236768803,0.04456824512534819,0.013927576601671309,0.09192200557103064,0.054317548746518104,0.033426183844011144,0.026462395543175487,0.0988857938718663,0.013927576601671309,0.0584958217270195,0.06685236768802229,0.022284122562674095,0.02924791086350975,0.009749303621169917,0.14345403899721448,0.026462395543175487,0.034818941504178275,0.019498607242339833,0.013927576601671309,0.025069637883008356,0.016713091922005572,0.0,0.0,0.005571030640668524,0.0,175,4.102857142857143,29.166666666666668,94.99860724233987
Samuel,29.0,3.0,4.0,8.0,4.0,1.0,1.0,0.0,0.0,3.0,8.0,0.0,1.0,0.0,3.0,1.0,2.0,0.0,4.0,0.0,1.0,43.0,27.0,0.0,2.0,6.0,4.0,0.0,1.0,2.0,0.0,4.0,1.0,0.0,3.0,2.0,0.0,1.0,5.0,1.0,3.0,1.0,0.0,2.0,1.0,7.0,0.0,0.0,1.0,1.0,2.0,4.0,6.0,7.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09266862170087976,0.08093841642228738,0.05571847507331378,0.015249266862170088,0.07390029325513196,0.05102639296187683,0.05865102639296188,0.021114369501466276,0.09208211143695015,0.01466275659824047,0.05278592375366569,0.07624633431085044,0.02287390029325513,0.03812316715542522,0.00997067448680352,0.14017595307917888,0.012903225806451613,0.01466275659824047,0.010557184750733138,0.007038123167155425,0.029912023460410556,0.01935483870967742,0.0,0.0005865102639296188,0.005278592375366569,0.0005865102639296188,437,3.9016018306636155,29.066666666666666,233.9970674486803
Unknown,16.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10954616588419405,0.07668231611893583,0.0594679186228482,0.017214397496087636,0.07355242566510173,0.051643192488262914,0.051643192488262914,0.02190923317683881,0.08294209702660407,0.02190923317683881,0.06103286384976526,0.08450704225352113,0.01564945226917058,0.04538341158059468,0.004694835680751174,0.12519561815336464,0.003129890453834116,0.01564945226917058,0.006259780907668232,0.006259780907668232,0.0297339593114241,0.025039123630672927,0.0,0.0,0.001564945226917058,0.004694835680751174,160,3.99375,26.5,82.99530516431926
Unknown,15.0,0.0,1.0,4.0,5.0,0.0,0.0,2.0,4.0,3.0,8.0,3.0,0.0,2.0,0.0,1.0,6.0,0.0,2.0,0.0,1.0,19.0,14.0,0.0,0.0,7.0,5.0,0.0,7.0,4.0,0.0,2.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,1.0,1.0,13.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08494533221194281,0.06307821698906645,0.050462573591253154,0.014297729184188394,0.08662741799831791,0.054667788057190914,0.0656013456686291,0.024390243902439025,0.10428931875525652,0.01934398654331371,0.054667788057190914,0.09167367535744322,0.022708158116063918,0.031959629941127,0.005046257359125316,0.12279226240538267,0.00672834314550042,0.015138772077375946,0.014297729184188394,0.007569386038687973,0.021026072329688814,0.03280067283431455,0.0,0.0,0.004205214465937763,0.001682085786375105,308,3.8603896103896105,38.5,178.0
Unknown,20.0,0.0,8.0,2.0,2.0,0.0,2.0,0.0,4.0,2.0,0.0,0.0,3.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,27.0,23.0,0.0,0.0,4.0,3.0,0.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09393346379647749,0.05968688845401174,0.0547945205479452,0.022504892367906065,0.08414872798434442,0.057729941291585124,0.0547945205479452,0.012720156555772993,0.10273972602739725,0.007827788649706457,0.043052837573385516,0.10665362035225048,0.021526418786692758,0.03424657534246575,0.012720156555772993,0.1232876712328767,0.018590998043052837,0.014677103718199608,0.00684931506849315,0.004892367906066536,0.02837573385518591,0.023483365949119372,0.0,0.0009784735812133072,0.007827788649706457,0.0,266,3.8421052631578947,37.857142857142854,157.99804305283774
Ezra,58.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,43.0,39.0,0.0,1.0,1.0,7.0,0.0,3.0,2.0,0.0,2.0,0.0,0.0,13.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,7.0,3.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11394465545306566,0.07976125881714596,0.049376017362995114,0.011937059142702116,0.06782419967444384,0.061313076505697235,0.05371676614215952,0.016277807921866522,0.07650569723277266,0.020075963103635377,0.04612045577862181,0.1166576234400434,0.032013022246337494,0.027672273467173086,0.005425935973955507,0.12750949538795442,0.00705371676614216,0.005425935973955507,0.011937059142702116,0.002170374389582203,0.032013022246337494,0.013564839934888768,0.0010851871947911015,0.0005425935973955507,0.010309278350515464,0.008681497558328812,432,4.266203703703703,21.6,225.9989148128052
Nehemiah,10.0,2.0,3.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,14.0,6.0,0.0,4.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,3.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07435508345978756,0.07283763277693475,0.054628224582701064,0.021244309559939303,0.06676783004552352,0.06676783004552352,0.07132018209408195,0.028831562974203338,0.1062215477996965,0.01669195751138088,0.05007587253414264,0.09256449165402124,0.019726858877086494,0.030349013657056147,0.006069802731411229,0.13201820940819423,0.018209408194233688,0.015174506828528073,0.006069802731411229,0.007587253414264037,0.015174506828528073,0.021244309559939303,0.0,0.0,0.0015174506828528073,0.0,163,4.042944785276074,40.5,92.99544764795144
Mordecai,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07746478873239436,0.07042253521126761,0.07042253521126761,0.028169014084507043,0.1056338028169014,0.04929577464788732,0.06338028169014084,0.02112676056338028,0.07746478873239436,0.0,0.04929577464788732,0.07042253521126761,0.014084507042253521,0.04225352112676056,0.014084507042253521,0.09859154929577464,0.028169014084507043,0.014084507042253521,0.04225352112676056,0.007042253521126761,0.028169014084507043,0.014084507042253521,0.0,0.0,0.0,0.0,34,4.176470588235294,33.0,23.985915492957748
Unknown,7.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,0.0,1.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,14.0,7.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07264957264957266,0.06695156695156695,0.037037037037037035,0.017094017094017096,0.07977207977207977,0.06267806267806268,0.06125356125356125,0.024216524216524215,0.08404558404558404,0.017094017094017096,0.05555555555555555,0.0811965811965812,0.03276353276353276,0.04985754985754986,0.005698005698005698,0.13532763532763534,0.01566951566951567,0.014245014245014245,0.02564102564102564,0.007122507122507123,0.03133903133903134,0.017094017094017096,0.0,0.0,0.0014245014245014246,0.0,176,3.9886363636363638,17.5,87.99572649572653
David and others,24.0,3.0,1.0,3.0,3.0,0.0,18.0,0.0,9.0,3.0,11.0,7.0,4.0,4.0,0.0,2.0,11.0,0.0,0.0,0.0,3.0,36.0,24.0,0.0,2.0,7.0,7.0,0.0,3.0,1.0,0.0,2.0,0.0,1.0,11.0,9.0,0.0,4.0,0.0,0.0,4.0,3.0,1.0,1.0,5.0,6.0,4.0,0.0,1.0,4.0,0.0,3.0,1.0,10.0,2.0,2.0,4.0,0.0,0.0,1.0,0.0,3.0,5.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06786233640329617,0.05574406204556471,0.055259331071255455,0.011148812409112942,0.07755695588948133,0.07222491517207949,0.0664081434803684,0.024236548715462918,0.07949587978671838,0.010664081434803683,0.05380513814832768,0.08337372758119244,0.034415899175957346,0.04411051866214251,0.010664081434803683,0.12554532234609792,0.018419777023751818,0.02375181774115366,0.02084343189529811,0.012603005332040717,0.02666020358700921,0.024236548715462918,0.0,0.0,0.0,0.0,521,3.9596928982725528,21.708333333333332,289.9990305380514
Solomon and others,8.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,0.0,3.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,3.0,12.0,7.0,0.0,1.0,2.0,2.0,0.0,4.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07679738562091504,0.08169934640522876,0.042483660130718956,0.014705882352941176,0.06045751633986928,0.07026143790849673,0.06209150326797386,0.017973856209150325,0.10294117647058823,0.013071895424836602,0.06699346405228758,0.09967320261437909,0.016339869281045753,0.03758169934640523,0.0,0.12745098039215685,0.016339869281045753,0.016339869281045753,0.02287581699346405,0.004901960784313725,0.027777777777777776,0.0196078431372549,0.0,0.0,0.0,0.0,144,4.25,16.0,87.99836601307189
Solomon,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08333333333333333,0.05,0.07777777777777778,0.016666666666666666,0.06666666666666667,0.05555555555555555,0.07222222222222222,0.016666666666666666,0.09444444444444444,0.011111111111111112,0.07777777777777778,0.05,0.05,0.03333333333333333,0.011111111111111112,0.14444444444444443,0.016666666666666666,0.005555555555555556,0.005555555555555556,0.005555555555555556,0.027777777777777776,0.027777777777777776,0.0,0.0,0.0,0.0,45,4.0,15.0,19.000000000000014
Isaiah,24.0,0.0,1.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,7.0,17.0,14.0,0.0,13.0,3.0,10.0,0.0,1.0,2.0,0.0,6.0,2.0,0.0,2.0,3.0,1.0,0.0,0.0,3.0,6.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,6.0,0.0,0.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08747375787263821,0.0734779566130161,0.05598320503848846,0.016794961511546535,0.07977606717984605,0.041287613715885234,0.06578026592022393,0.026592022393282014,0.09447165850244926,0.01959412176347096,0.053883834849545134,0.06927921623512946,0.02309307207837649,0.05878236529041288,0.004198740377886634,0.11406578026592022,0.013995801259622114,0.02239328201539538,0.01119664100769769,0.01119664100769769,0.02799160251924423,0.02239328201539538,0.0006997900629811056,0.0,0.004198740377886634,0.0,358,3.9916201117318435,29.833333333333332,194.99860041987407
Jeremiah,25.0,2.0,2.0,2.0,8.0,1.0,1.0,1.0,4.0,3.0,6.0,6.0,2.0,0.0,2.0,10.0,3.0,3.0,3.0,0.0,5.0,36.0,16.0,0.0,4.0,0.0,7.0,0.0,3.0,6.0,0.0,8.0,0.0,0.0,2.0,1.0,1.0,3.0,3.0,3.0,8.0,0.0,0.0,1.0,2.0,0.0,10.0,2.0,2.0,3.0,1.0,2.0,2.0,6.0,3.0,7.0,4.0,0.0,2.0,2.0,0.0,6.0,13.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0727710843373494,0.060722891566265064,0.04048192771084337,0.014457831325301205,0.07036144578313253,0.05542168674698795,0.051566265060240965,0.026987951807228915,0.09927710843373494,0.015421686746987951,0.061204819277108434,0.09060240963855422,0.018313253012048194,0.04867469879518072,0.01108433734939759,0.14409638554216866,0.010602409638554217,0.021204819277108433,0.018795180722891568,0.013012048192771084,0.029397590361445784,0.021204819277108433,0.00048192771084337347,0.0,0.0019277108433734939,0.00048192771084337347,498,4.166666666666667,33.13333333333333,292.99855421686755
Ezekiel,23.0,4.0,0.0,0.0,2.0,1.0,10.0,4.0,2.0,12.0,15.0,1.0,1.0,1.0,1.0,9.0,0.0,0.0,0.0,1.0,3.0,32.0,13.0,0.0,2.0,0.0,8.0,0.0,4.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,12.0,2.0,0.0,1.0,1.0,0.0,10.0,1.0,7.0,0.0,0.0,0.0,1.0,5.0,2.0,8.0,2.0,0.0,0.0,0.0,0.0,5.0,4.0,2.0,1.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,3.0,2.0,0.0,0.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08639813193228255,0.07063631056625802,0.04611792177466433,0.011091652072387624,0.06071220081727963,0.05604203152364273,0.07063631056625802,0.0297723292469352,0.11558669001751314,0.012259194395796848,0.04786923525977817,0.08523058960887332,0.030356100408639813,0.04845300642148278,0.00642148277875073,0.12784588441331,0.008172796263864565,0.016929363689433742,0.015178050204319907,0.007589025102159953,0.021599532983070636,0.018680677174547577,0.0011675423234092236,0.0,0.004086398131932283,0.0005837711617046118,416,4.117788461538462,34.666666666666664,258.99941622883847
