Author,the,of,did,his,was,one,whereof,an,and,them,with,for,he,in,when,it,by,each,all,were,their,that,into,to,him,then,unto,from,upon,lord,say,thou,shall,thereof,as,according,which,had,is,said,do,thine,thee,thy,we,will,these,if,they,thus,our,not,but,hath,be,forth,out,where,me,there,among,also,now,who,god,every,man,moreover,have,ye,what,such,may,my,are,because,therefore,some,wherefore,hast,didst,ever,therein,cometh,or,whom,let,how,no,neither,your,should,abundance,more,than,could,much,her,make,like,those,whoso,yea,shalt,whither,wherein,whose,yet,whosoever,again,would,shouldest,whatsoever,many,himself,other,without,throughout,wherewith,till,henceforth,whereby,being,became,once,lest,inasmuch,downward,whereto,seest,therewith,thence,been,thereby,outward,hence,howsoever,becometh,thereon,must,thereupon,doeth,thereunto,oft,oftentimes,underneath,whereunto,whence,whensoever,wherewithal,seemeth,hereof,thyself,notwithstanding,verily,whereon,soever,forthwith,therefrom,wheresoever,upward,ought,o_percentage_use,n_percentage_use,t_percentage_use,h_percentage_use,e_percentage_use,f_percentage_use,i_percentage_use,d_percentage_use,a_percentage_use,y_percentage_use,s_percentage_use,l_percentage_use,u_percentage_use,m_percentage_use,z_percentage_use,r_percentage_use,p_percentage_use,c_percentage_use,g_percentage_use,w_percentage_use,v_percentage_use,k_percentage_use,b_percentage_use,x_percentage_use,j_percentage_use,q_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
Moses,135.0,143.0,2.0,8.0,31.0,56.0,6.0,10.0,28.0,8.0,10.0,35.0,13.0,1.0,3.0,2.0,1.0,2.0,4.0,3.0,1.0,2.0,1.0,1.0,4.0,1.0,8.0,2.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09296715531638523,0.07144182594173316,0.06995732046761922,0.06420486175542772,0.1362033772499536,0.07663759510113194,0.06105028762293561,0.027834477639636295,0.06661718315086287,0.013546112451289664,0.063648172202635,0.04453516422341807,0.017999628873631473,0.018185192057895712,0.001113379105585452,0.05993690851735016,0.008907032844683615,0.01985526071627389,0.02616440898125812,0.01874188161068844,0.012803859714232696,0.012803859714232696,0.011876043792911486,0.002597884579699388,0.00018556318426424197,0.0,1258,4.283783783783784,21.689655172413794,535.9998144368159
Joshua,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02242152466367713,0.10762331838565023,0.06278026905829596,0.09417040358744394,0.08520179372197309,0.0,0.08520179372197309,0.07174887892376682,0.17040358744394618,0.0,0.026905829596412557,0.026905829596412557,0.02242152466367713,0.03139013452914798,0.017937219730941704,0.04035874439461883,0.017937219730941704,0.02242152466367713,0.013452914798206279,0.013452914798206279,0.008968609865470852,0.013452914798206279,0.02242152466367713,0.0,0.02242152466367713,0.0,46,4.8478260869565215,7.666666666666667,21.000000000000004
Samuel,34.0,13.0,0.0,10.0,7.0,1.0,0.0,1.0,38.0,6.0,8.0,3.0,0.0,6.0,1.0,3.0,0.0,0.0,3.0,6.0,0.0,10.0,3.0,6.0,5.0,4.0,13.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,3.0,2.0,2.0,8.0,1.0,2.0,2.0,1.0,6.0,6.0,1.0,2.0,9.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0664935064935065,0.07376623376623377,0.10025974025974026,0.08623376623376623,0.12415584415584416,0.017142857142857144,0.06077922077922078,0.04883116883116883,0.09194805194805195,0.011428571428571429,0.05454545454545454,0.042077922077922075,0.03324675324675325,0.02857142857142857,0.0,0.056623376623376624,0.014025974025974027,0.011948051948051949,0.011428571428571429,0.03064935064935065,0.007272727272727273,0.003116883116883117,0.01818181818181818,0.0005194805194805195,0.004675324675324675,0.0005194805194805195,457,4.212253829321663,30.4,265.99844155844136
Unknown,16.0,9.0,0.0,0.0,1.0,0.0,0.0,2.0,17.0,3.0,2.0,3.0,2.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,4.0,2.0,4.0,1.0,1.0,4.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,7.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.060571428571428575,0.07428571428571429,0.08914285714285715,0.08571428571428572,0.11542857142857142,0.02057142857142857,0.06742857142857143,0.064,0.10171428571428572,0.018285714285714287,0.060571428571428575,0.029714285714285714,0.026285714285714287,0.032,0.009142857142857144,0.04,0.008,0.010285714285714285,0.012571428571428572,0.012571428571428572,0.006857142857142857,0.010285714285714285,0.02857142857142857,0.0,0.0034285714285714284,0.0,220,3.977272727272727,35.833333333333336,115.98742857142858
Unknown,19.0,15.0,4.0,8.0,5.0,1.0,0.0,0.0,16.0,0.0,1.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06420765027322405,0.06284153005464481,0.09016393442622951,0.09016393442622951,0.11612021857923498,0.030054644808743168,0.07377049180327869,0.07103825136612021,0.11612021857923498,0.017759562841530054,0.0546448087431694,0.0273224043715847,0.012295081967213115,0.028688524590163935,0.0,0.04918032786885246,0.001366120218579235,0.012295081967213115,0.012295081967213115,0.02185792349726776,0.00819672131147541,0.00546448087431694,0.017759562841530054,0.0,0.012295081967213115,0.0,185,3.9567567567567568,23.0,109.99590163934425
Unknown,26.0,21.0,1.0,3.0,2.0,0.0,0.0,0.0,17.0,10.0,0.0,2.0,5.0,4.0,0.0,1.0,1.0,0.0,3.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,1.0,8.0,0.0,5.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08058252427184466,0.06699029126213592,0.08932038834951456,0.08349514563106795,0.12330097087378641,0.037864077669902914,0.06116504854368932,0.05825242718446602,0.09320388349514563,0.015533980582524271,0.06019417475728155,0.040776699029126215,0.010679611650485437,0.03495145631067961,0.0,0.059223300970873784,0.008737864077669903,0.015533980582524271,0.015533980582524271,0.014563106796116505,0.007766990291262136,0.006796116504854369,0.010679611650485437,0.0,0.003883495145631068,0.0,247,4.17004048582996,35.285714285714285,151.99902912621357
Ezra,56.0,38.0,0.0,5.0,1.0,1.0,0.0,1.0,49.0,9.0,7.0,10.0,3.0,12.0,7.0,2.0,2.0,0.0,4.0,4.0,3.0,3.0,1.0,18.0,0.0,2.0,4.0,1.0,3.0,13.0,2.0,8.0,4.0,0.0,3.0,0.0,3.0,2.0,4.0,3.0,1.0,1.0,4.0,6.0,3.0,1.0,0.0,1.0,17.0,1.0,5.0,11.0,3.0,0.0,4.0,2.0,5.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,7.0,1.0,0.0,0.0,2.0,9.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08875942426319397,0.07093899931459904,0.10143934201507881,0.08498971898560657,0.1247429746401645,0.02570253598355038,0.055517477724468814,0.055174777244688146,0.07916381082933516,0.02193283070596299,0.055517477724468814,0.03598355037697053,0.02878684030157642,0.02227553118574366,0.0013708019191226869,0.050034270047978065,0.015078821110349555,0.013708019191226868,0.01405071967100754,0.019876627827278958,0.007196710075394105,0.003427004797806717,0.015764222069910898,0.0,0.007196710075394105,0.0,702,4.156695156695156,35.05,401.99862919808083
Nehemiah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041666666666666664,0.05555555555555555,0.041666666666666664,0.1527777777777778,0.041666666666666664,0.0,0.1388888888888889,0.041666666666666664,0.19444444444444445,0.0,0.013888888888888888,0.0,0.027777777777777776,0.013888888888888888,0.05555555555555555,0.041666666666666664,0.013888888888888888,0.0,0.013888888888888888,0.0,0.013888888888888888,0.013888888888888888,0.041666666666666664,0.0,0.041666666666666664,0.0,12,6.0,3.0,0.9999999999999996
Mordecai,4.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09545454545454546,0.05909090909090909,0.12272727272727273,0.09545454545454546,0.13636363636363635,0.01818181818181818,0.05454545454545454,0.031818181818181815,0.06818181818181818,0.00909090909090909,0.05,0.022727272727272728,0.03636363636363636,0.02727272727272727,0.0,0.05454545454545454,0.022727272727272728,0.022727272727272728,0.02727272727272727,0.013636363636363636,0.00909090909090909,0.013636363636363636,0.004545454545454545,0.0,0.0,0.004545454545454545,57,3.8596491228070176,57.0,39.0
Unknown,18.0,4.0,0.0,1.0,5.0,0.0,0.0,0.0,15.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,8.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06493506493506493,0.0633116883116883,0.09902597402597403,0.08441558441558442,0.1525974025974026,0.016233766233766232,0.0633116883116883,0.06493506493506493,0.08766233766233766,0.00974025974025974,0.056818181818181816,0.025974025974025976,0.024350649350649352,0.030844155844155844,0.0,0.04220779220779221,0.017857142857142856,0.021103896103896104,0.01461038961038961,0.025974025974025976,0.006493506493506494,0.008116883116883116,0.011363636363636364,0.0,0.00487012987012987,0.0,165,3.7333333333333334,16.4,85.99675324675326
David and others,25.0,8.0,0.0,21.0,0.0,0.0,0.0,0.0,13.0,4.0,3.0,6.0,8.0,4.0,0.0,3.0,0.0,0.0,9.0,0.0,1.0,11.0,0.0,6.0,3.0,0.0,4.0,4.0,1.0,11.0,0.0,1.0,4.0,1.0,8.0,1.0,0.0,0.0,8.0,0.0,3.0,1.0,2.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07337128399746995,0.055660974067046176,0.09234661606578115,0.09171410499683745,0.1283997469955724,0.02340290955091714,0.06578115117014548,0.04048070841239722,0.06957621758380772,0.013915243516761544,0.08538899430740038,0.05186590765338393,0.022770398481973434,0.028462998102466792,0.0,0.06325110689437065,0.009487666034155597,0.017077798861480076,0.015180265654648957,0.017077798861480076,0.010120177103099304,0.006957621758380772,0.010120177103099304,0.001265022137887413,0.0006325110689437065,0.001265022137887413,378,4.182539682539683,15.666666666666666,223.99557242251737
Solomon and others,13.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,1.0,3.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06829268292682927,0.05853658536585366,0.1040650406504065,0.1024390243902439,0.13170731707317074,0.02926829268292683,0.06829268292682927,0.03902439024390244,0.06016260162601626,0.011382113821138212,0.06666666666666667,0.03902439024390244,0.032520325203252036,0.02113821138211382,0.0,0.04878048780487805,0.014634146341463415,0.022764227642276424,0.01951219512195122,0.022764227642276424,0.0032520325203252032,0.00975609756097561,0.013008130081300813,0.0,0.0,0.0,140,4.392857142857143,15.555555555555555,66.98699186991867
Solomon,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10951008645533142,0.069164265129683,0.12680115273775217,0.12680115273775217,0.11239193083573487,0.011527377521613832,0.04899135446685879,0.0345821325648415,0.05475504322766571,0.008645533141210375,0.06051873198847262,0.040345821325648415,0.011527377521613832,0.008645533141210375,0.0,0.05187319884726225,0.011527377521613832,0.005763688760806916,0.01729106628242075,0.04899135446685879,0.008645533141210375,0.01729106628242075,0.01440922190201729,0.0,0.0,0.0,88,3.9431818181818183,29.333333333333332,55.000000000000014
Isaiah,30.0,11.0,0.0,0.0,0.0,2.0,0.0,0.0,24.0,9.0,4.0,4.0,0.0,6.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,4.0,0.0,9.0,6.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,16.0,4.0,0.0,13.0,0.0,0.0,4.0,0.0,0.0,7.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05730659025787966,0.06876790830945559,0.11174785100286533,0.10530085959885387,0.13753581661891118,0.022922636103151862,0.06303724928366762,0.044412607449856735,0.08524355300859598,0.019340974212034383,0.050143266475644696,0.06017191977077364,0.014326647564469915,0.024355300859598854,0.0,0.0508595988538682,0.009312320916905445,0.011461318051575931,0.01504297994269341,0.024355300859598854,0.0071633237822349575,0.00501432664756447,0.008595988538681949,0.0007163323782234957,0.002148997134670487,0.0,351,3.977207977207977,29.25,203.99928366762182
