Author,the,of,which,should,be,lord,no,man,shall,it,or,is,and,if,an,then,he,according,to,thine,not,thy,notwithstanding,that,unto,all,hath,his,every,but,will,ought,thereof,neither,these,are,for,in,they,were,out,ye,their,by,with,from,upward,forth,thou,them,there,one,as,those,throughout,being,each,was,among,had,shalt,therefore,yet,himself,him,thence,when,than,said,whom,like,god,also,whose,how,make,we,thee,may,your,upon,what,cometh,thus,say,have,did,let,me,my,again,wherein,would,became,thyself,could,now,been,without,abundance,into,her,because,more,our,wherewith,didst,much,hast,many,yea,becometh,ever,who,lest,whoso,therewith,thereby,do,must,till,wherefore,therein,some,whereunto,other,verily,whither,such,where,thereupon,outward,shouldest,whereof,henceforth,underneath,whereby,whence,hereof,doeth,thereon,oftentimes,hence,inasmuch,moreover,once,downward,whereto,therefrom,forthwith,thereunto,oft,o_percentage_use,n_percentage_use,l_percentage_use,y_percentage_use,t_percentage_use,h_percentage_use,e_percentage_use,f_percentage_use,i_percentage_use,r_percentage_use,s_percentage_use,g_percentage_use,b_percentage_use,a_percentage_use,w_percentage_use,c_percentage_use,u_percentage_use,d_percentage_use,m_percentage_use,x_percentage_use,p_percentage_use,v_percentage_use,k_percentage_use,z_percentage_use,j_percentage_use,q_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
Moses,138.0,162.0,5.0,1.0,14.0,11.0,2.0,5.0,18.0,14.0,6.0,4.0,61.0,4.0,1.0,3.0,7.0,15.0,44.0,1.0,5.0,1.0,1.0,33.0,6.0,22.0,1.0,4.0,6.0,2.0,1.0,1.0,2.0,2.0,5.0,5.0,3.0,8.0,4.0,46.0,1.0,1.0,51.0,32.0,3.0,15.0,15.0,14.0,2.0,17.0,1.0,3.0,1.0,15.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08126744376949598,0.06386471843703825,0.03628304055163356,0.016910195370218355,0.09998358233459202,0.08225250369397472,0.14496798555245444,0.047447053029059265,0.04810375964537843,0.07322278771958628,0.04777540633721885,0.01231324905598424,0.02216384830077163,0.07486455426038417,0.018387785256936462,0.013790838942702348,0.02413396814972911,0.04564110983418158,0.026760794615005745,0.0009850599244787392,0.007059596125430964,0.006074536200952225,0.0009850599244787392,0.0013134132326383188,0.0013134132326383188,0.0,1438,4.235744089012518,24.724137931034484,853.9978657034969
Joshua,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.12222222222222222,0.022222222222222223,0.0,0.044444444444444446,0.12777777777777777,0.06111111111111111,0.0,0.03888888888888889,0.03333333333333333,0.022222222222222223,0.005555555555555556,0.011111111111111112,0.21666666666666667,0.005555555555555556,0.005555555555555556,0.0,0.13333333333333333,0.03888888888888889,0.0,0.011111111111111112,0.0,0.016666666666666666,0.03333333333333333,0.0,0.0,38,4.7368421052631575,6.333333333333333,19.000000000000004
Samuel,45.0,22.0,0.0,1.0,3.0,5.0,2.0,4.0,4.0,5.0,0.0,1.0,42.0,2.0,0.0,4.0,7.0,0.0,8.0,0.0,1.0,0.0,0.0,6.0,6.0,10.0,2.0,5.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,8.0,2.0,4.0,3.0,1.0,2.0,4.0,1.0,1.0,1.0,0.0,4.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0,1.0,0.0,1.0,1.0,1.0,8.0,1.0,3.0,1.0,7.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06800618238021638,0.0716125708397733,0.04791344667697063,0.014940752189592994,0.09015971148892324,0.09222050489438434,0.14683153013910355,0.0211231324059763,0.04636785162287481,0.03606388459556929,0.0613086038124678,0.015455950540958269,0.012364760432766615,0.09067490984028852,0.01751674394641937,0.013910355486862442,0.02730551262235961,0.056156620298815046,0.03194229778464709,0.0010303967027305513,0.02009273570324575,0.0061823802163833074,0.005151983513652756,0.0005151983513652757,0.0036063884595569293,0.0005151983513652757,484,4.010330578512397,32.266666666666666,287.99896960329727
Unknown,11.0,5.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,8.0,1.0,0.0,2.0,1.0,0.0,5.0,0.0,1.0,1.0,0.0,3.0,3.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,2.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07643312101910828,0.07643312101910828,0.04777070063694268,0.025477707006369428,0.09394904458598727,0.06687898089171974,0.11624203821656051,0.01592356687898089,0.06369426751592357,0.052547770700636945,0.06369426751592357,0.022292993630573247,0.020700636942675158,0.09713375796178345,0.022292993630573247,0.009554140127388535,0.022292993630573247,0.03980891719745223,0.03184713375796178,0.0,0.011146496815286623,0.011146496815286623,0.006369426751592357,0.0,0.004777070063694267,0.0,160,3.925,26.666666666666668,82.9984076433121
Unknown,21.0,15.0,3.0,1.0,3.0,1.0,0.0,1.0,3.0,3.0,0.0,2.0,14.0,0.0,0.0,1.0,7.0,0.0,9.0,0.0,2.0,0.0,0.0,4.0,1.0,1.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07987551867219916,0.05186721991701245,0.03734439834024896,0.015560165975103735,0.08817427385892117,0.09647302904564316,0.13278008298755187,0.03008298755186722,0.06846473029045644,0.044605809128630707,0.06431535269709543,0.017634854771784232,0.023858921161825725,0.08506224066390042,0.016597510373443983,0.025933609958506226,0.017634854771784232,0.038381742738589214,0.026970954356846474,0.0,0.016597510373443983,0.007261410788381743,0.006224066390041493,0.0,0.007261410788381743,0.0,246,3.9186991869918697,30.75,136.99896265560167
Unknown,22.0,20.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,21.0,0.0,2.0,1.0,0.0,2.0,12.0,0.0,1.0,2.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06666666666666667,0.07272727272727272,0.026262626262626262,0.015151515151515152,0.09696969696969697,0.06262626262626263,0.09696969696969697,0.028282828282828285,0.0696969696969697,0.05656565656565657,0.06767676767676768,0.026262626262626262,0.0030303030303030303,0.12424242424242424,0.011111111111111112,0.01919191919191919,0.024242424242424242,0.043434343434343436,0.025252525252525252,0.0,0.01616161616161616,0.007070707070707071,0.021212121212121213,0.010101010101010102,0.005050505050505051,0.0,246,4.024390243902439,35.0,119.99595959595958
Ezra,42.0,36.0,2.0,1.0,4.0,10.0,2.0,1.0,1.0,2.0,3.0,1.0,48.0,0.0,1.0,1.0,10.0,0.0,8.0,0.0,3.0,2.0,0.0,10.0,4.0,9.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,9.0,9.0,2.0,10.0,1.0,6.0,0.0,12.0,3.0,0.0,0.0,0.0,5.0,4.0,0.0,1.0,1.0,0.0,1.0,0.0,9.0,0.0,6.0,0.0,1.0,0.0,1.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0779896013864818,0.067157712305026,0.03292894280762565,0.012564991334488735,0.10528596187175043,0.08925476603119584,0.12435008665511266,0.025996533795493933,0.05155979202772964,0.05632582322357019,0.047660311958405546,0.02079722703639515,0.01386481802426343,0.09748700173310225,0.023830155979202773,0.012564991334488735,0.029462738301559793,0.05805892547660312,0.02123050259965338,0.0017331022530329288,0.008665511265164644,0.008232235701906412,0.006932409012131715,0.0,0.00389948006932409,0.0004332755632582322,573,4.027923211169284,28.6,339.99826689774693
Nehemiah,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0,2.0,5.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07550335570469799,0.06879194630872483,0.016778523489932886,0.016778523489932886,0.1174496644295302,0.07885906040268456,0.1342281879194631,0.020134228187919462,0.05704697986577181,0.07550335570469799,0.06375838926174497,0.020134228187919462,0.008389261744966443,0.0738255033557047,0.016778523489932886,0.013422818791946308,0.03691275167785235,0.04697986577181208,0.020134228187919462,0.0,0.006711409395973154,0.020134228187919462,0.01174496644295302,0.0,0.0,0.0,134,4.447761194029851,33.5,80.99999999999997
Mordecai,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03773584905660377,0.12578616352201258,0.018867924528301886,0.018867924528301886,0.050314465408805034,0.050314465408805034,0.12578616352201258,0.006289308176100629,0.06918238993710692,0.050314465408805034,0.050314465408805034,0.0440251572327044,0.0,0.11320754716981132,0.031446540880503145,0.03773584905660377,0.006289308176100629,0.05660377358490566,0.0440251572327044,0.0,0.012578616352201259,0.018867924528301886,0.012578616352201259,0.0,0.006289308176100629,0.0,33,4.818181818181818,32.0,17.987421383647796
Unknown,13.0,5.0,2.0,0.0,3.0,0.0,0.0,1.0,6.0,4.0,0.0,3.0,6.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,1.0,0.0,5.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05701078582434515,0.04468412942989214,0.06779661016949153,0.02157164869029276,0.09090909090909091,0.10939907550077041,0.11556240369799692,0.01694915254237288,0.08628659476117104,0.040061633281972264,0.060092449922958396,0.01848998459167951,0.01694915254237288,0.07704160246533127,0.02773497688751926,0.020030816640986132,0.02465331278890601,0.040061633281972264,0.02157164869029276,0.0,0.02465331278890601,0.01078582434514638,0.004622496147919877,0.0,0.0015408320493066256,0.0,161,4.031055900621118,16.1,98.99845916795067
David and others,34.0,12.0,1.0,0.0,2.0,12.0,0.0,3.0,12.0,2.0,1.0,3.0,8.0,0.0,0.0,0.0,9.0,0.0,3.0,2.0,6.0,6.0,0.0,6.0,1.0,2.0,0.0,2.0,0.0,1.0,5.0,0.0,0.0,2.0,0.0,2.0,5.0,4.0,5.0,0.0,1.0,3.0,2.0,1.0,1.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,2.0,1.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07687338501291989,0.04909560723514212,0.06330749354005168,0.02454780361757106,0.10529715762273902,0.10077519379844961,0.13113695090439276,0.027131782945736434,0.0562015503875969,0.050387596899224806,0.05813953488372093,0.020671834625323,0.00904392764857881,0.06136950904392765,0.025193798449612403,0.014857881136950904,0.02454780361757106,0.03940568475452196,0.023901808785529714,0.0,0.015503875968992248,0.0103359173126615,0.0071059431524547806,0.0,0.001937984496124031,0.001937984496124031,364,4.252747252747253,15.166666666666666,208.99870801033583
