Author,all,the,of,his,there,shall,no,upon,be,in,which,he,himself,unto,lord,and,let,that,not,make,for,or,when,they,because,god,is,if,man,by,him,hath,then,it,to,one,other,an,but,were,was,are,without,with,their,them,also,out,may,who,according,must,do,ye,thee,my,will,had,thereof,each,thou,shalt,every,should,said,did,whereof,from,her,now,throughout,lest,yet,neither,these,many,as,among,into,where,whom,me,say,thy,have,been,hast,therefore,what,soever,your,notwithstanding,would,like,became,again,thine,shouldest,wherefore,our,moreover,thus,some,cometh,yea,ever,those,whoso,than,being,whither,seemeth,wheresoever,more,therein,wherewith,till,much,didst,we,how,whose,forth,whatsoever,doeth,whereby,inasmuch,downward,abundance,whereto,seest,therewith,wherein,thence,once,thereby,outward,hence,howsoever,becometh,henceforth,thereon,thereupon,thereunto,oft,oftentimes,such,whosoever,underneath,whereunto,whence,whensoever,wherewithal,hereof,thyself,verily,whereon,could,forthwith,therefrom,upward,ought,a_percentage_use,l_percentage_use,t_percentage_use,h_percentage_use,e_percentage_use,d_percentage_use,y_percentage_use,s_percentage_use,o_percentage_use,f_percentage_use,v_percentage_use,w_percentage_use,i_percentage_use,p_percentage_use,r_percentage_use,n_percentage_use,z_percentage_use,c_percentage_use,m_percentage_use,u_percentage_use,b_percentage_use,k_percentage_use,g_percentage_use,x_percentage_use,j_percentage_use,q_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
Moses,5.0,155.0,117.0,39.0,1.0,28.0,2.0,7.0,6.0,4.0,3.0,27.0,3.0,22.0,16.0,73.0,1.0,14.0,1.0,3.0,37.0,3.0,2.0,7.0,3.0,1.0,7.0,1.0,2.0,2.0,2.0,2.0,1.0,7.0,8.0,35.0,1.0,6.0,2.0,5.0,14.0,1.0,3.0,8.0,9.0,17.0,1.0,1.0,2.0,2.0,4.0,1.0,2.0,1.0,6.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07955314827352743,0.041469194312796206,0.08039945836154366,0.07786052809749493,0.13337846987136087,0.03825321597833446,0.012356127285037238,0.060765064319566686,0.08683141503046717,0.06110358835477319,0.01049424509140149,0.013371699390656737,0.05907244414353419,0.010155721056194989,0.061611374407582936,0.07261340555179417,0.001861882193635748,0.01794177386594448,0.014725795531482734,0.02064996614759648,0.015064319566689235,0.007616790792146243,0.02048070412999323,0.0016926201760324984,0.00016926201760324982,0.0,1413,4.181174805378627,24.362068965517242,753.9994922139471
Joshua,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12424242424242424,0.04242424242424243,0.07878787878787878,0.09393939393939393,0.10606060606060606,0.06666666666666667,0.006060606060606061,0.05454545454545454,0.05757575757575758,0.00909090909090909,0.021212121212121213,0.021212121212121213,0.0696969696969697,0.0030303030303030303,0.05757575757575758,0.10303030303030303,0.0030303030303030303,0.00909090909090909,0.015151515151515152,0.00909090909090909,0.00909090909090909,0.006060606060606061,0.02727272727272727,0.0,0.006060606060606061,0.0,74,4.45945945945946,12.333333333333334,40.99999999999999
Samuel,2.0,55.0,22.0,9.0,5.0,0.0,2.0,1.0,1.0,8.0,2.0,1.0,0.0,6.0,3.0,31.0,2.0,13.0,2.0,1.0,7.0,2.0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,3.0,3.0,0.0,0.0,3.0,15.0,4.0,4.0,1.0,4.0,5.0,7.0,0.0,0.0,6.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09481403876375065,0.02671555788370875,0.10633839706652698,0.08748035620743845,0.11524358302776323,0.0392875851231011,0.010476689366160294,0.062336301728653745,0.08643268727082241,0.020429544264012573,0.0041906757464641176,0.021477213200628602,0.05447878470403353,0.023048716605552647,0.05657412257726559,0.07909900471451022,0.001571503404924044,0.013619696176008382,0.02462022001047669,0.027239392352016764,0.01571503404924044,0.004714510214772132,0.014143530644316397,0.0020953378732320588,0.004714510214772132,0.0,462,4.132034632034632,30.666666666666668,257.9968569931903
Unknown,1.0,12.0,5.0,4.0,1.0,1.0,0.0,1.0,4.0,0.0,0.0,3.0,0.0,3.0,1.0,14.0,0.0,3.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,0.0,2.0,3.0,5.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,7.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09495896834701055,0.031652989449003514,0.11840562719812427,0.09964830011723329,0.11488862837045721,0.04806565064478312,0.01406799531066823,0.05627198124267292,0.07854630715123095,0.015240328253223915,0.016412661195779603,0.02579132473622509,0.059788980070339975,0.0246189917936694,0.03751465416178194,0.06213364595545135,0.0023446658851113715,0.01406799531066823,0.01992966002344666,0.03048065650644783,0.016412661195779603,0.004689331770222743,0.008206330597889801,0.0,0.0,0.0,214,3.985981308411215,35.333333333333336,126.9941383352872
Unknown,3.0,18.0,12.0,12.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,4.0,0.0,0.0,3.0,13.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,6.0,1.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10318471337579618,0.024203821656050957,0.0840764331210191,0.09936305732484077,0.12229299363057325,0.0535031847133758,0.006369426751592357,0.061146496815286625,0.06624203821656051,0.025477707006369428,0.007643312101910828,0.022929936305732482,0.06751592356687898,0.005095541401273885,0.05732484076433121,0.06369426751592357,0.0,0.011464968152866241,0.033121019108280254,0.015286624203821656,0.022929936305732482,0.008917197452229299,0.017834394904458598,0.0,0.011464968152866241,0.0,195,4.0256410256410255,24.0,111.99108280254775
Unknown,5.0,20.0,8.0,4.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,2.0,0.0,0.0,7.0,22.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,7.0,0.0,3.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,2.0,8.0,6.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08441558441558442,0.03710575139146568,0.11410018552875696,0.08441558441558442,0.12894248608534323,0.06493506493506493,0.022263450834879406,0.05473098330241188,0.06493506493506493,0.01855287569573284,0.015769944341372914,0.017625231910946195,0.05380333951762523,0.00927643784786642,0.04916512059369202,0.06957328385899815,0.0,0.01948051948051948,0.03153988868274583,0.02040816326530612,0.01020408163265306,0.0074211502782931356,0.017625231910946195,0.0,0.0037105751391465678,0.0,245,4.4,35.0,151.00000000000006
Ezra,5.0,65.0,36.0,3.0,4.0,6.0,1.0,4.0,4.0,13.0,1.0,5.0,2.0,1.0,16.0,42.0,1.0,11.0,4.0,0.0,9.0,0.0,3.0,7.0,0.0,4.0,6.0,0.0,3.0,1.0,5.0,0.0,1.0,6.0,19.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,5.0,2.0,6.0,2.0,6.0,0.0,1.0,0.0,0.0,4.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,1.0,0.0,5.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08726591760299625,0.03295880149812734,0.10936329588014981,0.09063670411985018,0.1303370786516854,0.05131086142322097,0.013857677902621723,0.05468164794007491,0.08202247191011236,0.02883895131086142,0.00599250936329588,0.012734082397003745,0.04906367041198502,0.015355805243445693,0.05355805243445693,0.05805243445692884,0.0011235955056179776,0.017228464419475654,0.024719101123595506,0.030337078651685393,0.012734082397003745,0.006367041198501872,0.017977528089887642,0.0,0.011235955056179775,0.0003745318352059925,632,4.224683544303797,31.55,365.9981273408243
Nehemiah,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1523809523809524,0.01904761904761905,0.047619047619047616,0.12380952380952381,0.10476190476190476,0.01904761904761905,0.0,0.02857142857142857,0.047619047619047616,0.01904761904761905,0.0,0.0,0.08571428571428572,0.0380952380952381,0.02857142857142857,0.06666666666666667,0.02857142857142857,0.02857142857142857,0.01904761904761905,0.0380952380952381,0.08571428571428572,0.0,0.009523809523809525,0.0,0.009523809523809525,0.0,19,5.526315789473684,4.75,3.999999999999999
Mordecai,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0962962962962963,0.022222222222222223,0.11851851851851852,0.0962962962962963,0.1037037037037037,0.06666666666666667,0.022222222222222223,0.044444444444444446,0.0962962962962963,0.02962962962962963,0.0,0.007407407407407408,0.044444444444444446,0.02962962962962963,0.044444444444444446,0.05185185185185185,0.0,0.007407407407407408,0.05925925925925926,0.022222222222222223,0.0,0.007407407407407408,0.007407407407407408,0.0,0.007407407407407408,0.0,35,3.857142857142857,34.0,22.98518518518517
Unknown,0.0,13.0,5.0,3.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,4.0,0.0,1.0,1.0,8.0,0.0,2.0,0.0,0.0,2.0,0.0,10.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07986688851913477,0.021630615640599003,0.09151414309484193,0.08652246256239601,0.14143094841930118,0.064891846921797,0.024958402662229616,0.05324459234608985,0.056572379367720464,0.014975041597337771,0.0066555740432612314,0.036605657237936774,0.0632279534109817,0.019966722129783693,0.05823627287853577,0.07154742096505824,0.0,0.016638935108153077,0.028286189683860232,0.024958402662229616,0.011647254575707155,0.004991680532445923,0.016638935108153077,0.0,0.0016638935108153079,0.0,160,3.75625,16.0,98.99667221297837
David and others,5.0,35.0,16.0,3.0,0.0,9.0,0.0,2.0,3.0,6.0,1.0,5.0,0.0,1.0,7.0,18.0,0.0,4.0,2.0,0.0,8.0,0.0,2.0,3.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,2.0,2.0,0.0,0.0,9.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,0.0,1.0,0.0,6.0,4.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0975609756097561,0.045571245186136075,0.09178433889602054,0.08279845956354301,0.137997432605905,0.04813863928112965,0.02503209242618742,0.0558408215661104,0.07188703465982028,0.021181001283697046,0.007702182284980745,0.014762516046213094,0.050706033376123234,0.016046213093709884,0.06418485237483953,0.06225930680359435,0.0019255455712451862,0.012195121951219513,0.030166880616174584,0.01989730423620026,0.009627727856225931,0.011553273427471117,0.018613607188703467,0.0006418485237483953,0.0006418485237483953,0.0,390,3.994871794871795,16.25,226.99871630295246
Solomon and others,0.0,21.0,6.0,1.0,0.0,7.0,0.0,0.0,5.0,4.0,0.0,4.0,1.0,0.0,0.0,5.0,0.0,3.0,2.0,0.0,3.0,0.0,2.0,0.0,0.0,1.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06540697674418605,0.0377906976744186,0.10755813953488372,0.0872093023255814,0.12790697674418605,0.03924418604651163,0.010174418604651164,0.06686046511627906,0.07267441860465117,0.01744186046511628,0.005813953488372093,0.03197674418604651,0.06540697674418605,0.01308139534883721,0.061046511627906974,0.06395348837209303,0.0,0.023255813953488372,0.015988372093023256,0.024709302325581394,0.014534883720930232,0.00872093023255814,0.020348837209302327,0.0,0.00436046511627907,0.0014534883720930232,166,4.144578313253012,18.444444444444443,90.98691860465114
Solomon,0.0,9.0,1.0,0.0,1.0,2.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07942238267148015,0.05776173285198556,0.1371841155234657,0.09386281588447654,0.1371841155234657,0.02888086642599278,0.018050541516245487,0.04693140794223827,0.07581227436823104,0.036101083032490974,0.01444043321299639,0.021660649819494584,0.039711191335740074,0.021660649819494584,0.061371841155234655,0.05054151624548736,0.0,0.010830324909747292,0.010830324909747292,0.02888086642599278,0.01444043321299639,0.0036101083032490976,0.007220216606498195,0.0,0.0,0.0,71,3.9014084507042255,23.666666666666668,41.996389891696765
Isaiah,0.0,29.0,5.0,7.0,1.0,6.0,2.0,1.0,4.0,0.0,0.0,8.0,0.0,0.0,4.0,19.0,4.0,7.0,7.0,0.0,1.0,0.0,0.0,5.0,0.0,2.0,5.0,0.0,1.0,1.0,4.0,1.0,1.0,5.0,7.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,2.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,3.0,0.0,2.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08025682182985554,0.03531300160513644,0.11316211878009631,0.09390048154093097,0.13964686998394862,0.04654895666131621,0.019261637239165328,0.06019261637239166,0.06581059390048154,0.019261637239165328,0.011235955056179775,0.02086677367576244,0.052969502407704656,0.011235955056179775,0.05377207062600321,0.06982343499197431,0.0,0.01043338683788122,0.027287319422150885,0.021669341894060994,0.012038523274478331,0.004815409309791332,0.026484751203852328,0.0,0.002407704654895666,0.0,307,4.058631921824104,25.583333333333332,178.99839486356348
Jeremiah,3.0,58.0,33.0,1.0,0.0,3.0,0.0,4.0,4.0,11.0,4.0,7.0,0.0,13.0,8.0,38.0,2.0,10.0,7.0,0.0,6.0,1.0,2.0,5.0,2.0,2.0,2.0,2.0,0.0,1.0,10.0,4.0,2.0,6.0,14.0,0.0,0.0,0.0,4.0,6.0,2.0,0.0,0.0,5.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,11.0,1.0,6.0,4.0,0.0,0.0,4.0,2.0,0.0,1.0,3.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,4.0,3.0,0.0,2.0,4.0,0.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09239346873755476,0.04181600955794504,0.0955794504181601,0.0955794504181601,0.12146555157307845,0.04739147749900438,0.01592990840302668,0.038231780167264036,0.08562325766626842,0.022700119474313024,0.010752688172043012,0.022301871764237355,0.06172839506172839,0.014735165272799682,0.039824771007566706,0.07327757865392275,0.001991238550378335,0.020708880923934688,0.029470330545599364,0.022700119474313024,0.01632815611310235,0.0067702110712863405,0.01752289924332935,0.0,0.004380724810832338,0.0,626,4.0111821086261985,41.733333333333334,368.99920350457984
Ezekiel,6.0,40.0,20.0,1.0,0.0,16.0,0.0,1.0,4.0,5.0,1.0,0.0,0.0,2.0,5.0,11.0,0.0,6.0,1.0,3.0,7.0,0.0,4.0,6.0,0.0,3.0,2.0,0.0,3.0,2.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,3.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,5.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07606420097697139,0.06978367062107467,0.11723656664340544,0.0928122819260293,0.12491277041172366,0.03977669225401256,0.023028611304954642,0.05443126308443824,0.07257501744591766,0.030704815073272853,0.004884856943475227,0.024424284717376135,0.05443126308443824,0.011863224005582694,0.05024424284717376,0.05443126308443824,0.0006978367062107466,0.009071877180739707,0.03210048848569435,0.023028611304954642,0.013956734124214934,0.005582693649685973,0.01256106071179344,0.0006978367062107466,0.0,0.0,352,4.0710227272727275,29.333333333333332,218.99930216329386
