Author,thou,shalt,not,to,do,neither,in,many,man,his,if,thine,or,it,him,again,the,of,that,thee,and,with,thy,from,for,will,no,also,ye,were,thereof,but,let,may,what,they,shall,like,be,all,have,said,unto,make,other,out,me,as,which,hast,is,when,lord,god,my,into,an,he,your,then,them,their,there,whom,one,lest,by,hath,we,according,these,was,upon,did,are,every,among,more,than,had,now,therefore,would,could,forth,where,because,wherein,should,say,cometh,how,being,ever,upward,such,who,once,thus,been,those,therein,wherefore,till,yet,himself,yea,whose,notwithstanding,whereby,much,without,hence,whosoever,abundance,must,ought,verily,our,became,didst,each,inasmuch,her,downward,whereto,seest,therewith,thence,whatsoever,whereof,thereby,shouldest,outward,howsoever,becometh,throughout,henceforth,thereon,thereupon,doeth,thereunto,moreover,wherewith,oft,oftentimes,whither,underneath,whereunto,whence,whensoever,wherewithal,seemeth,hereof,thyself,whereon,soever,forthwith,some,therefrom,wheresoever,whoso,t_percentage_use,h_percentage_use,o_percentage_use,u_percentage_use,s_percentage_use,a_percentage_use,l_percentage_use,n_percentage_use,f_percentage_use,w_percentage_use,m_percentage_use,i_percentage_use,d_percentage_use,e_percentage_use,v_percentage_use,r_percentage_use,p_percentage_use,k_percentage_use,c_percentage_use,y_percentage_use,j_percentage_use,g_percentage_use,x_percentage_use,b_percentage_use,z_percentage_use,q_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
Moses,35.0,26.0,14.0,13.0,7.0,5.0,29.0,1.0,3.0,12.0,5.0,6.0,1.0,11.0,10.0,2.0,130.0,63.0,10.0,20.0,117.0,11.0,19.0,8.0,13.0,18.0,3.0,2.0,7.0,3.0,1.0,4.0,4.0,4.0,1.0,8.0,15.0,2.0,10.0,12.0,4.0,9.0,19.0,5.0,1.0,8.0,6.0,3.0,9.0,2.0,3.0,1.0,15.0,6.0,5.0,8.0,5.0,9.0,3.0,2.0,12.0,7.0,3.0,1.0,2.0,2.0,1.0,3.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10374690703428774,0.0784729586426299,0.0767055496641923,0.02704135737009544,0.056733828207847295,0.0816542948038176,0.04878048780487805,0.07493814068575469,0.027748320961470483,0.016436903499469777,0.024213503004595262,0.06097560975609756,0.05231530576175327,0.12672322375397668,0.009190526687875575,0.04895722870272181,0.013078826440438318,0.007069635913750442,0.01343230823612584,0.019088016967126194,0.0010604453870625664,0.01343230823612584,0.0012371862849063274,0.014669494521032167,0.0003534817956875221,0.00017674089784376105,1420,3.984507042253521,24.448275862068964,833.9982325910214
Joshua,2.0,0.0,2.0,7.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,23.0,7.0,4.0,0.0,16.0,4.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10864745011086474,0.08647450110864745,0.08980044345898004,0.02328159645232816,0.05321507760532151,0.08425720620842572,0.04434589800443459,0.07095343680709534,0.02106430155210643,0.02106430155210643,0.024390243902439025,0.05432372505543237,0.058758314855875834,0.12749445676274945,0.007760532150776054,0.04767184035476718,0.011086474501108648,0.008869179600886918,0.009977827050997782,0.011086474501108648,0.004434589800443459,0.01662971175166297,0.0,0.011086474501108648,0.0022172949002217295,0.0,220,4.1,36.666666666666664,122.99889135254989
Samuel,0.0,0.0,2.0,11.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,44.0,35.0,6.0,0.0,27.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,5.0,0.0,3.0,1.0,0.0,0.0,6.0,0.0,1.0,3.0,0.0,2.0,0.0,4.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09400769653655855,0.07091808686091258,0.06322155030236394,0.02473886750962067,0.05112699285321605,0.0868609125893348,0.040131940626717974,0.08576140736668499,0.025288620120945574,0.018141836173721827,0.026388125343595383,0.06212204507971413,0.056074766355140186,0.13908741066520067,0.006047278724573941,0.054425508521165476,0.009895547003848268,0.002748763056624519,0.019241341396371632,0.010995052226498075,0.006597031335898846,0.023639362286970864,0.0005497526113249038,0.020890599230346345,0.0,0.0,418,4.351674641148326,27.866666666666667,202.99890049477733
Unknown,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,22.0,18.0,3.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10424710424710425,0.09009009009009009,0.06563706563706563,0.015444015444015444,0.04504504504504504,0.10553410553410554,0.02445302445302445,0.0888030888030888,0.029601029601029602,0.015444015444015444,0.03346203346203346,0.05405405405405406,0.05405405405405406,0.12483912483912483,0.007722007722007722,0.0489060489060489,0.006435006435006435,0.003861003861003861,0.015444015444015444,0.019305019305019305,0.003861003861003861,0.014157014157014158,0.0,0.02574002574002574,0.002574002574002574,0.0,191,4.0680628272251305,31.833333333333332,99.99871299871299
Unknown,12.0,0.0,0.0,8.0,1.0,0.0,6.0,0.0,1.0,4.0,2.0,2.0,0.0,0.0,3.0,2.0,11.0,6.0,3.0,4.0,22.0,0.0,13.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,4.0,0.0,4.0,0.0,2.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,5.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09816971713810316,0.10149750415973377,0.059900166389351084,0.030782029950083195,0.05574043261231281,0.09650582362728785,0.02745424292845258,0.08818635607321132,0.01747088186356073,0.018302828618968387,0.016638935108153077,0.0632279534109817,0.036605657237936774,0.12396006655574043,0.015806988352745424,0.04326123128119801,0.024126455906821963,0.004991680532445923,0.019966722129783693,0.026622296173044926,0.0016638935108153079,0.019966722129783693,0.0,0.009151414309484194,0.0,0.0,277,4.3393501805054155,34.625,161.00000000000006
Unknown,2.0,1.0,3.0,9.0,2.0,0.0,3.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,18.0,8.0,6.0,0.0,18.0,3.0,1.0,0.0,1.0,3.0,0.0,2.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10358565737051793,0.07669322709163347,0.0796812749003984,0.026892430278884463,0.0697211155378486,0.07669322709163347,0.03386454183266932,0.06872509960159362,0.017928286852589643,0.021912350597609563,0.02390438247011952,0.049800796812749,0.037848605577689244,0.13645418326693226,0.0069721115537848604,0.052788844621513946,0.00597609561752988,0.0069721115537848604,0.01693227091633466,0.026892430278884463,0.0069721115537848604,0.01593625498007968,0.00099601593625498,0.01593625498007968,0.0049800796812749,0.0,261,3.846743295019157,36.285714285714285,144.98505976095615
Ezra,0.0,0.0,1.0,5.0,0.0,0.0,7.0,2.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,59.0,40.0,5.0,0.0,35.0,0.0,0.0,2.0,15.0,0.0,2.0,1.0,0.0,10.0,1.0,3.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,4.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07696661007357103,0.09168081494057725,0.08715336728919072,0.019807583474816072,0.07187323146576118,0.07809847198641766,0.025466893039049237,0.0690435766836446,0.04697226938313526,0.014714204867006225,0.02490096208262592,0.05319750990379174,0.04187889077532541,0.14035087719298245,0.010752688172043012,0.06847764572722127,0.003961516694963215,0.005659309564233163,0.01697792869269949,0.011884550084889643,0.005659309564233163,0.008488964346349746,0.0,0.015280135823429542,0.009054895302773062,0.0,434,4.071428571428571,21.65,253.99830220713076
Nehemiah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10897435897435898,0.10897435897435898,0.07051282051282051,0.019230769230769232,0.00641025641025641,0.07692307692307693,0.01282051282051282,0.12179487179487179,0.04487179487179487,0.01282051282051282,0.03205128205128205,0.038461538461538464,0.0641025641025641,0.14743589743589744,0.01282051282051282,0.038461538461538464,0.00641025641025641,0.0,0.01282051282051282,0.019230769230769232,0.0,0.019230769230769232,0.0,0.019230769230769232,0.00641025641025641,0.0,34,4.588235294117647,8.5,16.000000000000007
Mordecai,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.13392857142857142,0.07142857142857142,0.03571428571428571,0.08928571428571429,0.05357142857142857,0.008928571428571428,0.09821428571428571,0.008928571428571428,0.017857142857142856,0.017857142857142856,0.08035714285714286,0.0,0.13392857142857142,0.008928571428571428,0.044642857142857144,0.0,0.017857142857142856,0.008928571428571428,0.017857142857142856,0.0,0.017857142857142856,0.0,0.008928571428571428,0.0,0.0,27,4.148148148148148,27.0,13.999999999999996
Unknown,3.0,0.0,1.0,2.0,1.0,0.0,3.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,2.0,1.0,1.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,7.0,1.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08439897698209718,0.09207161125319693,0.06010230179028133,0.03836317135549872,0.06521739130434782,0.08695652173913043,0.03324808184143223,0.05754475703324808,0.01278772378516624,0.028132992327365727,0.04603580562659847,0.056265984654731455,0.04219948849104859,0.13810741687979539,0.01278772378516624,0.04092071611253197,0.017902813299232736,0.0076726342710997444,0.01278772378516624,0.030690537084398978,0.0,0.024296675191815855,0.0,0.0076726342710997444,0.0,0.0,190,4.11578947368421,18.9,103.99616368286446
David and others,4.0,0.0,5.0,9.0,0.0,0.0,15.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,6.0,0.0,14.0,12.0,4.0,11.0,12.0,3.0,6.0,4.0,6.0,5.0,1.0,1.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,7.0,13.0,0.0,8.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,4.0,0.0,1.0,10.0,2.0,1.0,11.0,28.0,1.0,0.0,5.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,4.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08559046587215602,0.07421451787648971,0.07692307692307693,0.026543878656554713,0.06067172264355363,0.07042253521126761,0.059588299024918745,0.05742145178764897,0.02437703141928494,0.01895991332611051,0.03629469122426869,0.06608884073672806,0.032502708559046585,0.12296858071505959,0.010834236186348862,0.05037919826652221,0.016251354279523293,0.005417118093174431,0.018418201516793065,0.041170097508125676,0.0027085590465872156,0.02112676056338028,0.0016251354279523294,0.016251354279523293,0.0,0.0,474,3.8945147679324896,19.75,263.9967497291442
Solomon and others,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,7.0,5.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,3.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11783960720130933,0.0867430441898527,0.06710310965630115,0.03600654664484452,0.06710310965630115,0.06382978723404255,0.054009819967266774,0.049099836333878884,0.027823240589198037,0.019639934533551555,0.016366612111292964,0.06710310965630115,0.019639934533551555,0.1342062193126023,0.006546644844517185,0.0425531914893617,0.019639934533551555,0.011456628477905073,0.019639934533551555,0.01309328968903437,0.0032733224222585926,0.016366612111292964,0.0,0.022913256955810146,0.0,0.0,150,4.073333333333333,16.555555555555557,72.98199672667761
Solomon,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0,1.0,4.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10921501706484642,0.11945392491467577,0.040955631399317405,0.006825938566552901,0.05802047781569966,0.10580204778156997,0.030716723549488054,0.08532423208191127,0.023890784982935155,0.03754266211604096,0.034129692832764506,0.08873720136518772,0.030716723549488054,0.10921501706484642,0.006825938566552901,0.03754266211604096,0.0034129692832764505,0.006825938566552901,0.017064846416382253,0.017064846416382253,0.0,0.013651877133105802,0.0,0.013651877133105802,0.0,0.0,78,3.7564102564102564,26.0,51.99658703071672
Isaiah,0.0,0.0,1.0,1.0,2.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,41.0,13.0,4.0,0.0,6.0,2.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,6.0,7.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,9.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11447492904446546,0.10028382213812677,0.0586565752128666,0.017975402081362345,0.05581835383159887,0.07473982970671712,0.043519394512771994,0.06811731315042574,0.02838221381267739,0.015137180700094607,0.01608325449385052,0.059602649006622516,0.03878902554399243,0.15610217596972564,0.00946073793755913,0.05771050141911069,0.007568590350047304,0.006622516556291391,0.015137180700094607,0.019867549668874173,0.003784295175023652,0.020813623462630087,0.0,0.010406811731315043,0.0,0.0,247,4.279352226720648,20.583333333333332,140.99905392620622
Jeremiah,0.0,0.0,9.0,7.0,2.0,0.0,8.0,0.0,1.0,5.0,1.0,0.0,0.0,3.0,3.0,0.0,29.0,9.0,9.0,0.0,14.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,2.0,7.0,6.0,2.0,1.0,1.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0,0.0,12.0,2.0,12.0,0.0,0.0,4.0,0.0,1.0,6.0,8.0,0.0,0.0,1.0,0.0,3.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1056020605280103,0.10753380553766903,0.0695428203477141,0.013522215067611075,0.05280103026400515,0.08564069542820348,0.04700579523502898,0.0463618802318094,0.023824855119124275,0.014166130070830651,0.028976175144880875,0.06052801030264005,0.049581455247907275,0.12942691564713457,0.01159047005795235,0.062459755312298776,0.025112685125563427,0.005795235028976175,0.0128783000643915,0.026400515132002575,0.0,0.012234385061171926,0.000643915003219575,0.008370895041854474,0.0,0.0,388,4.002577319587629,25.866666666666667,221.0
Ezekiel,0.0,0.0,9.0,2.0,3.0,3.0,13.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,16.0,4.0,7.0,0.0,12.0,2.0,0.0,1.0,3.0,0.0,0.0,3.0,2.0,2.0,0.0,4.0,0.0,1.0,0.0,6.0,2.0,0.0,3.0,1.0,0.0,2.0,3.0,1.0,0.0,2.0,2.0,0.0,3.0,0.0,1.0,0.0,2.0,2.0,17.0,1.0,1.0,1.0,3.0,1.0,17.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11301859799713877,0.0815450643776824,0.05722460658082976,0.03648068669527897,0.060801144492131615,0.06294706723891273,0.04220314735336195,0.06652360515021459,0.015021459227467811,0.023605150214592276,0.04005722460658083,0.06366237482117311,0.05507868383404864,0.1301859799713877,0.006437768240343348,0.04291845493562232,0.011444921316165951,0.007868383404864092,0.008583690987124463,0.027896995708154508,0.004291845493562232,0.02074391988555079,0.000715307582260372,0.0178826895565093,0.0,0.0,325,4.3015384615384615,26.916666666666668,191.99713876967093
