Author,then,thou,shalt,an,and,it,his,unto,the,he,shall,be,thy,for,ever,also,do,not,thee,when,him,from,hath,been,to,in,lord,god,all,that,of,no,with,by,which,if,there,therein,as,or,have,thereof,upon,forth,out,therefore,therewith,neither,but,such,thine,according,is,are,among,these,hast,because,they,every,man,make,throughout,wherein,other,them,till,one,being,into,those,will,more,say,me,like,whom,himself,should,said,ye,henceforth,may,their,where,cometh,her,were,yet,my,had,was,wherefore,became,let,now,would,didst,did,moreover,who,what,some,thereon,upward,many,could,we,your,without,how,much,than,yea,each,whose,verily,our,shouldest,again,hence,must,ought,thyself,whereby,thereupon,outward,whereof,underneath,thus,lest,whereunto,abundance,thereby,whence,notwithstanding,hereof,doeth,oftentimes,thence,whither,inasmuch,once,downward,wherewith,whoso,whereto,therefrom,forthwith,thereunto,becometh,oft,t_percentage_use,h_percentage_use,e_percentage_use,n_percentage_use,o_percentage_use,u_percentage_use,s_percentage_use,a_percentage_use,l_percentage_use,k_percentage_use,d_percentage_use,r_percentage_use,i_percentage_use,g_percentage_use,b_percentage_use,y_percentage_use,v_percentage_use,f_percentage_use,m_percentage_use,w_percentage_use,x_percentage_use,c_percentage_use,p_percentage_use,j_percentage_use,q_percentage_use,z_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
Moses,4.0,67.0,52.0,2.0,96.0,17.0,20.0,25.0,173.0,21.0,48.0,17.0,72.0,9.0,2.0,2.0,12.0,20.0,33.0,5.0,9.0,10.0,9.0,1.0,37.0,34.0,47.0,36.0,20.0,38.0,67.0,8.0,9.0,3.0,32.0,5.0,10.0,4.0,11.0,13.0,6.0,1.0,3.0,5.0,7.0,3.0,1.0,5.0,3.0,2.0,4.0,6.0,10.0,3.0,5.0,2.0,2.0,1.0,13.0,1.0,6.0,2.0,1.0,1.0,1.0,5.0,1.0,2.0,1.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12415320479416363,0.1090411672746222,0.12350182386659718,0.060838978634705575,0.0771235018238666,0.025143303804064616,0.05719124544033351,0.07764460656591975,0.05080771235018239,0.004820218863991662,0.041558103178738925,0.047290255341323605,0.04989577905158937,0.01797811360083377,0.012506513809275664,0.02058363731109953,0.010291818655549765,0.02214695153725899,0.01797811360083377,0.015502866076081293,0.0003908285565398645,0.01862949452840021,0.011464304325169358,0.0019541427826993227,0.0002605523710265763,0.0,1882,4.078639744952179,32.43103448275862,1232.9986972381448
Joshua,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,11.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,14.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09833024118738404,0.1038961038961039,0.10946196660482375,0.04452690166975881,0.06307977736549165,0.05380333951762523,0.07421150278293136,0.06679035250463822,0.02411873840445269,0.0055658627087198514,0.02040816326530612,0.07792207792207792,0.07421150278293136,0.012987012987012988,0.059369202226345084,0.0055658627087198514,0.0037105751391465678,0.04081632653061224,0.016697588126159554,0.025974025974025976,0.0,0.016697588126159554,0.0,0.0018552875695732839,0.0,0.0,121,4.454545454545454,20.166666666666668,69.00000000000001
Samuel,1.0,3.0,0.0,1.0,31.0,3.0,7.0,6.0,27.0,7.0,7.0,7.0,5.0,3.0,0.0,2.0,0.0,1.0,8.0,5.0,7.0,5.0,6.0,1.0,24.0,5.0,14.0,3.0,1.0,12.0,21.0,1.0,5.0,1.0,4.0,0.0,1.0,0.0,3.0,2.0,5.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,4.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,1.0,7.0,3.0,4.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09302325581395349,0.09108527131782945,0.1312984496124031,0.06492248062015504,0.07073643410852713,0.0188953488372093,0.05862403100775194,0.0939922480620155,0.04408914728682171,0.007267441860465116,0.06298449612403101,0.04312015503875969,0.0562015503875969,0.015988372093023256,0.020833333333333332,0.012596899224806201,0.014050387596899225,0.02422480620155039,0.02810077519379845,0.018410852713178296,0.00048449612403100775,0.015988372093023256,0.010174418604651164,0.00048449612403100775,0.0,0.00048449612403100775,525,3.9314285714285715,34.93333333333333,305.998062015504
Unknown,1.0,0.0,0.0,0.0,15.0,1.0,3.0,3.0,20.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,4.0,1.0,0.0,0.0,2.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09955423476968796,0.08320950965824665,0.12184249628528974,0.06537890044576523,0.07429420505200594,0.022288261515601784,0.05052005943536404,0.1099554234769688,0.03268945022288262,0.004457652303120356,0.05200594353640416,0.0549777117384844,0.06092124814264487,0.005943536404160475,0.02674591381872214,0.010401188707280832,0.01634472511144131,0.019316493313521546,0.022288261515601784,0.0237741456166419,0.0,0.014858841010401188,0.01337295690936107,0.01188707280832095,0.0,0.0014858841010401188,169,3.9822485207100593,28.166666666666668,87.998514115899
Unknown,1.0,3.0,0.0,0.0,22.0,3.0,7.0,7.0,15.0,5.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,2.0,6.0,0.0,10.0,0.0,0.0,0.0,5.0,3.0,1.0,1.0,0.0,4.0,6.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09551098376313276,0.08213944603629417,0.13944603629417382,0.07354345749761222,0.06303724928366762,0.018147086914995225,0.055396370582617004,0.08978032473734479,0.034383954154727794,0.0038204393505253103,0.05635148042024833,0.04202483285577841,0.08118433619866285,0.015281757402101241,0.02387774594078319,0.018147086914995225,0.011461318051575931,0.017191977077363897,0.025787965616045846,0.021012416427889206,0.0,0.010506208213944603,0.009551098376313277,0.004775549188156638,0.0,0.004775549188156638,263,3.9809885931558937,32.75,149.99713467048718
Unknown,1.0,1.0,0.0,0.0,21.0,3.0,2.0,0.0,41.0,6.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,7.0,4.0,2.0,2.0,2.0,10.0,21.0,1.0,2.0,0.0,6.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10237510237510238,0.10073710073710074,0.12366912366912367,0.062244062244062245,0.08681408681408681,0.01638001638001638,0.0475020475020475,0.09090909090909091,0.04013104013104013,0.006552006552006552,0.05405405405405406,0.043407043407043405,0.06060606060606061,0.015561015561015561,0.018018018018018018,0.002457002457002457,0.004095004095004095,0.02375102375102375,0.03276003276003276,0.018018018018018018,0.0,0.02702702702702703,0.018018018018018018,0.004095004095004095,0.0,0.000819000819000819,297,4.111111111111111,42.42857142857143,179.99999999999997
Ezra,3.0,0.0,0.0,0.0,54.0,3.0,8.0,12.0,99.0,1.0,0.0,0.0,0.0,7.0,1.0,2.0,2.0,2.0,0.0,6.0,1.0,4.0,0.0,0.0,16.0,10.0,13.0,7.0,4.0,7.0,62.0,0.0,8.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,3.0,13.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,13.0,0.0,0.0,0.0,5.0,1.0,0.0,2.0,6.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10258838383838384,0.0763888888888889,0.1388888888888889,0.06976010101010101,0.08522727272727272,0.030303030303030304,0.061553030303030304,0.06849747474747475,0.030618686868686868,0.004103535353535354,0.052714646464646464,0.06092171717171717,0.052083333333333336,0.013888888888888888,0.013888888888888888,0.015151515151515152,0.008838383838383838,0.04198232323232323,0.016414141414141416,0.016414141414141416,0.0006313131313131314,0.015467171717171718,0.015782828282828284,0.004734848484848485,0.0003156565656565657,0.001893939393939394,746,4.246648793565684,37.3,425.99905303030306
Nehemiah,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09120521172638436,0.08306188925081433,0.13517915309446255,0.05211726384364821,0.06188925081433225,0.013029315960912053,0.057003257328990226,0.11400651465798045,0.02280130293159609,0.0016286644951140066,0.05211726384364821,0.07003257328990228,0.07654723127035831,0.011400651465798045,0.0016286644951140066,0.006514657980456026,0.009771986970684038,0.03908794788273615,0.02768729641693811,0.013029315960912053,0.0,0.019543973941368076,0.011400651465798045,0.017915309446254073,0.0,0.009771986970684038,131,4.687022900763359,32.75,68.99837133550488
Mordecai,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1079136690647482,0.09352517985611511,0.09352517985611511,0.07194244604316546,0.09352517985611511,0.02877697841726619,0.050359712230215826,0.10071942446043165,0.02158273381294964,0.02158273381294964,0.05755395683453238,0.050359712230215826,0.050359712230215826,0.02877697841726619,0.014388489208633094,0.007194244604316547,0.0,0.02877697841726619,0.014388489208633094,0.02877697841726619,0.0,0.014388489208633094,0.007194244604316547,0.0,0.0,0.0,33,4.212121212121212,32.0,15.98561151079137
Unknown,1.0,4.0,0.0,0.0,6.0,1.0,0.0,0.0,13.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,4.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,4.0,1.0,1.0,0.0,2.0,6.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11061946902654868,0.0943952802359882,0.12979351032448377,0.07817109144542773,0.07817109144542773,0.030973451327433628,0.045722713864306784,0.061946902654867256,0.035398230088495575,0.0058997050147492625,0.0471976401179941,0.05309734513274336,0.06637168141592921,0.01327433628318584,0.007374631268436578,0.008849557522123894,0.0,0.030973451327433628,0.019174041297935103,0.03982300884955752,0.0014749262536873156,0.02064896755162242,0.01032448377581121,0.0058997050147492625,0.0,0.0,160,4.2375,15.9,95.99557522123897
David and others,0.0,1.0,0.0,1.0,10.0,7.0,9.0,3.0,18.0,4.0,5.0,1.0,9.0,14.0,2.0,2.0,1.0,5.0,0.0,0.0,0.0,3.0,3.0,0.0,5.0,6.0,8.0,2.0,2.0,4.0,17.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,3.0,0.0,5.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,13.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09130166563849476,0.07464528069093153,0.11165946946329426,0.061690314620604564,0.09006785934608266,0.0215916101172116,0.05860579888957434,0.0647748303516348,0.05737199259716225,0.003701418877236274,0.04688463911165947,0.06230721776681061,0.08266502159161011,0.013571869216533004,0.012954966070326958,0.0215916101172116,0.012954966070326958,0.030845157310302282,0.022208513263417645,0.023442319555829736,0.0006169031462060457,0.013571869216533004,0.011721159777914868,0.0024676125848241827,0.0012338062924120913,0.0006169031462060457,409,3.9633251833740832,16.958333333333332,215.99506477483035
Solomon and others,0.0,0.0,0.0,1.0,2.0,2.0,5.0,0.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12159709618874773,0.0852994555353902,0.1397459165154265,0.06170598911070781,0.05989110707803993,0.032667876588021776,0.05989110707803993,0.07259528130671507,0.034482758620689655,0.010889292196007259,0.025408348457350273,0.07078039927404718,0.07078039927404718,0.021778584392014518,0.016333938294010888,0.007259528130671506,0.003629764065335753,0.021778584392014518,0.018148820326678767,0.019963702359346643,0.0,0.016333938294010888,0.009074410163339383,0.003629764065335753,0.0,0.0,138,3.9927536231884058,15.333333333333334,59.983666061705996
