Author,and,he,that,when,there,was,no,man,the,him,in,out,of,said,to,did,wherefore,thou,thy,who,thee,me,as,is,now,but,from,by,had,they,their,them,how,it,ye,are,an,also,for,unto,his,where,have,may,with,been,god,upon,lord,not,will,whereon,moreover,my,which,therefore,wherewith,forth,should,be,shall,hast,say,your,hath,what,thus,shalt,ever,all,let,we,into,our,do,thereof,every,her,thine,became,again,other,if,neither,these,or,whom,cometh,yet,those,were,would,then,could,lest,because,than,wherein,like,more,throughout,according,one,whose,make,such,wheresoever,ought,thereon,among,yea,whereby,himself,thyself,being,many,once,didst,whatsoever,whosoever,abundance,much,some,doeth,without,whereof,each,inasmuch,downward,whereto,seest,therewith,thence,thereby,shouldest,outward,hence,howsoever,becometh,henceforth,till,must,thereupon,thereunto,oft,oftentimes,whither,underneath,whereunto,whence,whensoever,wherewithal,seemeth,hereof,therein,notwithstanding,verily,soever,forthwith,therefrom,whoso,upward,a_percentage_use,n_percentage_use,d_percentage_use,h_percentage_use,e_percentage_use,l_percentage_use,o_percentage_use,k_percentage_use,t_percentage_use,i_percentage_use,s_percentage_use,w_percentage_use,y_percentage_use,r_percentage_use,m_percentage_use,g_percentage_use,p_percentage_use,u_percentage_use,c_percentage_use,b_percentage_use,f_percentage_use,v_percentage_use,j_percentage_use,z_percentage_use,q_percentage_use,x_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
Moses,163.0,44.0,28.0,11.0,1.0,7.0,2.0,4.0,128.0,14.0,22.0,14.0,82.0,35.0,30.0,1.0,1.0,22.0,14.0,4.0,15.0,9.0,3.0,14.0,9.0,6.0,3.0,7.0,2.0,13.0,9.0,11.0,1.0,17.0,9.0,4.0,2.0,4.0,8.0,48.0,24.0,1.0,10.0,3.0,13.0,1.0,32.0,8.0,21.0,14.0,19.0,1.0,2.0,12.0,7.0,3.0,2.0,6.0,2.0,10.0,20.0,2.0,10.0,5.0,7.0,5.0,3.0,10.0,1.0,4.0,5.0,2.0,7.0,1.0,4.0,1.0,1.0,3.0,6.0,2.0,3.0,1.0,2.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08821402747650037,0.07086044830079537,0.06030368763557484,0.09052783803326103,0.11655820679681851,0.037454808387563265,0.08445408532176428,0.0059291395516992045,0.0987707881417209,0.05784526391901663,0.05871294287780188,0.020390455531453362,0.01923355025307303,0.04338394793926247,0.02487346348517715,0.018655097613882864,0.015328994938539408,0.028054953000723064,0.013304410701373824,0.0128705712219812,0.022559652928416486,0.006796818510484454,0.0021691973969631237,0.0007230657989877079,0.00014461315979754158,0.0,1822,3.7952799121844127,31.379310344827587,1129.9981200289228
Joshua,18.0,3.0,6.0,2.0,2.0,2.0,0.0,1.0,20.0,1.0,5.0,2.0,7.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10092961487383798,0.0703851261620186,0.04249667994687915,0.07835325365205843,0.150066401062417,0.041168658698539175,0.05312084993359894,0.0026560424966799467,0.13147410358565736,0.05843293492695883,0.04780876494023904,0.029216467463479414,0.02257636122177955,0.041168658698539175,0.01859229747675963,0.006640106241699867,0.0199203187250996,0.02257636122177955,0.01195219123505976,0.017264276228419653,0.025232403718459494,0.00398406374501992,0.00398406374501992,0.0,0.0,0.0,198,3.803030303030303,33.0,106.00000000000001
Samuel,47.0,20.0,7.0,1.0,2.0,3.0,0.0,0.0,31.0,10.0,4.0,5.0,17.0,8.0,13.0,1.0,0.0,2.0,3.0,0.0,2.0,6.0,2.0,3.0,1.0,5.0,0.0,0.0,6.0,6.0,2.0,7.0,0.0,11.0,6.0,0.0,0.0,0.0,1.0,12.0,10.0,0.0,4.0,2.0,4.0,0.0,0.0,3.0,2.0,10.0,2.0,0.0,0.0,5.0,1.0,0.0,0.0,5.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0859375,0.080078125,0.064453125,0.0927734375,0.12939453125,0.02880859375,0.07177734375,0.00439453125,0.11181640625,0.0556640625,0.05322265625,0.0224609375,0.021484375,0.0390625,0.03076171875,0.00927734375,0.01220703125,0.025390625,0.01611328125,0.0078125,0.0234375,0.00732421875,0.0,0.0,0.0,0.0009765625,551,3.716878402903811,36.333333333333336,322.99462890625
Unknown,7.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,13.0,0.0,7.0,2.0,11.0,0.0,4.0,0.0,0.0,3.0,1.0,0.0,3.0,3.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,5.0,1.0,3.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08462455303933254,0.058402860548271755,0.03694874851013111,0.07628128724672228,0.14421930870083433,0.058402860548271755,0.07508939213349225,0.007151370679380214,0.09535160905840286,0.0631704410011919,0.04648390941597139,0.026221692491060787,0.02026221692491061,0.05125148986889154,0.03218116805721097,0.009535160905840286,0.02026221692491061,0.02264600715137068,0.0166865315852205,0.009535160905840286,0.027413587604290822,0.017878426698450536,0.0,0.0,0.0,0.0,213,3.9389671361502345,35.5,115.99999999999997
Unknown,17.0,6.0,1.0,0.0,1.0,10.0,0.0,0.0,24.0,0.0,7.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07467532467532467,0.06385281385281386,0.04329004329004329,0.09740259740259741,0.1266233766233766,0.0367965367965368,0.06926406926406926,0.003246753246753247,0.09956709956709957,0.06493506493506493,0.05735930735930736,0.02922077922077922,0.00974025974025974,0.06385281385281386,0.01406926406926407,0.0183982683982684,0.015151515151515152,0.025974025974025976,0.020562770562770564,0.020562770562770564,0.03354978354978355,0.007575757575757576,0.0021645021645021645,0.0,0.0010822510822510823,0.0,218,4.238532110091743,27.25,117.99891774891775
Unknown,21.0,5.0,1.0,1.0,0.0,1.0,0.0,4.0,28.0,4.0,5.0,2.0,14.0,3.0,7.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,7.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,4.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09396636993076163,0.076162215628091,0.06330365974282888,0.0830860534124629,0.12957467853610286,0.03956478733926805,0.09693372898120672,0.010880316518298714,0.08110781404549951,0.04846686449060336,0.06429277942631058,0.020771513353115726,0.008902077151335312,0.043521266073194856,0.02274975272007913,0.018793273986152326,0.016815034619188922,0.024727992087042534,0.008902077151335312,0.00791295746785361,0.03066271018793274,0.004945598417408506,0.002967359050445104,0.0,0.0,0.0,264,3.8295454545454546,37.714285714285715,158.99901088031652
Ezra,56.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,54.0,2.0,0.0,0.0,35.0,2.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,4.0,3.0,0.0,3.0,4.0,1.0,3.0,0.0,9.0,4.0,8.0,0.0,1.0,1.0,7.0,0.0,6.0,2.0,6.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0969728065674705,0.07337095946639302,0.06259620318111853,0.0918419702411493,0.129297075423294,0.03129810159055926,0.06926629040533606,0.006670087224217547,0.08568496664956388,0.06618778860954336,0.05336069779374038,0.008209338122113904,0.008722421754746024,0.06157003591585428,0.022062596203181118,0.01026167265264238,0.01590559261159569,0.018984094407388404,0.017444843509492047,0.018984094407388404,0.030271934325295024,0.01026167265264238,0.00513083632632119,0.00513083632632119,0.0,0.000513083632632119,449,4.34075723830735,22.45,248.99999999999991
Nehemiah,6.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,3.0,0.0,1.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08183632734530938,0.07784431137724551,0.033932135728542916,0.08183632734530938,0.13572854291417166,0.027944111776447105,0.06387225548902195,0.011976047904191617,0.12974051896207583,0.06187624750499002,0.06387225548902195,0.023952095808383235,0.007984031936127744,0.05788423153692615,0.02594810379241517,0.017964071856287425,0.015968063872255488,0.027944111776447105,0.017964071856287425,0.00998003992015968,0.015968063872255488,0.001996007984031936,0.005988023952095809,0.0,0.0,0.0,117,4.282051282051282,29.25,67.00000000000001
Mordecai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13194444444444445,0.05555555555555555,0.05555555555555555,0.09722222222222222,0.09722222222222222,0.013888888888888888,0.04861111111111111,0.013888888888888888,0.041666666666666664,0.0763888888888889,0.006944444444444444,0.05555555555555555,0.034722222222222224,0.0625,0.020833333333333332,0.013888888888888888,0.006944444444444444,0.020833333333333332,0.04861111111111111,0.034722222222222224,0.020833333333333332,0.006944444444444444,0.020833333333333332,0.013888888888888888,0.0,0.0,29,4.9655172413793105,29.0,16.0
Unknown,14.0,10.0,0.0,0.0,1.0,0.0,1.0,1.0,14.0,2.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07395498392282958,0.0819935691318328,0.06752411575562701,0.10610932475884244,0.13987138263665594,0.027331189710610933,0.05627009646302251,0.008038585209003215,0.10771704180064309,0.05787781350482315,0.05144694533762058,0.02572347266881029,0.017684887459807074,0.04180064308681672,0.01929260450160772,0.02572347266881029,0.017684887459807074,0.024115755627009645,0.017684887459807074,0.011254019292604502,0.00964630225080386,0.008038585209003215,0.001607717041800643,0.0,0.0,0.0,137,4.54014598540146,13.6,71.99839228295822
David and others,18.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,29.0,1.0,6.0,3.0,19.0,0.0,3.0,1.0,1.0,6.0,23.0,0.0,7.0,0.0,1.0,11.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,11.0,3.0,0.0,0.0,6.0,0.0,4.0,0.0,7.0,4.0,2.0,4.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,3.0,7.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,4.0,0.0,5.0,1.0,9.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06847882906429692,0.05906952430737062,0.03972817564035546,0.08991113434396236,0.12859383167799268,0.03868269733403032,0.08416100365917407,0.010454783063251438,0.09513852587558808,0.05175117616309462,0.06011500261369577,0.017250392054364874,0.024046001045478306,0.06795608991113435,0.015682174594877155,0.030841610036591742,0.015682174594877155,0.030841610036591742,0.017773131207527444,0.008886565603763722,0.02770517511761631,0.010454783063251438,0.0010454783063251437,0.0,0.0005227391531625719,0.0,452,4.232300884955753,18.708333333333332,240.99477260846834
Solomon and others,9.0,6.0,2.0,0.0,0.0,0.0,0.0,4.0,11.0,0.0,3.0,0.0,7.0,0.0,2.0,0.0,0.0,4.0,2.0,0.0,2.0,1.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07704654895666131,0.06741573033707865,0.033707865168539325,0.08507223113964688,0.13643659711075443,0.051364365971107544,0.07223113964686999,0.009630818619582664,0.09470304975922954,0.06902086677367576,0.06741573033707865,0.02247191011235955,0.016051364365971106,0.04654895666131621,0.02086677367576244,0.019261637239165328,0.008025682182985553,0.02247191011235955,0.01765650080256822,0.019261637239165328,0.03210272873194221,0.008025682182985553,0.0016051364365971107,0.0,0.0,0.0,156,3.9935897435897436,17.333333333333332,85.9983948635634
Solomon,4.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,3.0,1.0,2.0,0.0,5.0,0.0,4.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06701030927835051,0.061855670103092786,0.030927835051546393,0.08762886597938144,0.14175257731958762,0.03608247422680412,0.10824742268041238,0.002577319587628866,0.1211340206185567,0.05154639175257732,0.04381443298969072,0.010309278350515464,0.028350515463917526,0.05412371134020619,0.01288659793814433,0.015463917525773196,0.01288659793814433,0.01804123711340206,0.01288659793814433,0.01804123711340206,0.03865979381443299,0.01804123711340206,0.002577319587628866,0.0,0.0,0.002577319587628866,102,3.803921568627451,34.0,66.99742268041241
Isaiah,18.0,3.0,9.0,2.0,2.0,0.0,2.0,1.0,30.0,0.0,7.0,2.0,16.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,2.0,3.0,0.0,0.0,2.0,2.0,1.0,0.0,7.0,0.0,1.0,3.0,1.0,3.0,0.0,5.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,11.0,23.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10594130279169649,0.06227630637079456,0.0329277022190408,0.08876163206871868,0.11882605583392986,0.06156048675733715,0.06442376521116679,0.009305654974946313,0.0901932712956335,0.0572655690765927,0.0737294201861131,0.012884753042233358,0.01789549033643522,0.05869720830350752,0.024337866857551897,0.01717967072297781,0.014316392269148175,0.0164638511095204,0.0164638511095204,0.018611309949892626,0.02720114531138153,0.0071581961345740875,0.0014316392269148174,0.0,0.0,0.0007158196134574087,342,4.084795321637427,28.5,199.9985683607731
Jeremiah,31.0,2.0,5.0,2.0,1.0,0.0,2.0,4.0,32.0,0.0,10.0,2.0,11.0,0.0,4.0,0.0,0.0,2.0,4.0,1.0,3.0,0.0,1.0,8.0,0.0,2.0,8.0,3.0,0.0,7.0,9.0,4.0,0.0,2.0,1.0,3.0,0.0,0.0,8.0,2.0,1.0,0.0,4.0,0.0,3.0,0.0,0.0,4.0,7.0,6.0,7.0,0.0,0.0,8.0,2.0,1.0,0.0,0.0,0.0,5.0,15.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07772304324028462,0.07334428024083196,0.04488232074438971,0.09140667761357417,0.13136288998357964,0.05637657361795293,0.05692391899288451,0.0060207991242474,0.09469074986316366,0.07006020799124248,0.05856595511767926,0.015873015873015872,0.022441160372194856,0.060207991242474,0.026272577996715927,0.012588943623426382,0.009304871373836891,0.022988505747126436,0.015873015873015872,0.014230979748221127,0.02736726874657909,0.00875752599890531,0.0005473453749315818,0.0,0.0010946907498631637,0.0,443,4.1241534988713315,29.533333333333335,269.9989053092501
Ezekiel,19.0,0.0,10.0,0.0,0.0,1.0,1.0,0.0,16.0,0.0,9.0,2.0,10.0,0.0,3.0,0.0,1.0,15.0,15.0,0.0,10.0,0.0,3.0,3.0,0.0,2.0,1.0,1.0,0.0,3.0,0.0,8.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,6.0,0.0,0.0,2.0,2.0,6.0,1.0,2.0,0.0,3.0,3.0,6.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08092485549132948,0.055876685934489405,0.05202312138728324,0.1014771997430957,0.1233140655105973,0.04303147077713552,0.07642903018625562,0.006422607578676943,0.11817597944765575,0.057803468208092484,0.05394990366088632,0.028259473346178548,0.025048169556840076,0.04945407835581246,0.02119460500963391,0.01348747591522158,0.005780346820809248,0.028901734104046242,0.014129736673089274,0.011560693641618497,0.016698779704560053,0.01348747591522158,0.0019267822736030828,0.0,0.0,0.0,350,4.448571428571428,29.166666666666668,213.9993577392421
