Author,there,shall,not,be,among,one,that,his,or,to,the,an,of,with,for,all,do,these,are,unto,lord,and,because,thy,god,them,out,from,thee,thou,shalt,which,but,as,hath,will,like,me,him,ye,according,in,let,again,my,neither,more,said,they,have,their,he,it,whosoever,other,if,say,thine,how,we,when,is,whose,into,every,may,whoso,whom,man,upon,those,lest,was,inasmuch,wherefore,ever,then,thence,make,had,henceforth,no,such,seest,than,your,what,yet,also,her,therein,thereof,thyself,thus,should,by,who,forth,been,were,himself,therefore,where,now,once,being,wherewith,did,whither,wherein,moreover,notwithstanding,our,hast,whatsoever,throughout,yea,didst,upward,thereon,till,many,would,must,ought,whereof,cometh,therewith,some,whereunto,without,thereby,each,downward,abundance,whereto,shouldest,outward,hence,howsoever,becometh,whereby,thereupon,thereunto,doeth,became,oft,oftentimes,underneath,whence,much,wherewithal,whensoever,seemeth,hereof,verily,whereon,soever,could,forthwith,therefrom,wheresoever,t_percentage_use,h_percentage_use,e_percentage_use,r_percentage_use,s_percentage_use,a_percentage_use,l_percentage_use,n_percentage_use,o_percentage_use,b_percentage_use,f_percentage_use,u_percentage_use,d_percentage_use,m_percentage_use,g_percentage_use,y_percentage_use,k_percentage_use,i_percentage_use,p_percentage_use,v_percentage_use,c_percentage_use,w_percentage_use,z_percentage_use,q_percentage_use,x_percentage_use,j_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
Moses,5.0,42.0,33.0,20.0,4.0,5.0,39.0,19.0,12.0,28.0,120.0,8.0,45.0,11.0,22.0,10.0,7.0,8.0,5.0,35.0,28.0,82.0,3.0,29.0,22.0,14.0,3.0,7.0,34.0,32.0,24.0,31.0,10.0,8.0,19.0,7.0,2.0,4.0,22.0,6.0,1.0,30.0,7.0,1.0,5.0,3.0,4.0,1.0,10.0,7.0,5.0,19.0,26.0,1.0,1.0,10.0,3.0,7.0,1.0,1.0,9.0,19.0,1.0,5.0,2.0,4.0,1.0,2.0,13.0,2.0,3.0,5.0,1.0,1.0,1.0,1.0,8.0,1.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0,5.0,4.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12208309618668184,0.10529311326124074,0.1259248719408082,0.043824701195219126,0.05520774046670461,0.07996585088218554,0.04368241320432555,0.0647410358565737,0.07455890722822994,0.012094479225953329,0.0221969265793967,0.024473534433693798,0.03841775754126352,0.022339214570290266,0.015509391007398976,0.01935116676152533,0.006545247581104155,0.06459874786568014,0.013944223107569721,0.007541263517359135,0.01607854297097325,0.017785998861696073,0.00042686397268070576,0.00042686397268070576,0.00042686397268070576,0.0005691519635742744,1753,4.009127210496292,30.155172413793103,1123.9980079681275
Joshua,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,11.0,12.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09751434034416825,0.09560229445506692,0.1147227533460803,0.09177820267686425,0.0745697896749522,0.055449330783938815,0.0248565965583174,0.040152963671128104,0.05162523900573614,0.05927342256214149,0.032504780114722756,0.06500956022944551,0.022944550669216062,0.017208413001912046,0.009560229445506692,0.0038240917782026767,0.009560229445506692,0.08221797323135756,0.0019120458891013384,0.0019120458891013384,0.017208413001912046,0.0248565965583174,0.0019120458891013384,0.0,0.0,0.0038240917782026767,115,4.547826086956522,19.166666666666668,66.0
Samuel,0.0,3.0,4.0,1.0,0.0,0.0,5.0,7.0,2.0,19.0,40.0,1.0,14.0,4.0,2.0,1.0,0.0,0.0,0.0,1.0,6.0,31.0,1.0,0.0,1.0,3.0,1.0,2.0,3.0,3.0,0.0,3.0,4.0,1.0,1.0,3.0,0.0,2.0,8.0,0.0,0.0,7.0,2.0,0.0,0.0,1.0,0.0,6.0,2.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,0.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0947867298578199,0.08688783570300158,0.11901000526592943,0.04476040021063718,0.05950500263296472,0.09583991574512901,0.042127435492364404,0.06687730384412849,0.0679304897314376,0.018430753027909426,0.017377567140600316,0.020537124802527645,0.06477093206951026,0.019483938915218536,0.01158504476040021,0.010531858873091101,0.003686150605581885,0.07477619799894682,0.01790416008425487,0.01158504476040021,0.018957345971563982,0.02317008952080042,0.00210637177461822,0.0,0.0,0.001579778830963665,471,4.031847133757962,31.133333333333333,239.9942074776198
Unknown,1.0,3.0,1.0,2.0,0.0,0.0,5.0,4.0,0.0,2.0,23.0,0.0,15.0,0.0,5.0,0.0,2.0,0.0,0.0,6.0,5.0,15.0,1.0,0.0,0.0,5.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,2.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,5.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08324084350721421,0.07769145394006659,0.12652608213096558,0.04772475027746948,0.06659267480577137,0.08546059933407325,0.051054384017758046,0.07436182019977802,0.07436182019977802,0.013318534961154272,0.026637069922308545,0.029966703662597113,0.06104328523862375,0.021087680355160933,0.016648168701442843,0.017758046614872364,0.005549389567147614,0.0732519422863485,0.0011098779134295228,0.009988901220865706,0.009988901220865706,0.022197558268590455,0.0011098779134295228,0.0011098779134295228,0.0,0.0011098779134295228,227,3.9691629955947136,37.833333333333336,145.99889012208658
Unknown,1.0,0.0,1.0,0.0,1.0,0.0,5.0,2.0,0.0,11.0,19.0,0.0,12.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,14.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10658307210031348,0.08672936259143156,0.13897596656217345,0.03134796238244514,0.06583072100313479,0.09299895506792058,0.024033437826541274,0.07836990595611286,0.07314524555903866,0.02821316614420063,0.018808777429467086,0.006269592476489028,0.054336468129571575,0.019853709508881923,0.014629049111807733,0.013584117032392894,0.0041797283176593526,0.07105538140020899,0.013584117032392894,0.0073145245559038665,0.014629049111807733,0.02089864158829676,0.006269592476489028,0.0,0.0,0.0073145245559038665,237,4.037974683544304,29.625,128.99895506792063
Unknown,4.0,0.0,2.0,0.0,0.0,0.0,7.0,5.0,0.0,4.0,32.0,0.0,14.0,4.0,0.0,9.0,0.0,0.0,0.0,2.0,5.0,12.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,5.0,0.0,1.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09575518262586377,0.08983218163869694,0.11747285291214216,0.060217176702862786,0.06219151036525173,0.08390918065153011,0.045409674234945706,0.06515301085883514,0.07107601184600197,0.007897334649555774,0.02171767028627838,0.024679170779861797,0.04738400789733465,0.022704837117472853,0.018756169792694965,0.007897334649555774,0.013820335636722606,0.0700888450148075,0.01678183613030602,0.006910167818361303,0.009871668311944718,0.02665350444225074,0.0009871668311944718,0.0,0.0,0.009871668311944718,239,4.2384937238493725,34.0,147.99703849950623
Ezra,1.0,1.0,4.0,7.0,0.0,0.0,13.0,1.0,0.0,12.0,77.0,3.0,31.0,1.0,2.0,2.0,2.0,1.0,2.0,15.0,1.0,45.0,1.0,2.0,2.0,4.0,0.0,3.0,1.0,3.0,3.0,4.0,2.0,1.0,4.0,2.0,0.0,2.0,2.0,4.0,0.0,11.0,0.0,2.0,0.0,0.0,0.0,1.0,4.0,9.0,4.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11274871039056743,0.07921886514369934,0.1296978629329403,0.05121591746499631,0.06079587324981577,0.08290346352247605,0.02984524686809138,0.07737656595431099,0.06263817243920412,0.017686072218128224,0.019528371407516582,0.03279292557111275,0.04200442151805453,0.023581429624170966,0.017317612380250553,0.013264554163596167,0.009579955784819455,0.07000736919675755,0.011422254974207811,0.010316875460574797,0.022844509948415623,0.014369933677229182,0.00036845983787767134,0.0,0.0029476787030213707,0.003316138540899042,635,4.274015748031496,31.65,335.99778924097274
Nehemiah,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,22.0,0.0,15.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,14.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0979381443298969,0.07216494845360824,0.11855670103092783,0.04982817869415808,0.05326460481099656,0.08075601374570447,0.020618556701030927,0.08934707903780069,0.09621993127147767,0.010309278350515464,0.037800687285223365,0.013745704467353952,0.06529209621993128,0.018900343642611683,0.024054982817869417,0.015463917525773196,0.005154639175257732,0.06872852233676977,0.01718213058419244,0.013745704467353952,0.018900343642611683,0.00859106529209622,0.001718213058419244,0.0,0.0,0.0,137,4.248175182481752,34.25,84.9982817869416
Mordecai,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11278195488721804,0.09774436090225563,0.09774436090225563,0.05263157894736842,0.05263157894736842,0.06766917293233082,0.0,0.11278195488721804,0.07518796992481203,0.007518796992481203,0.015037593984962405,0.015037593984962405,0.06766917293233082,0.03007518796992481,0.03007518796992481,0.007518796992481203,0.015037593984962405,0.10526315789473684,0.0,0.007518796992481203,0.007518796992481203,0.007518796992481203,0.0,0.0,0.0,0.0,31,4.290322580645161,30.0,19.984962406015043
Unknown,0.0,2.0,0.0,3.0,0.0,0.0,2.0,1.0,2.0,2.0,18.0,0.0,7.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0,4.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11213517665130568,0.0967741935483871,0.11059907834101383,0.053763440860215055,0.06758832565284179,0.08755760368663594,0.026113671274961597,0.06144393241167435,0.07219662058371736,0.015360983102918587,0.02304147465437788,0.026113671274961597,0.06605222734254992,0.021505376344086023,0.021505376344086023,0.013824884792626729,0.016897081413210446,0.05069124423963134,0.01228878648233487,0.0015360983102918587,0.019969278033794162,0.019969278033794162,0.0,0.0,0.0,0.0015360983102918587,166,3.9216867469879517,16.6,95.99846390168968
David and others,2.0,0.0,3.0,0.0,0.0,1.0,9.0,7.0,0.0,1.0,44.0,2.0,24.0,0.0,11.0,6.0,0.0,0.0,2.0,4.0,24.0,17.0,0.0,2.0,1.0,3.0,2.0,1.0,2.0,0.0,0.0,1.0,3.0,2.0,1.0,2.0,1.0,0.0,1.0,7.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,3.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09462915601023018,0.08759590792838874,0.13554987212276215,0.06457800511508952,0.06969309462915602,0.0748081841432225,0.04539641943734015,0.06649616368286446,0.08887468030690537,0.013427109974424553,0.026854219948849106,0.023657289002557546,0.046675191815856776,0.01918158567774936,0.01854219948849105,0.0159846547314578,0.007033248081841432,0.049232736572890026,0.015345268542199489,0.012148337595907928,0.008951406649616368,0.008951406649616368,0.0012787723785166241,0.0,0.0,0.0012787723785166241,394,3.969543147208122,16.375,240.9961636828645
Solomon and others,2.0,5.0,2.0,2.0,0.0,0.0,4.0,5.0,0.0,2.0,8.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09797822706065319,0.1026438569206843,0.12752721617418353,0.06376360808709176,0.07153965785381027,0.06842923794712286,0.05132192846034215,0.05443234836702955,0.06220839813374806,0.017107309486780714,0.02177293934681182,0.026438569206842923,0.029548989113530325,0.02021772939346812,0.02177293934681182,0.013996889580093312,0.004665629860031105,0.06687402799377916,0.01866251944012442,0.012441679626749611,0.015552099533437015,0.015552099533437015,0.0,0.0,0.0,0.0015552099533437014,156,4.121794871794871,17.333333333333332,80.9860031104199
Solomon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06086956521739131,0.043478260869565216,0.08695652173913043,0.07391304347826087,0.07391304347826087,0.13043478260869565,0.05217391304347826,0.1,0.05217391304347826,0.004347826086956522,0.04782608695652174,0.013043478260869565,0.034782608695652174,0.030434782608695653,0.013043478260869565,0.008695652173913044,0.013043478260869565,0.06521739130434782,0.030434782608695653,0.004347826086956522,0.030434782608695653,0.02608695652173913,0.0,0.0,0.0,0.0,46,5.0,15.333333333333334,19.995652173913037
Isaiah,1.0,6.0,7.0,1.0,1.0,1.0,4.0,3.0,1.0,7.0,22.0,0.0,12.0,3.0,7.0,1.0,0.0,1.0,1.0,1.0,0.0,22.0,0.0,12.0,0.0,4.0,1.0,0.0,3.0,18.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,6.0,2.0,2.0,0.0,5.0,1.0,0.0,3.0,1.0,0.0,0.0,3.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12136862491930278,0.09360877985797289,0.12459651387992253,0.05035506778566817,0.06003873466752744,0.07295029051000645,0.036797934151065206,0.06132989025177534,0.0774693350548741,0.010974822466107165,0.030342156229825695,0.029696578437701744,0.04260813428018076,0.024531956100710135,0.009038089089735314,0.025823111684958037,0.003873466752743706,0.05939315687540349,0.016139444803098774,0.012265978050355068,0.014202711426726921,0.02065848934796643,0.0,0.0006455777921239509,0.0,0.0,379,4.087071240105541,31.583333333333332,215.9987088444157
Jeremiah,0.0,5.0,5.0,1.0,0.0,0.0,10.0,2.0,0.0,8.0,51.0,0.0,27.0,2.0,8.0,2.0,1.0,0.0,2.0,1.0,6.0,19.0,1.0,5.0,0.0,1.0,3.0,0.0,10.0,4.0,0.0,1.0,2.0,2.0,9.0,0.0,3.0,2.0,1.0,0.0,0.0,11.0,2.0,0.0,6.0,0.0,0.0,0.0,8.0,10.0,10.0,7.0,1.0,0.0,0.0,0.0,2.0,7.0,0.0,4.0,2.0,5.0,0.0,3.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1111617312072893,0.10113895216400912,0.13530751708428246,0.05193621867881549,0.05284738041002278,0.07517084282460136,0.03735763097949886,0.06605922551252848,0.07061503416856492,0.009111617312072893,0.024145785876993165,0.02824601366742597,0.0469248291571754,0.01685649202733485,0.017312072892938495,0.02369020501138952,0.005011389521640091,0.05968109339407745,0.014123006833712985,0.010933940774487472,0.01776765375854214,0.018223234624145785,0.001366742596810934,0.0009111617312072893,0.0,0.002277904328018223,542,4.049815498154982,36.06666666666667,298.9981776765376
