Author,and,ye,shall,her,unto,the,that,he,may,forth,without,one,his,of,with,in,it,into,then,be,man,is,them,for,among,ever,himself,but,if,not,lord,from,because,was,upon,him,yet,when,all,every,which,hath,no,or,an,they,were,there,been,would,god,we,had,our,have,should,wherefore,to,out,neither,their,thou,thy,shalt,as,said,now,must,also,me,therefore,thus,how,are,let,thee,will,by,lest,my,much,did,some,make,your,each,according,again,other,whose,like,those,whither,thereon,where,could,more,than,thereof,who,moreover,many,throughout,till,hast,thine,thence,yea,these,do,therein,say,thyself,cometh,didst,became,such,wherewith,what,verily,ought,forthwith,wherein,whereof,whom,whence,thereupon,outward,shouldest,henceforth,underneath,being,whereby,whereunto,abundance,thereby,therewith,notwithstanding,hereof,doeth,oftentimes,upward,hence,inasmuch,once,downward,whoso,whereto,therefrom,thereunto,becometh,oft,a_percentage_use,n_percentage_use,d_percentage_use,y_percentage_use,e_percentage_use,s_percentage_use,h_percentage_use,l_percentage_use,g_percentage_use,i_percentage_use,v_percentage_use,r_percentage_use,u_percentage_use,t_percentage_use,o_percentage_use,z_percentage_use,p_percentage_use,m_percentage_use,b_percentage_use,f_percentage_use,w_percentage_use,c_percentage_use,k_percentage_use,j_percentage_use,x_percentage_use,q_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
Moses,142.0,9.0,46.0,10.0,24.0,154.0,28.0,30.0,1.0,4.0,3.0,6.0,22.0,70.0,10.0,24.0,18.0,10.0,6.0,22.0,7.0,15.0,13.0,14.0,3.0,1.0,6.0,2.0,4.0,13.0,18.0,10.0,6.0,6.0,15.0,9.0,1.0,7.0,7.0,2.0,4.0,5.0,4.0,10.0,2.0,8.0,1.0,10.0,1.0,1.0,2.0,14.0,2.0,6.0,9.0,1.0,3.0,14.0,8.0,3.0,6.0,8.0,6.0,4.0,2.0,7.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,4.0,8.0,6.0,1.0,4.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09183529078817038,0.07825102589500495,0.04811093816329418,0.0154238007641149,0.13188057167114758,0.05801613131456063,0.08320362247063817,0.0462714022923447,0.016555822838545352,0.051507004386585536,0.008490165558228386,0.05433705957266167,0.02702702702702703,0.09608037356728456,0.07188340172633366,0.0009905193151266449,0.0198103863025329,0.019244375265317675,0.014008773171076835,0.02292344700721664,0.017121833875760578,0.01896136974671006,0.006367624168671289,0.0004245082779114193,0.00014150275930380644,0.0,1727,4.092067168500289,29.75862068965517,981.9988679779254
Joshua,18.0,2.0,6.0,0.0,1.0,22.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,3.0,3.0,2.0,0.0,0.0,0.0,1.0,4.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,7.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08856502242152467,0.07062780269058296,0.05605381165919283,0.017937219730941704,0.12556053811659193,0.05493273542600897,0.08968609865470852,0.03811659192825112,0.02242152466367713,0.05941704035874439,0.01233183856502242,0.06053811659192825,0.020179372197309416,0.09417040358744394,0.08408071748878924,0.0,0.007847533632286996,0.020179372197309416,0.01569506726457399,0.01905829596412556,0.008968609865470852,0.0257847533632287,0.002242152466367713,0.005605381165919282,0.0,0.0,218,4.091743119266055,36.333333333333336,124.99999999999997
Samuel,41.0,3.0,1.0,0.0,3.0,28.0,3.0,6.0,1.0,0.0,0.0,2.0,7.0,21.0,2.0,3.0,0.0,0.0,2.0,3.0,4.0,0.0,2.0,2.0,1.0,0.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,8.0,2.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,2.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10684580934101087,0.07549584133077415,0.05886116442738324,0.01471529110684581,0.13307741522712732,0.07229686500319897,0.07549584133077415,0.03966730646193218,0.01471529110684581,0.061420345489443376,0.009596928982725527,0.04286628278950736,0.020473448496481125,0.08893154190658989,0.060780550223928344,0.0,0.01215611004478567,0.027511196417146513,0.01727447216890595,0.026231605886116442,0.023672424824056303,0.006397952655150352,0.003198976327575176,0.0019193857965451055,0.0019193857965451055,0.0,393,3.9770992366412212,26.0,202.99552143314148
Unknown,25.0,0.0,0.0,0.0,2.0,12.0,4.0,1.0,0.0,0.0,0.0,1.0,7.0,5.0,1.0,4.0,1.0,0.0,1.0,1.0,1.0,1.0,5.0,1.0,0.0,0.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,9.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10355987055016182,0.07874865156418555,0.06796116504854369,0.016181229773462782,0.11326860841423948,0.05285868392664509,0.08845738942826321,0.034519956850053934,0.012944983818770227,0.045307443365695796,0.011866235167206042,0.043149946062567425,0.028047464940668825,0.09169363538295577,0.07766990291262135,0.0010787486515641855,0.014023732470334413,0.025889967637540454,0.009708737864077669,0.011866235167206042,0.032362459546925564,0.017259978425026967,0.007551240560949299,0.004314994606256742,0.0,0.002157497303128371,227,4.083700440528634,37.333333333333336,123.99244875943904
Unknown,16.0,0.0,0.0,0.0,0.0,24.0,4.0,7.0,0.0,0.0,0.0,0.0,7.0,20.0,1.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10137275607180571,0.06863780359028511,0.050686378035902854,0.008447729672650475,0.1119324181626188,0.0559662090813094,0.08870116156282999,0.029567053854276663,0.022175290390707498,0.08342133051742344,0.007391763463569166,0.05807814149947202,0.013727560718057022,0.08236536430834214,0.08236536430834214,0.0021119324181626186,0.008447729672650475,0.01900739176346357,0.028511087645195353,0.03273495248152059,0.01795142555438226,0.010559662090813094,0.009503695881731784,0.005279831045406547,0.0,0.0,249,3.8032128514056227,31.125,138.99894403379088
Unknown,15.0,3.0,2.0,0.0,1.0,18.0,1.0,2.0,1.0,0.0,0.0,2.0,5.0,22.0,2.0,2.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10398230088495575,0.07964601769911504,0.05641592920353982,0.030973451327433628,0.13163716814159293,0.046460176991150445,0.07632743362831858,0.03982300884955752,0.018805309734513276,0.06747787610619468,0.01991150442477876,0.05088495575221239,0.023230088495575223,0.07411504424778761,0.0752212389380531,0.004424778761061947,0.0055309734513274336,0.014380530973451327,0.00663716814159292,0.02765486725663717,0.015486725663716814,0.008849557522123894,0.02101769911504425,0.0011061946902654867,0.0,0.0,235,3.8468085106382977,33.57142857142857,129.00000000000003
Ezra,52.0,0.0,1.0,0.0,3.0,62.0,8.0,18.0,0.0,1.0,0.0,1.0,12.0,26.0,4.0,19.0,3.0,1.0,2.0,2.0,0.0,0.0,2.0,8.0,1.0,0.0,2.0,2.0,0.0,1.0,9.0,3.0,1.0,12.0,3.0,9.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,6.0,0.0,5.0,0.0,0.0,0.0,0.0,19.0,4.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09304975313330802,0.08089631598936574,0.05545005696923661,0.009115077857956703,0.11621724268894797,0.06152677554120775,0.08659323965058868,0.034181541967337636,0.021268515001898976,0.06228636536270414,0.00569692366122294,0.05582985187998481,0.028864413216862894,0.0938093429548044,0.06836308393467527,0.008735282947208508,0.014432206608431447,0.022028104823395366,0.01405241169768325,0.023167489555639954,0.020129130269654388,0.013672616786935056,0.003418154196733764,0.003418154196733764,0.0015191796429927839,0.0,618,4.260517799352751,30.8,347.99772123053543
Nehemiah,5.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1099476439790576,0.08115183246073299,0.034031413612565446,0.002617801047120419,0.12303664921465969,0.07329842931937172,0.10471204188481675,0.03926701570680628,0.007853403141361256,0.05759162303664921,0.002617801047120419,0.034031413612565446,0.01832460732984293,0.07591623036649214,0.10471204188481675,0.010471204188481676,0.005235602094240838,0.020942408376963352,0.013089005235602094,0.04712041884816754,0.007853403141361256,0.010471204188481676,0.002617801047120419,0.013089005235602094,0.0,0.0,93,4.10752688172043,23.25,44.00000000000001
Mordecai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07142857142857142,0.07142857142857142,0.047619047619047616,0.0,0.19047619047619047,0.07142857142857142,0.09523809523809523,0.0,0.0,0.047619047619047616,0.0,0.11904761904761904,0.023809523809523808,0.11904761904761904,0.023809523809523808,0.0,0.0,0.047619047619047616,0.023809523809523808,0.0,0.023809523809523808,0.023809523809523808,0.0,0.0,0.0,0.0,8,5.25,8.0,3.0
Unknown,4.0,0.0,0.0,0.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,3.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,2.0,0.0,4.0,1.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06787330316742081,0.06787330316742081,0.05731523378582202,0.02262443438914027,0.1297134238310709,0.05429864253393665,0.0784313725490196,0.030165912518853696,0.016591251885369532,0.07692307692307693,0.00904977375565611,0.048265460030165915,0.03167420814479638,0.0784313725490196,0.07390648567119155,0.0,0.004524886877828055,0.042232277526395176,0.024132730015082957,0.03619909502262444,0.015082956259426848,0.02262443438914027,0.004524886877828055,0.004524886877828055,0.0,0.0015082956259426848,173,3.832369942196532,17.2,97.99849170437409
David and others,25.0,0.0,0.0,0.0,4.0,28.0,8.0,11.0,2.0,0.0,0.0,0.0,7.0,15.0,1.0,8.0,0.0,5.0,3.0,1.0,1.0,2.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,4.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,12.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06859205776173286,0.06919374247894103,0.04993983152827918,0.015643802647412757,0.13898916967509026,0.06438026474127558,0.08303249097472924,0.03489771359807461,0.01684717208182912,0.06197352587244284,0.005415162454873646,0.07220216606498195,0.02527075812274368,0.10649819494584838,0.06738868832731648,0.0,0.013237063778580024,0.0210589651022864,0.01022864019253911,0.02527075812274368,0.021660649819494584,0.018050541516245487,0.006016847172081829,0.0006016847172081829,0.0006016847172081829,0.0012033694344163659,374,4.44385026737968,15.583333333333334,214.99819494584835
Solomon and others,9.0,0.0,4.0,0.0,0.0,7.0,4.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08631921824104234,0.06840390879478828,0.03257328990228013,0.02280130293159609,0.11726384364820847,0.06188925081433225,0.10749185667752444,0.035830618892508145,0.02280130293159609,0.06188925081433225,0.008143322475570033,0.05211726384364821,0.019543973941368076,0.11074918566775244,0.0749185667752443,0.0,0.008143322475570033,0.017915309446254073,0.013029315960912053,0.013029315960912053,0.03745928338762215,0.016286644951140065,0.003257328990228013,0.004885993485342019,0.0016286644951140066,0.0,151,4.066225165562914,16.77777777777778,79.99837133550487
Solomon,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026595744680851064,0.05851063829787234,0.015957446808510637,0.015957446808510637,0.12234042553191489,0.09574468085106383,0.09042553191489362,0.02127659574468085,0.02127659574468085,0.07446808510638298,0.02127659574468085,0.0425531914893617,0.02127659574468085,0.10638297872340426,0.11702127659574468,0.0,0.005319148936170213,0.03723404255319149,0.010638297872340425,0.03723404255319149,0.015957446808510637,0.010638297872340425,0.010638297872340425,0.0,0.0,0.0,48,3.9166666666666665,15.666666666666666,28.978723404255305
Isaiah,26.0,0.0,6.0,0.0,2.0,22.0,5.0,21.0,1.0,0.0,0.0,0.0,7.0,8.0,7.0,6.0,17.0,0.0,1.0,5.0,3.0,6.0,2.0,7.0,1.0,0.0,3.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,0.0,1.0,3.0,1.0,1.0,2.0,6.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,6.0,0.0,0.0,4.0,3.0,1.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09736070381231672,0.06627565982404691,0.04105571847507331,0.01407624633431085,0.14076246334310852,0.04926686217008798,0.106158357771261,0.031085043988269796,0.015249266862170088,0.05982404692082111,0.008797653958944282,0.06158357771260997,0.016422287390029325,0.11671554252199413,0.06041055718475073,0.0,0.0093841642228739,0.0281524926686217,0.011143695014662757,0.02756598240469208,0.015835777126099706,0.00997067448680352,0.011730205278592375,0.0005865102639296188,0.0,0.0,421,4.049881235154395,34.833333333333336,238.99941348973604
Jeremiah,24.0,2.0,9.0,4.0,0.0,36.0,3.0,3.0,0.0,0.0,1.0,1.0,1.0,22.0,3.0,8.0,3.0,5.0,0.0,5.0,1.0,4.0,4.0,5.0,1.0,0.0,0.0,2.0,0.0,3.0,6.0,1.0,3.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,2.0,9.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,5.0,1.0,0.0,5.0,1.0,3.0,0.0,5.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,7.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09238814642649622,0.06391632771644393,0.05287623474723998,0.024985473561882625,0.11853573503776874,0.054038349796629866,0.09006391632771645,0.04474142940151075,0.018593840790238233,0.058686809994189425,0.008715862870424172,0.051714119697850086,0.022080185938407902,0.10052295177222545,0.073794305636258,0.002324230098779779,0.02149912841371296,0.02149912841371296,0.0168506682161534,0.024985473561882625,0.01336432306798373,0.015107495642068565,0.006972690296339338,0.0005810575246949448,0.0005810575246949448,0.0,414,4.157004830917875,27.533333333333335,241.99941894247536
Ezekiel,21.0,6.0,4.0,0.0,3.0,37.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,3.0,3.0,4.0,1.0,0.0,3.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,4.0,2.0,0.0,0.0,0.0,2.0,5.0,1.0,4.0,1.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,7.0,1.0,0.0,0.0,8.0,0.0,0.0,11.0,2.0,0.0,2.0,7.0,3.0,2.0,2.0,2.0,0.0,0.0,1.0,2.0,4.0,6.0,0.0,7.0,0.0,4.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09451575262543757,0.057176196032672114,0.047257876312718786,0.021003500583430573,0.13127187864644108,0.0705950991831972,0.08576429404900816,0.046091015169194866,0.013418903150525088,0.06301050175029171,0.009918319719953326,0.044924154025670945,0.03267211201866978,0.10268378063010501,0.07876312718786464,0.0,0.014585764294049008,0.020420070011668612,0.006417736289381563,0.01633605600933489,0.01866977829638273,0.013418903150525088,0.007001166861143524,0.0029171528588098016,0.0,0.0,413,4.150121065375303,34.416666666666664,253.99883313885647
