Author,and,said,do,not,now,have,which,man,let,me,them,out,unto,ye,to,as,is,in,your,these,for,therefore,they,the,of,my,again,one,he,will,be,we,with,thee,than,upon,but,forth,their,into,that,were,hast,thou,thy,whatsoever,because,lord,hath,it,his,when,then,are,lest,being,him,without,had,neither,all,some,shall,also,till,was,from,those,became,where,god,our,there,make,may,her,thus,by,thence,yea,didst,shalt,if,thine,what,ought,yet,every,whither,say,other,did,whom,an,who,would,should,among,or,no,wherefore,how,many,ever,moreover,himself,thereof,whose,cometh,upward,according,thyself,like,more,such,wherein,doeth,whence,been,much,throughout,could,hence,verily,must,once,each,inasmuch,downward,abundance,whereto,seest,therewith,whereof,thereby,shouldest,outward,howsoever,becometh,henceforth,whereby,thereon,thereupon,thereunto,wherewith,oft,oftentimes,whosoever,underneath,whereunto,whensoever,wherewithal,seemeth,hereof,therein,notwithstanding,whereon,soever,forthwith,therefrom,wheresoever,whoso,a_percentage_use,n_percentage_use,d_percentage_use,s_percentage_use,i_percentage_use,p_percentage_use,r_percentage_use,y_percentage_use,o_percentage_use,u_percentage_use,b_percentage_use,e_percentage_use,t_percentage_use,h_percentage_use,w_percentage_use,c_percentage_use,k_percentage_use,l_percentage_use,v_percentage_use,g_percentage_use,m_percentage_use,f_percentage_use,j_percentage_use,x_percentage_use,q_percentage_use,z_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
Moses,124.0,26.0,4.0,18.0,5.0,9.0,10.0,6.0,4.0,14.0,9.0,7.0,31.0,1.0,26.0,6.0,21.0,29.0,1.0,2.0,16.0,5.0,12.0,94.0,43.0,19.0,1.0,4.0,24.0,8.0,5.0,6.0,13.0,12.0,1.0,8.0,7.0,3.0,5.0,2.0,25.0,3.0,10.0,25.0,11.0,1.0,3.0,12.0,3.0,8.0,22.0,11.0,3.0,3.0,3.0,2.0,20.0,1.0,7.0,1.0,12.0,1.0,3.0,6.0,1.0,8.0,5.0,1.0,2.0,2.0,11.0,4.0,1.0,2.0,2.0,5.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09630585578319084,0.07178577189869334,0.05710598483626391,0.05710598483626391,0.05968704629778997,0.008872398773995805,0.0512985965478303,0.017583481206646233,0.07485078238425552,0.026455879980642038,0.015809001451847073,0.11905145991288918,0.09517664139377319,0.092111630908211,0.022906920471043715,0.018228746572027745,0.005484755605742862,0.034199064365220196,0.0066139699951605095,0.014195838038393289,0.029843523148894983,0.020487175350863043,0.0006452653653815131,0.00032263268269075657,0.00016131634134537829,0.0006452653653815131,1589,3.9011957205789805,27.29310344827586,908.9969349895144
Joshua,12.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,3.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,23.0,12.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09104258443465492,0.06020558002936858,0.04405286343612335,0.055800293685756244,0.06754772393538913,0.004405286343612335,0.05286343612334802,0.022026431718061675,0.08370044052863436,0.023494860499265784,0.016152716593245228,0.11894273127753303,0.11013215859030837,0.08370044052863436,0.020558002936857563,0.010279001468428781,0.00881057268722467,0.041116005873715125,0.011747430249632892,0.014684287812041116,0.01762114537444934,0.02643171806167401,0.010279001468428781,0.0,0.0,0.002936857562408223,170,4.0058823529411764,28.333333333333332,103.99853157121879
Samuel,9.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,3.0,2.0,0.0,1.0,12.0,0.0,0.0,2.0,0.0,7.0,39.0,24.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,10.0,4.0,1.0,3.0,2.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09547738693467336,0.06344221105527638,0.03706030150753769,0.06092964824120603,0.05841708542713568,0.01507537688442211,0.059673366834170856,0.016959798994974875,0.07726130653266332,0.016959798994974875,0.014447236180904523,0.13944723618090452,0.09673366834170855,0.08479899497487438,0.020100502512562814,0.01507537688442211,0.009422110552763818,0.031407035175879394,0.013819095477386936,0.02386934673366834,0.020100502512562814,0.02512562814070352,0.002512562814070352,0.0,0.0,0.001256281407035176,362,4.397790055248619,24.133333333333333,173.9993718592965
Unknown,12.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,8.0,3.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,18.0,6.0,1.0,1.0,2.0,2.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,4.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07744107744107744,0.0707070707070707,0.052749719416386086,0.04826038159371493,0.051627384960718295,0.016835016835016835,0.058361391694725026,0.008978675645342313,0.0819304152637486,0.02244668911335578,0.028058361391694726,0.143658810325477,0.0931537598204265,0.08305274971941638,0.02356902356902357,0.01122334455667789,0.002244668911335578,0.04826038159371493,0.005611672278338945,0.014590347923681257,0.02356902356902357,0.026936026936026935,0.005611672278338945,0.0,0.0,0.0,215,4.144186046511628,35.833333333333336,113.99887766554436
Unknown,17.0,8.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,5.0,1.0,0.0,11.0,4.0,1.0,0.0,1.0,6.0,2.0,1.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09725685785536159,0.07855361596009976,0.05112219451371571,0.07107231920199501,0.06359102244389027,0.011221945137157107,0.034912718204488775,0.01371571072319202,0.09102244389027432,0.0199501246882793,0.0199501246882793,0.11596009975062344,0.09351620947630923,0.08728179551122195,0.017456359102244388,0.008728179551122194,0.016209476309226933,0.02493765586034913,0.004987531172069825,0.018703241895261846,0.032418952618453865,0.018703241895261846,0.0024937655860349127,0.0,0.0,0.0,204,3.9313725490196076,25.25,116.99376558603491
Unknown,13.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,2.0,1.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,15.0,9.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,3.0,2.0,0.0,1.0,2.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,5.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08616187989556136,0.057441253263707574,0.05352480417754569,0.057441253263707574,0.06005221932114883,0.010443864229765013,0.050913838120104436,0.030026109660574413,0.06657963446475196,0.016971279373368148,0.013054830287206266,0.13054830287206268,0.10182767624020887,0.0783289817232376,0.02610966057441253,0.018276762402088774,0.005221932114882507,0.06135770234986945,0.010443864229765013,0.013054830287206266,0.022193211488250653,0.02610966057441253,0.0026109660574412533,0.0,0.0,0.0,195,3.928205128205128,27.857142857142858,112.99869451697126
Ezra,54.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,4.0,1.0,1.0,3.0,0.0,4.0,6.0,0.0,5.0,34.0,30.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,13.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110011641443539,0.07683352735739232,0.052968568102444706,0.0640279394644936,0.06577415599534342,0.008149010477299184,0.05238649592549476,0.00989522700814901,0.0681024447031432,0.01920838183934808,0.02037252619324796,0.129802095459837,0.08789289871944121,0.08614668218859138,0.012805587892898719,0.012805587892898719,0.005238649592549476,0.02852153667054715,0.006984866123399301,0.011059371362048894,0.02211874272409779,0.030849825378346914,0.008149010477299184,0.0,0.0005820721769499418,0.006402793946449359,399,4.305764411027569,19.85,205.99708963911525
Nehemiah,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06531531531531531,0.07207207207207207,0.0518018018018018,0.04954954954954955,0.04504504504504504,0.013513513513513514,0.05630630630630631,0.0,0.09234234234234234,0.033783783783783786,0.024774774774774775,0.14864864864864866,0.11036036036036036,0.08783783783783784,0.0045045045045045045,0.013513513513513514,0.013513513513513514,0.024774774774774775,0.0,0.0022522522522522522,0.03153153153153153,0.03153153153153153,0.0045045045045045045,0.013513513513513514,0.0,0.009009009009009009,106,4.188679245283019,26.5,60.00000000000001
Mordecai,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0975609756097561,0.06097560975609756,0.024390243902439025,0.07317073170731707,0.04878048780487805,0.0,0.036585365853658534,0.012195121951219513,0.08536585365853659,0.04878048780487805,0.012195121951219513,0.14634146341463414,0.07317073170731707,0.0975609756097561,0.024390243902439025,0.012195121951219513,0.012195121951219513,0.036585365853658534,0.012195121951219513,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.0,0.0,0.012195121951219513,0.0,19,4.315789473684211,19.0,8.999999999999993
Unknown,6.0,0.0,0.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,3.0,0.0,3.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,4.0,11.0,4.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06110283159463487,0.06855439642324888,0.038748137108792845,0.04918032786885246,0.06557377049180328,0.00894187779433681,0.06110283159463487,0.028315946348733235,0.07898658718330849,0.038748137108792845,0.013412816691505217,0.11922503725782414,0.11326378539493294,0.08494783904619971,0.02533532041728763,0.019374068554396422,0.007451564828614009,0.038748137108792845,0.011922503725782414,0.019374068554396422,0.01788375558867362,0.02533532041728763,0.0,0.0014903129657228018,0.0,0.0,157,4.273885350318471,15.7,87.99701937406857
David and others,15.0,0.0,0.0,3.0,0.0,5.0,1.0,1.0,0.0,20.0,4.0,3.0,0.0,0.0,6.0,1.0,7.0,4.0,0.0,0.0,9.0,1.0,3.0,22.0,12.0,18.0,1.0,0.0,13.0,1.0,0.0,0.0,5.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,4.0,5.0,2.0,8.0,5.0,0.0,1.0,8.0,4.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,1.0,2.0,6.0,1.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06457345971563981,0.0509478672985782,0.05154028436018957,0.05568720379146919,0.05568720379146919,0.01481042654028436,0.059834123222748815,0.027843601895734597,0.07109004739336493,0.024881516587677725,0.010071090047393365,0.13270142180094788,0.09834123222748815,0.08293838862559241,0.02665876777251185,0.018957345971563982,0.008293838862559242,0.03909952606635071,0.010071090047393365,0.0231042654028436,0.041469194312796206,0.029028436018957347,0.0005924170616113745,0.0,0.0005924170616113745,0.0,419,4.028639618138425,17.458333333333332,252.99881516587683
Solomon and others,7.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,9.0,4.0,1.0,0.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,7.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0702054794520548,0.0702054794520548,0.059931506849315065,0.05650684931506849,0.0410958904109589,0.017123287671232876,0.03767123287671233,0.032534246575342464,0.07876712328767123,0.023972602739726026,0.02054794520547945,0.13356164383561644,0.10445205479452055,0.09417808219178082,0.02226027397260274,0.0136986301369863,0.0136986301369863,0.053082191780821915,0.003424657534246575,0.00684931506849315,0.015410958904109588,0.02910958904109589,0.0,0.0,0.0,0.0,144,4.055555555555555,16.0,88.9982876712329
Solomon,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10824742268041238,0.07989690721649484,0.04896907216494845,0.0979381443298969,0.059278350515463915,0.007731958762886598,0.06443298969072164,0.005154639175257732,0.06443298969072164,0.01804123711340206,0.010309278350515464,0.13144329896907217,0.06958762886597938,0.03608247422680412,0.015463917525773196,0.01288659793814433,0.002577319587628866,0.04896907216494845,0.01288659793814433,0.028350515463917526,0.05154639175257732,0.020618556701030927,0.005154639175257732,0.0,0.0,0.0,93,4.172043010752688,31.0,50.000000000000014
Isaiah,26.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0,4.0,0.0,4.0,0.0,2.0,1.0,1.0,5.0,0.0,0.0,5.0,2.0,2.0,19.0,10.0,1.0,0.0,1.0,1.0,0.0,5.0,2.0,3.0,0.0,0.0,0.0,2.0,0.0,9.0,2.0,11.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,4.0,2.0,0.0,1.0,5.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08128704487722269,0.07112616426756986,0.05249788314987299,0.04995766299745978,0.06096528365791702,0.014394580863674851,0.05927180355630821,0.016088060965283656,0.06350550381033022,0.024555461473327687,0.013547840812870448,0.13039796782387808,0.11346316680779,0.0829805249788315,0.02540220152413209,0.011854360711261643,0.009314140558848433,0.04064352243861134,0.005080440304826418,0.01947502116850127,0.026248941574936496,0.02286198137171888,0.002540220152413209,0.000846740050804403,0.000846740050804403,0.0,279,4.232974910394265,23.25,162.99915325994917
Jeremiah,22.0,1.0,0.0,16.0,1.0,6.0,4.0,0.0,0.0,3.0,4.0,0.0,2.0,7.0,1.0,3.0,6.0,7.0,1.0,2.0,4.0,0.0,12.0,19.0,6.0,3.0,0.0,0.0,1.0,4.0,2.0,1.0,2.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,3.0,8.0,0.0,1.0,9.0,1.0,10.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,14.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0850178359096314,0.06777645659928656,0.04399524375743163,0.07372175980975029,0.0558858501783591,0.016646848989298454,0.050535077288941736,0.028537455410225922,0.07074910820451843,0.030915576694411414,0.010107015457788348,0.1248513674197384,0.09869203329369798,0.089179548156956,0.018430439952437573,0.013674197384066587,0.00535077288941736,0.05291319857312723,0.014268727705112961,0.013674197384066587,0.015457788347205707,0.014863258026159334,0.0017835909631391202,0.0,0.0005945303210463733,0.0,418,4.023923444976076,27.733333333333334,237.9976218787158
