Author,and,because,of,the,whom,he,had,for,an,they,said,hath,lord,by,not,also,it,now,man,was,all,which,were,upon,unto,out,ye,in,forth,my,if,there,be,among,will,make,him,is,who,with,to,shall,wherefore,then,them,from,became,as,thee,wherein,we,have,let,her,one,when,cometh,his,god,but,should,that,again,till,thou,may,every,their,those,these,are,into,what,therein,or,many,where,thence,whither,moreover,once,than,thereof,our,would,neither,therefore,me,thus,did,how,lest,thy,do,according,wherewith,hast,like,no,himself,whosoever,been,such,whoso,thyself,yea,whose,abundance,without,thine,shalt,say,yet,your,much,could,thereon,whatsoever,whence,more,throughout,verily,ought,ever,doeth,being,whereunto,didst,each,inasmuch,downward,whereto,seest,therewith,whereof,other,thereby,shouldest,outward,hence,howsoever,becometh,henceforth,whereby,must,thereupon,thereunto,oft,oftentimes,underneath,whensoever,wherewithal,seemeth,hereof,notwithstanding,whereon,soever,forthwith,some,therefrom,wheresoever,upward,a_percentage_use,n_percentage_use,d_percentage_use,m_percentage_use,i_percentage_use,r_percentage_use,o_percentage_use,s_percentage_use,p_percentage_use,k_percentage_use,e_percentage_use,g_percentage_use,t_percentage_use,b_percentage_use,c_percentage_use,u_percentage_use,f_percentage_use,h_percentage_use,w_percentage_use,y_percentage_use,l_percentage_use,v_percentage_use,j_percentage_use,z_percentage_use,x_percentage_use,q_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
Moses,101.0,2.0,97.0,144.0,2.0,8.0,6.0,6.0,3.0,22.0,10.0,3.0,16.0,7.0,13.0,1.0,14.0,5.0,2.0,8.0,10.0,10.0,9.0,4.0,23.0,7.0,6.0,24.0,1.0,4.0,3.0,4.0,14.0,2.0,4.0,2.0,5.0,11.0,1.0,6.0,16.0,2.0,2.0,3.0,11.0,10.0,1.0,4.0,2.0,2.0,15.0,3.0,6.0,6.0,4.0,1.0,1.0,1.0,3.0,2.0,2.0,13.0,2.0,1.0,2.0,1.0,2.0,7.0,1.0,2.0,6.0,4.0,4.0,2.0,7.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08822450476889215,0.07703595011005136,0.05172413793103448,0.02641232575201761,0.05135730007336757,0.05264123257520176,0.07960381511371974,0.054475421863536315,0.01669112252384446,0.004952311078503301,0.13407923697725604,0.014856933235509904,0.09189288334556127,0.015957446808510637,0.01925898752751284,0.02421129860601614,0.028980190755685985,0.08052090975788702,0.022927366104181952,0.014490095377842993,0.03980190755685987,0.004952311078503301,0.0020176082171680116,0.000917094644167278,0.00018341892883345562,0.0,1373,3.970866715222141,23.655172413793103,786.9981658107116
Joshua,14.0,1.0,21.0,29.0,0.0,3.0,1.0,11.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,0.0,1.0,4.0,1.0,0.0,3.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09529025191675794,0.06462212486308871,0.0416210295728368,0.023001095290251915,0.0624315443592552,0.0755750273822563,0.07119386637458927,0.04928806133625411,0.009857612267250822,0.002190580503833516,0.13910186199342825,0.008762322015334063,0.09529025191675794,0.014238773274917854,0.024096385542168676,0.012048192771084338,0.04600219058050383,0.09419496166484119,0.019715224534501644,0.00547645125958379,0.03285870755750274,0.004381161007667032,0.00547645125958379,0.002190580503833516,0.0,0.0,212,4.306603773584905,35.333333333333336,125.99890470974809
Samuel,38.0,0.0,18.0,37.0,0.0,7.0,0.0,3.0,0.0,3.0,4.0,1.0,7.0,0.0,3.0,1.0,3.0,2.0,3.0,4.0,6.0,2.0,0.0,0.0,7.0,1.0,1.0,5.0,0.0,1.0,0.0,1.0,3.0,2.0,0.0,0.0,5.0,3.0,0.0,2.0,11.0,0.0,0.0,2.0,4.0,5.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,3.0,0.0,7.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10075713453698311,0.07105416423995341,0.054746651135701804,0.039603960396039604,0.04717530576587071,0.0401863715783343,0.07454863133372161,0.057076295864880604,0.016307513104251603,0.010483401281304601,0.1258008153756552,0.021549213744903904,0.09959231217239371,0.009318578916715201,0.011648223645894,0.033197437390797904,0.019801980198019802,0.0675596971461852,0.018637157833430402,0.017472335468841003,0.05183459522422831,0.008153756552125802,0.0005824111822947001,0.0,0.0017472335468841002,0.0,426,4.030516431924883,28.4,229.9988351776355
Unknown,9.0,0.0,6.0,8.0,2.0,1.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,4.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,0.0,1.0,1.0,0.0,3.0,4.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09341500765696784,0.07044410413476264,0.03828483920367534,0.016845329249617153,0.07044410413476264,0.03522205206738132,0.07656967840735068,0.07503828483920368,0.016845329249617153,0.0030627871362940277,0.10413476263399694,0.009188361408882083,0.0903522205206738,0.021439509954058193,0.015313935681470138,0.027565084226646247,0.019908116385911178,0.10413476263399694,0.021439509954058193,0.016845329249617153,0.05666156202143951,0.007656967840735069,0.0,0.0,0.0,0.0,165,3.9575757575757575,27.0,97.99081163859115
Unknown,12.0,1.0,20.0,21.0,0.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,4.0,3.0,0.0,0.0,1.0,1.0,0.0,7.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1040268456375839,0.06711409395973154,0.04697986577181208,0.01901565995525727,0.06823266219239374,0.053691275167785234,0.08277404921700224,0.058165548098434,0.011185682326621925,0.010067114093959731,0.12416107382550336,0.015659955257270694,0.08389261744966443,0.017897091722595078,0.015659955257270694,0.012304250559284116,0.025727069351230425,0.0894854586129754,0.02237136465324385,0.016778523489932886,0.03355704697986577,0.007829977628635347,0.010067114093959731,0.0011185682326621924,0.0011185682326621924,0.0,227,3.9383259911894273,28.375,132.99888143176733
Unknown,11.0,0.0,10.0,15.0,0.0,8.0,1.0,2.0,0.0,1.0,0.0,0.0,5.0,0.0,1.0,1.0,3.0,1.0,0.0,4.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09036144578313253,0.07349397590361446,0.06506024096385542,0.02530120481927711,0.06867469879518072,0.060240963855421686,0.06746987951807229,0.056626506024096385,0.007228915662650603,0.00963855421686747,0.12409638554216867,0.024096385542168676,0.08433734939759036,0.012048192771084338,0.021686746987951807,0.01325301204819277,0.024096385542168676,0.09156626506024096,0.01566265060240964,0.010843373493975903,0.03253012048192771,0.008433734939759036,0.0036144578313253013,0.0036144578313253013,0.0,0.0,204,4.068627450980392,28.857142857142858,113.99397590361443
Ezra,57.0,1.0,46.0,106.0,0.0,9.0,4.0,5.0,0.0,13.0,7.0,1.0,8.0,4.0,3.0,1.0,0.0,1.0,3.0,5.0,11.0,1.0,5.0,1.0,2.0,5.0,2.0,15.0,1.0,0.0,0.0,1.0,7.0,1.0,0.0,0.0,15.0,2.0,1.0,10.0,12.0,9.0,0.0,3.0,4.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,7.0,0.0,6.0,2.0,9.0,4.0,5.0,1.0,11.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09202453987730061,0.06748466257668712,0.051985792702615434,0.019696480464966096,0.05908944139489829,0.03939296092993219,0.07717145624798191,0.06005812076202777,0.01711333548595415,0.00871811430416532,0.12786567646109137,0.019050694220213108,0.10074265418146594,0.013561511139812722,0.011301259283177269,0.021633839199225055,0.02001937358734259,0.11075234097513723,0.014853083629318696,0.009686793671294802,0.03454956409428479,0.007749434937035841,0.007103648692282854,0.002583144979011947,0.00032289312237649337,0.0,772,4.011658031088083,38.25,453.99451081691956
Nehemiah,14.0,0.0,9.0,22.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08139534883720931,0.07703488372093023,0.05813953488372093,0.01308139534883721,0.040697674418604654,0.05377906976744186,0.07994186046511628,0.056686046511627904,0.015988372093023256,0.00436046511627907,0.13517441860465115,0.02180232558139535,0.1119186046511628,0.015988372093023256,0.00872093023255814,0.024709302325581394,0.01744186046511628,0.07703488372093023,0.020348837209302327,0.015988372093023256,0.04215116279069767,0.02180232558139535,0.0014534883720930232,0.0,0.0014534883720930232,0.0,167,4.119760479041916,41.5,102.99709302325577
Mordecai,1.0,0.0,2.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054982817869415807,0.07560137457044673,0.027491408934707903,0.024054982817869417,0.054982817869415807,0.03436426116838488,0.09621993127147767,0.044673539518900345,0.020618556701030927,0.020618556701030927,0.12714776632302405,0.020618556701030927,0.11683848797250859,0.006872852233676976,0.030927835051546393,0.024054982817869417,0.006872852233676976,0.09278350515463918,0.024054982817869417,0.010309278350515464,0.05154639175257732,0.01718213058419244,0.0,0.0,0.003436426116838488,0.0,76,3.8289473684210527,74.0,46.98625429553268
Unknown,8.0,0.0,4.0,8.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,0.0,4.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08383233532934131,0.0658682634730539,0.04491017964071856,0.05089820359281437,0.04790419161676647,0.04640718562874251,0.07634730538922156,0.0688622754491018,0.023952095808383235,0.005988023952095809,0.13023952095808383,0.011976047904191617,0.10179640718562874,0.011976047904191617,0.023952095808383235,0.041916167664670656,0.016467065868263474,0.059880239520958084,0.014970059880239521,0.03592814371257485,0.02844311377245509,0.005988023952095809,0.0,0.0,0.0,0.0,174,3.839080459770115,17.4,98.99850299401201
David and others,25.0,0.0,12.0,17.0,1.0,19.0,1.0,4.0,0.0,3.0,0.0,0.0,2.0,0.0,3.0,4.0,1.0,0.0,2.0,3.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,2.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,4.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08143800440205429,0.07410124724871607,0.05355832721936904,0.027879677182685254,0.06382978723404255,0.06969919295671313,0.06823184152604549,0.06823184152604549,0.013939838591342627,0.007336757153338224,0.13793103448275862,0.016140865737344093,0.08584005869405723,0.013939838591342627,0.014673514306676448,0.01760821716801174,0.02714600146735143,0.08437270726338958,0.014673514306676448,0.006603081438004402,0.041085840058694055,0.00880410858400587,0.0022010271460014674,0.0,0.0,0.0,331,4.117824773413897,13.791666666666666,183.9992663242847
Solomon and others,6.0,1.0,5.0,13.0,0.0,3.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,2.0,0.0,2.0,7.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06797583081570997,0.0649546827794562,0.03323262839879154,0.019637462235649546,0.0634441087613293,0.04682779456193353,0.0770392749244713,0.052870090634441085,0.02416918429003021,0.010574018126888218,0.1283987915407855,0.015105740181268883,0.13746223564954682,0.0075528700906344415,0.015105740181268883,0.022658610271903322,0.019637462235649546,0.10120845921450151,0.027190332326283987,0.015105740181268883,0.03625377643504532,0.006042296072507553,0.0,0.0,0.0015105740181268882,0.0,168,3.9404761904761907,18.666666666666668,98.99395770392752
Solomon,11.0,2.0,6.0,18.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08634538152610442,0.060240963855421686,0.050200803212851405,0.01606425702811245,0.040160642570281124,0.050200803212851405,0.0642570281124498,0.0823293172690763,0.008032128514056224,0.008032128514056224,0.13855421686746988,0.02208835341365462,0.0823293172690763,0.028112449799196786,0.012048192771084338,0.028112449799196786,0.02208835341365462,0.10240963855421686,0.02208835341365462,0.008032128514056224,0.0642570281124498,0.004016064257028112,0.0,0.0,0.0,0.0,123,4.048780487804878,41.0,75.99999999999999
Isaiah,20.0,0.0,3.0,14.0,1.0,8.0,0.0,7.0,0.0,9.0,0.0,2.0,4.0,2.0,10.0,0.0,4.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,0.0,4.0,5.0,0.0,2.0,0.0,0.0,2.0,1.0,10.0,4.0,3.0,5.0,5.0,0.0,5.0,2.0,0.0,0.0,5.0,0.0,0.0,3.0,4.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0,0.0,9.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08672294704528012,0.06907137375287797,0.04681504221028396,0.023791250959324637,0.06523407521105141,0.056792018419033,0.06753645433614736,0.056792018419033,0.012279355333844973,0.011511895625479662,0.12970069071373752,0.01688411358403684,0.09746738296239447,0.023023791250959325,0.0061396776669224865,0.02072141212586339,0.016116653875671526,0.08135072908672294,0.023023791250959325,0.024558710667689946,0.05065234075211052,0.00920951650038373,0.0015349194167306216,0.0,0.0,0.0,339,3.8436578171091447,28.166666666666668,196.99693016116655
Jeremiah,33.0,0.0,37.0,62.0,0.0,8.0,4.0,6.0,1.0,5.0,0.0,1.0,7.0,3.0,4.0,1.0,1.0,1.0,0.0,0.0,10.0,4.0,1.0,1.0,4.0,0.0,2.0,14.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,3.0,15.0,8.0,0.0,2.0,6.0,2.0,0.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,3.0,4.0,2.0,0.0,8.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09795530194959581,0.07560627674750357,0.04897765097479791,0.017118402282453638,0.048026628625772706,0.0456490727532097,0.07513076557299096,0.051830718021873515,0.020922491678554447,0.008083689966714217,0.12125534950071326,0.016167379933428434,0.09890632429862102,0.010461245839277223,0.019495958155016643,0.019020446980504042,0.02615311459819306,0.10128388017118402,0.015216357584403234,0.019971469329529243,0.04232049453162149,0.008083689966714217,0.007132667617689016,0.0019020446980504042,0.0,0.0,528,3.9829545454545454,35.06666666666667,310.9966714217784
