Author,and,the,lord,said,unto,thy,that,thou,must,in,of,may,him,shalt,with,will,whither,they,to,be,among,them,me,my,which,have,then,shall,from,many,say,are,not,these,upon,because,our,god,is,for,all,other,now,therefore,ye,it,their,when,into,as,out,he,thee,had,an,were,your,there,yet,been,how,much,more,do,his,without,thus,hath,according,her,did,was,no,didst,but,whom,hast,what,those,also,man,would,make,lest,should,neither,one,being,himself,or,where,let,ever,if,wherewith,forth,yea,every,who,thine,again,by,thereof,like,abundance,underneath,we,thereon,wherein,therefrom,throughout,whose,became,could,ought,therewith,thyself,than,soever,notwithstanding,wherefore,seemeth,such,till,whosoever,moreover,some,each,whereon,whereunto,thence,once,whatsoever,therein,whereof,cometh,whereby,seest,doeth,whoso,becometh,shouldest,inasmuch,downward,whereto,thereby,outward,hence,howsoever,henceforth,thereupon,thereunto,oft,oftentimes,whence,whensoever,wherewithal,hereof,verily,forthwith,wheresoever,upward,a_percentage_use,n_percentage_use,d_percentage_use,t_percentage_use,h_percentage_use,e_percentage_use,l_percentage_use,o_percentage_use,r_percentage_use,s_percentage_use,i_percentage_use,u_percentage_use,m_percentage_use,b_percentage_use,y_percentage_use,p_percentage_use,c_percentage_use,j_percentage_use,v_percentage_use,f_percentage_use,g_percentage_use,w_percentage_use,k_percentage_use,x_percentage_use,q_percentage_use,z_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
David and others,64.0,116.0,42.0,0.0,11.0,21.0,25.0,2.0,0.0,32.0,50.0,5.0,24.0,0.0,12.0,13.0,0.0,4.0,20.0,12.0,0.0,17.0,2.0,4.0,6.0,3.0,0.0,11.0,3.0,0.0,0.0,2.0,6.0,0.0,12.0,0.0,10.0,11.0,23.0,17.0,29.0,0.0,0.0,0.0,18.0,2.0,12.0,0.0,0.0,3.0,2.0,31.0,7.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,2.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,11.0,10.0,0.0,0.0,4.0,1.0,3.0,4.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07408707865168539,0.06179775280898876,0.04037921348314607,0.09515449438202248,0.09287219101123595,0.1271067415730337,0.05214185393258427,0.06934691011235955,0.06214887640449438,0.06618679775280899,0.06759129213483146,0.02247191011235955,0.023174157303370788,0.009831460674157303,0.018433988764044944,0.02405196629213483,0.013167134831460673,0.0024578651685393258,0.009129213483146067,0.019311797752808987,0.021769662921348316,0.016327247191011238,0.006846910112359551,0.0014044943820224719,0.0,0.000526685393258427,1375,4.142545454545455,16.16470588235294,799.9977176966291
Solomon and others,21.0,23.0,1.0,0.0,1.0,2.0,3.0,1.0,0.0,6.0,14.0,0.0,1.0,0.0,5.0,1.0,0.0,0.0,8.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,1.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07109634551495017,0.06378737541528239,0.05116279069767442,0.08903654485049833,0.1122923588039867,0.1382059800664452,0.04717607973421927,0.06976744186046512,0.06312292358803986,0.0691029900332226,0.05514950166112957,0.026578073089700997,0.014617940199335547,0.009966777408637873,0.012624584717607974,0.014617940199335547,0.016611295681063124,0.00132890365448505,0.009302325581395349,0.02524916943521595,0.015946843853820596,0.014617940199335547,0.006644518272425249,0.00132890365448505,0.0,0.0,357,4.215686274509804,14.875,179.9993355481728
Solomon,28.0,59.0,0.0,1.0,1.0,20.0,16.0,7.0,1.0,8.0,39.0,2.0,1.0,0.0,6.0,6.0,2.0,2.0,16.0,8.0,3.0,1.0,9.0,23.0,6.0,4.0,1.0,3.0,4.0,1.0,0.0,11.0,5.0,0.0,8.0,0.0,2.0,0.0,28.0,9.0,2.0,0.0,1.0,0.0,2.0,4.0,0.0,2.0,4.0,23.0,1.0,4.0,14.0,1.0,3.0,1.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,1.0,9.0,2.0,0.0,2.0,0.0,9.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,6.0,1.0,0.0,4.0,1.0,7.0,0.0,0.0,2.0,0.0,5.0,1.0,4.0,0.0,5.0,3.0,2.0,3.0,6.0,0.0,1.0,4.0,13.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07753124203009436,0.05381280285641418,0.03442999234889059,0.090283091048202,0.07753124203009436,0.1428207090028054,0.04641673042591176,0.07651109410864575,0.05610813567967355,0.0660545779137975,0.05865850548329508,0.031114511604182608,0.027033919918388168,0.017597551644988524,0.020657995409334353,0.014792144861004846,0.015812292782453455,0.0017852588625350675,0.012751849018107626,0.024738587095128793,0.015047181841366998,0.02320836521295588,0.009436368273399644,0.0002550369803621525,0.00102014792144861,0.0002550369803621525,993,3.9486404833836857,23.523809523809526,521.9956643713338
Isaiah,168.0,211.0,52.0,3.0,14.0,39.0,76.0,24.0,0.0,56.0,97.0,4.0,10.0,5.0,22.0,35.0,0.0,36.0,54.0,45.0,5.0,32.0,22.0,38.0,14.0,18.0,2.0,89.0,13.0,2.0,2.0,20.0,34.0,2.0,14.0,6.0,16.0,13.0,24.0,61.0,29.0,0.0,1.0,6.0,28.0,15.0,28.0,7.0,5.0,25.0,9.0,29.0,9.0,0.0,16.0,1.0,14.0,6.0,1.0,1.0,0.0,0.0,5.0,2.0,29.0,0.0,4.0,15.0,3.0,15.0,7.0,9.0,5.0,2.0,19.0,1.0,4.0,1.0,5.0,3.0,5.0,0.0,8.0,0.0,1.0,5.0,8.0,1.0,5.0,1.0,6.0,1.0,2.0,4.0,0.0,12.0,1.0,0.0,4.0,5.0,0.0,12.0,2.0,7.0,1.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08073870573870574,0.06486568986568987,0.04326923076923077,0.09447496947496947,0.08592796092796093,0.12675518925518925,0.05555555555555555,0.07585470085470085,0.06173687423687424,0.05822649572649573,0.058455433455433456,0.02358058608058608,0.025488400488400488,0.01823870573870574,0.021443833943833944,0.011828449328449328,0.015338827838827838,0.002670940170940171,0.00786019536019536,0.024496336996336996,0.01572039072039072,0.017551892551892552,0.005952380952380952,0.00030525030525030525,0.0004578754578754579,0.0006105006105006105,3201,4.093720712277413,30.701923076923077,1852.9974053724056
Jeremiah,16.0,51.0,5.0,2.0,5.0,2.0,8.0,6.0,0.0,9.0,29.0,0.0,0.0,2.0,3.0,4.0,0.0,13.0,7.0,4.0,2.0,3.0,0.0,0.0,1.0,14.0,0.0,4.0,4.0,0.0,0.0,8.0,9.0,1.0,3.0,3.0,27.0,0.0,13.0,11.0,1.0,0.0,0.0,0.0,1.0,2.0,6.0,1.0,3.0,5.0,1.0,4.0,3.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,4.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0689792663476874,0.06778309409888357,0.04824561403508772,0.09449760765550239,0.07535885167464115,0.13915470494417864,0.033094098883572565,0.08333333333333333,0.07057416267942583,0.06339712918660287,0.05502392344497608,0.04425837320574163,0.0171451355661882,0.009170653907496013,0.01555023923444976,0.011961722488038277,0.01594896331738437,0.0027910685805422647,0.014354066985645933,0.025119617224880382,0.012360446570972886,0.02113237639553429,0.005582137161084529,0.00039872408293460925,0.001594896331738437,0.001594896331738437,604,4.152317880794702,18.272727272727273,346.9984051036683
Ezekiel,176.0,367.0,16.0,4.0,38.0,0.0,29.0,4.0,0.0,43.0,143.0,0.0,2.0,3.0,5.0,0.0,1.0,14.0,46.0,53.0,4.0,10.0,15.0,2.0,13.0,6.0,10.0,116.0,32.0,2.0,0.0,7.0,11.0,9.0,2.0,2.0,0.0,5.0,13.0,41.0,4.0,3.0,3.0,0.0,10.0,28.0,7.0,8.0,6.0,13.0,11.0,33.0,0.0,2.0,18.0,7.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,8.0,4.0,0.0,9.0,0.0,1.0,7.0,0.0,0.0,8.0,0.0,1.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,2.0,21.0,2.0,0.0,1.0,3.0,0.0,0.0,2.0,0.0,13.0,0.0,7.0,0.0,0.0,3.0,33.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08635968722849696,0.06794092093831451,0.04526498696785404,0.10981754995655951,0.0900086880973067,0.12814943527367506,0.037793223284100785,0.07845351867940921,0.060816681146828845,0.06211989574283232,0.05160729800173762,0.025021720243266724,0.016072980017376195,0.02154648132059079,0.014161598609904432,0.011728931364031277,0.013032145960034752,0.0012163336229365769,0.008514335360556038,0.03405734144222415,0.015551694178974805,0.016333622936576888,0.002172024326672459,0.0005212858384013901,8.688097306689835e-05,0.0006950477845351868,2822,4.078667611622962,33.1764705882353,1581.9990443092963
Daniel,154.0,156.0,1.0,4.0,3.0,6.0,28.0,4.0,0.0,23.0,81.0,0.0,20.0,1.0,30.0,6.0,0.0,17.0,39.0,46.0,2.0,9.0,1.0,1.0,8.0,6.0,7.0,155.0,2.0,15.0,0.0,1.0,14.0,7.0,5.0,1.0,0.0,8.0,5.0,21.0,5.0,2.0,3.0,2.0,0.0,7.0,4.0,6.0,8.0,6.0,4.0,59.0,3.0,0.0,3.0,0.0,1.0,8.0,5.0,0.0,1.0,1.0,1.0,13.0,52.0,1.0,2.0,1.0,4.0,5.0,0.0,4.0,0.0,0.0,29.0,3.0,0.0,1.0,2.0,7.0,2.0,0.0,3.0,0.0,0.0,6.0,7.0,0.0,3.0,1.0,0.0,0.0,3.0,0.0,0.0,6.0,3.0,2.0,0.0,0.0,0.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08995739500912964,0.07303712720632989,0.045891661594643945,0.09957395009129641,0.09653073645769933,0.11637248934875229,0.06269020085209982,0.06609860012172855,0.04686548995739501,0.0664637857577602,0.05660377358490566,0.021545952525867315,0.021667681071211198,0.015581253804017042,0.01472915398660986,0.01472915398660986,0.017650639074863056,0.00012172854534388314,0.009251369446135119,0.02276323797930615,0.017528910529519173,0.015702982349360926,0.007181984175289105,0.0006086427267194157,0.0,0.0,2010,4.087064676616915,33.483333333333334,1202.9991479001826
Hosea,94.0,167.0,22.0,1.0,17.0,18.0,18.0,10.0,0.0,51.0,81.0,2.0,19.0,1.0,15.0,36.0,0.0,59.0,41.0,34.0,5.0,43.0,13.0,12.0,0.0,21.0,3.0,95.0,19.0,1.0,6.0,13.0,23.0,1.0,9.0,11.0,3.0,17.0,37.0,33.0,11.0,2.0,6.0,8.0,5.0,19.0,40.0,6.0,5.0,38.0,9.0,35.0,12.0,2.0,5.0,5.0,3.0,7.0,6.0,0.0,5.0,0.0,5.0,5.0,30.0,0.0,1.0,10.0,7.0,7.0,3.0,7.0,8.0,1.0,18.0,1.0,5.0,4.0,0.0,7.0,4.0,1.0,4.0,0.0,3.0,2.0,1.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,5.0,5.0,1.0,1.0,3.0,0.0,13.0,6.0,6.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08180508881421028,0.05693710993759001,0.039270283245319254,0.08967834853576573,0.08209313490158425,0.12693230916946713,0.059049447911665866,0.06509841574651944,0.05885741718674988,0.06356216994719155,0.07095535285645703,0.0242918867018723,0.027076332213154104,0.0157465194431109,0.022371579452712433,0.01641862698031685,0.01661065770523284,0.0015362457993278924,0.009601536245799328,0.025060009601536246,0.01661065770523284,0.020355256841094575,0.006817090734517523,0.0003840614498319731,0.0009601536245799327,9.601536245799327e-05,2555,4.076320939334638,26.06122448979592,1470.9981757081134
Joel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Amos,94.0,144.0,34.0,12.0,10.0,7.0,26.0,6.0,0.0,21.0,68.0,5.0,1.0,1.0,4.0,28.0,0.0,17.0,14.0,15.0,1.0,19.0,9.0,7.0,3.0,2.0,6.0,44.0,7.0,1.0,2.0,3.0,19.0,0.0,10.0,0.0,0.0,15.0,11.0,15.0,9.0,0.0,1.0,2.0,2.0,17.0,5.0,2.0,6.0,9.0,6.0,12.0,4.0,1.0,4.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,4.0,0.0,7.0,0.0,6.0,6.0,0.0,0.0,1.0,4.0,2.0,0.0,4.0,2.0,0.0,2.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,0.0,0.0,5.0,16.0,3.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0925958340626641,0.06353929634167688,0.053211972693856115,0.09784701557850517,0.08594433747593208,0.11587607211622615,0.06546472956415193,0.07491685629266585,0.04638543672326274,0.05986346928058813,0.06091370558375635,0.020129529144057412,0.023280238053562052,0.01575354454752319,0.02065464729564152,0.016978820234552775,0.012427796254157185,0.0014003150708909505,0.006301417819009277,0.02503063189217574,0.015228426395939087,0.018204095921582356,0.004726063364256958,0.00017503938386136881,0.0,0.0005251181515841065,1483,3.852326365475388,31.46808510638298,859.997374409242
Obadiah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Jonah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Micah,5.0,13.0,1.0,0.0,3.0,1.0,1.0,3.0,0.0,1.0,11.0,0.0,1.0,0.0,0.0,4.0,0.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,7.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07782672540381791,0.05433186490455213,0.033773861967694566,0.1027900146842878,0.09838472834067548,0.1145374449339207,0.05873715124816446,0.07782672540381791,0.05433186490455213,0.06167400881057269,0.06461086637298091,0.0381791483113069,0.020558002936857563,0.013215859030837005,0.01908957415565345,0.013215859030837005,0.01908957415565345,0.0014684287812041115,0.005873715124816446,0.027900146842878122,0.01762114537444934,0.016152716593245228,0.005873715124816446,0.0,0.002936857562408223,0.0,164,4.152439024390244,27.333333333333332,106.00000000000001
Nahum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Habakkuk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Zephaniah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
