Author,and,to,these,are,the,of,which,were,unto,him,in,his,all,he,had,into,from,for,their,more,than,that,they,wherein,could,not,them,because,thus,is,was,who,as,among,there,by,according,be,being,with,now,many,when,it,yet,said,have,we,my,also,your,shalt,thou,or,me,what,hast,shall,thy,thee,but,do,will,again,out,man,where,hence,say,let,lord,once,did,hath,god,should,would,then,thine,therefore,upon,seest,if,wherewith,how,much,one,an,every,some,himself,like,no,whom,henceforth,neither,other,whose,our,till,whence,ye,her,thereof,ever,make,whosoever,may,must,forth,lest,thereby,without,became,those,whatsoever,oftentimes,throughout,verily,soever,doeth,whereby,thyself,ought,wherefore,therein,didst,each,inasmuch,downward,abundance,whereto,therewith,whereof,thence,been,shouldest,outward,howsoever,becometh,thereon,thereupon,thereunto,moreover,oft,whither,cometh,such,underneath,whereunto,whensoever,wherewithal,seemeth,hereof,notwithstanding,whereon,forthwith,therefrom,yea,wheresoever,whoso,upward,a_percentage_use,n_percentage_use,d_percentage_use,h_percentage_use,b_percentage_use,r_percentage_use,e_percentage_use,t_percentage_use,o_percentage_use,s_percentage_use,u_percentage_use,l_percentage_use,i_percentage_use,p_percentage_use,z_percentage_use,m_percentage_use,j_percentage_use,k_percentage_use,f_percentage_use,w_percentage_use,c_percentage_use,v_percentage_use,g_percentage_use,y_percentage_use,x_percentage_use,q_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
Moses,123.0,20.0,31.0,23.0,102.0,82.0,3.0,14.0,8.0,19.0,27.0,40.0,5.0,16.0,1.0,1.0,1.0,5.0,13.0,6.0,3.0,12.0,9.0,2.0,2.0,3.0,6.0,2.0,1.0,4.0,12.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,5.0,1.0,1.0,2.0,4.0,3.0,9.0,3.0,1.0,3.0,1.0,1.0,2.0,4.0,1.0,3.0,2.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10954198473282442,0.07385496183206107,0.06717557251908397,0.09618320610687023,0.018893129770992365,0.04866412213740458,0.14446564885496183,0.07461832061068702,0.061450381679389314,0.06259541984732825,0.024618320610687024,0.02633587786259542,0.05458015267175573,0.005916030534351145,0.006297709923664122,0.028053435114503818,0.0036259541984732823,0.012786259541984733,0.025954198473282442,0.01431297709923664,0.012977099236641221,0.004770992366412214,0.008969465648854962,0.007251908396946565,0.0,0.0,1297,4.040092521202776,22.137931034482758,677.9938931297709
Joshua,13.0,2.0,0.0,0.0,33.0,6.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07724137931034483,0.0703448275862069,0.05103448275862069,0.07310344827586207,0.012413793103448275,0.05103448275862069,0.1393103448275862,0.12275862068965518,0.0703448275862069,0.06344827586206897,0.020689655172413793,0.020689655172413793,0.04551724137931035,0.027586206896551724,0.0,0.034482758620689655,0.002758620689655172,0.006896551724137931,0.015172413793103448,0.015172413793103448,0.027586206896551724,0.009655172413793104,0.013793103448275862,0.027586206896551724,0.001379310344827586,0.0,178,4.073033707865169,29.666666666666668,87.00000000000007
Samuel,46.0,6.0,0.0,0.0,39.0,20.0,0.0,5.0,4.0,11.0,7.0,4.0,1.0,6.0,0.0,2.0,2.0,1.0,3.0,0.0,0.0,8.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,9.0,1.0,3.0,4.0,0.0,2.0,4.0,0.0,2.0,0.0,7.0,3.0,1.0,3.0,1.0,0.0,6.0,0.0,3.0,1.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,1.0,0.0,1.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08022284122562674,0.07576601671309192,0.05682451253481894,0.09247910863509749,0.020055710306406686,0.03565459610027855,0.14373259052924792,0.08857938718662953,0.07186629526462396,0.04902506963788301,0.025069637883008356,0.03454038997214485,0.06183844011142061,0.01838440111420613,0.002785515320334262,0.033983286908077996,0.0005571030640668524,0.001671309192200557,0.022284122562674095,0.02562674094707521,0.02116991643454039,0.005571030640668524,0.017270194986072424,0.015041782729805013,0.0,0.0,446,4.024663677130045,29.733333333333334,265.0
Unknown,15.0,5.0,0.0,1.0,9.0,5.0,0.0,0.0,1.0,0.0,7.0,4.0,2.0,3.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08804204993429698,0.07621550591327202,0.06176084099868594,0.08278580814717477,0.023653088042049936,0.056504599211563734,0.1314060446780552,0.07752956636005257,0.07752956636005257,0.052562417871222074,0.02890932982917214,0.03942181340341656,0.06044678055190539,0.013140604467805518,0.0,0.01971090670170828,0.0,0.010512483574244415,0.018396846254927726,0.018396846254927726,0.010512483574244415,0.013140604467805518,0.017082785808147174,0.01971090670170828,0.0,0.001314060446780552,190,4.005263157894737,31.666666666666668,97.99868593955324
Unknown,19.0,2.0,0.0,0.0,20.0,14.0,2.0,1.0,2.0,1.0,5.0,3.0,6.0,3.0,2.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08383233532934131,0.09221556886227544,0.059880239520958084,0.06347305389221557,0.013173652694610778,0.06107784431137724,0.12215568862275449,0.06347305389221557,0.08263473053892216,0.06347305389221557,0.025149700598802394,0.03952095808383234,0.0658682634730539,0.009580838323353293,0.0023952095808383233,0.025149700598802394,0.003592814371257485,0.008383233532934131,0.03592814371257485,0.013173652694610778,0.009580838323353293,0.01437125748502994,0.017964071856287425,0.017964071856287425,0.0023952095808383233,0.0,203,4.113300492610837,25.25,99.99640718562873
Unknown,17.0,6.0,0.0,0.0,13.0,9.0,0.0,0.0,5.0,5.0,8.0,3.0,2.0,12.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,3.0,2.0,0.0,5.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,4.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07936507936507936,0.0882936507936508,0.05357142857142857,0.08928571428571429,0.01488095238095238,0.05357142857142857,0.1259920634920635,0.09325396825396826,0.07738095238095238,0.04861111111111111,0.020833333333333332,0.03373015873015873,0.06448412698412699,0.012896825396825396,0.0,0.030753968253968252,0.000992063492063492,0.00496031746031746,0.027777777777777776,0.020833333333333332,0.01488095238095238,0.010912698412698412,0.016865079365079364,0.01488095238095238,0.0,0.0,262,3.8473282442748094,37.42857142857143,156.99900793650806
Ezra,50.0,2.0,4.0,2.0,73.0,73.0,0.0,9.0,0.0,0.0,6.0,3.0,4.0,0.0,2.0,0.0,0.0,2.0,10.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09813789632611977,0.08555611474584801,0.04479114242576749,0.1046804227478611,0.01560140915953699,0.050830397584297936,0.12128837443381983,0.07196779063915451,0.08555611474584801,0.0754906894816306,0.019124308002013084,0.03271263210870659,0.059386009058882736,0.0055359838953195776,0.006039255158530448,0.024660291897332664,0.009058882737795673,0.00754906894816306,0.043784599899345744,0.009562154001006542,0.011071967790639155,0.004026170105686965,0.006039255158530448,0.0050327126321087065,0.001509813789632612,0.0,473,4.200845665961945,23.65,253.9989934574735
Nehemiah,8.0,3.0,0.0,1.0,10.0,2.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,2.0,3.0,0.0,0.0,2.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07966457023060797,0.05660377358490566,0.0440251572327044,0.08176100628930817,0.020964360587002098,0.05450733752620545,0.1509433962264151,0.09853249475890985,0.050314465408805034,0.07547169811320754,0.029350104821802937,0.050314465408805034,0.05870020964360587,0.016771488469601678,0.0,0.025157232704402517,0.0041928721174004195,0.0041928721174004195,0.012578616352201259,0.033542976939203356,0.025157232704402517,0.0041928721174004195,0.006289308176100629,0.016771488469601678,0.0,0.0,119,4.008403361344538,29.75,71.0
Mordecai,3.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0945945945945946,0.07207207207207207,0.02702702702702703,0.07207207207207207,0.018018018018018018,0.05855855855855856,0.15315315315315314,0.13963963963963963,0.06306306306306306,0.04954954954954955,0.013513513513513514,0.036036036036036036,0.05855855855855856,0.009009009009009009,0.0,0.04054054054054054,0.0,0.013513513513513514,0.018018018018018018,0.009009009009009009,0.009009009009009009,0.009009009009009009,0.02702702702702703,0.009009009009009009,0.0,0.0,55,4.036363636363636,55.0,32.99999999999999
Unknown,10.0,1.0,0.0,0.0,10.0,5.0,5.0,0.0,0.0,3.0,3.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.077834179357022,0.0727580372250423,0.04230118443316413,0.12859560067681894,0.008460236886632826,0.03722504230118443,0.116751269035533,0.10998307952622674,0.05922165820642978,0.05245346869712352,0.025380710659898477,0.04060913705583756,0.0676818950930626,0.015228426395939087,0.0,0.025380710659898477,0.005076142131979695,0.00676818950930626,0.015228426395939087,0.03553299492385787,0.023688663282571912,0.00676818950930626,0.01692047377326565,0.008460236886632826,0.0,0.0,141,4.191489361702128,14.0,85.99830795262268
David and others,16.0,4.0,0.0,0.0,40.0,19.0,0.0,3.0,1.0,8.0,9.0,11.0,10.0,15.0,0.0,0.0,4.0,6.0,4.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,6.0,1.0,0.0,7.0,1.0,1.0,2.0,0.0,1.0,5.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,4.0,15.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07701863354037267,0.0546583850931677,0.046583850931677016,0.10807453416149068,0.015527950310559006,0.055279503105590065,0.1453416149068323,0.09440993788819876,0.0782608695652174,0.05093167701863354,0.021739130434782608,0.055279503105590065,0.05403726708074534,0.013664596273291925,0.0,0.031055900621118012,0.0006211180124223603,0.006211180124223602,0.02670807453416149,0.012422360248447204,0.013664596273291925,0.010559006211180125,0.013043478260869565,0.013043478260869565,0.0006211180124223603,0.0,402,4.0049751243781095,16.75,249.99875776397516
Solomon and others,5.0,4.0,0.0,1.0,9.0,7.0,0.0,0.0,0.0,0.0,3.0,6.0,1.0,6.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07107438016528926,0.07272727272727272,0.024793388429752067,0.08429752066115702,0.023140495867768594,0.0512396694214876,0.1371900826446281,0.09256198347107437,0.08760330578512397,0.06446280991735537,0.03140495867768595,0.04297520661157025,0.06115702479338843,0.011570247933884297,0.0,0.023140495867768594,0.0,0.0049586776859504135,0.04297520661157025,0.01818181818181818,0.01818181818181818,0.006611570247933884,0.01487603305785124,0.011570247933884297,0.0,0.0,156,3.878205128205128,17.22222222222222,86.99669421487603
Solomon,4.0,3.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08421052631578947,0.08070175438596491,0.056140350877192984,0.0912280701754386,0.014035087719298246,0.042105263157894736,0.10175438596491228,0.11578947368421053,0.10175438596491228,0.03508771929824561,0.021052631578947368,0.031578947368421054,0.07719298245614035,0.0,0.0,0.028070175438596492,0.007017543859649123,0.014035087719298246,0.028070175438596492,0.010526315789473684,0.007017543859649123,0.007017543859649123,0.031578947368421054,0.010526315789473684,0.0,0.0,82,3.475609756097561,27.333333333333332,54.99649122807016
Isaiah,8.0,6.0,0.0,1.0,25.0,19.0,0.0,0.0,2.0,1.0,4.0,6.0,1.0,7.0,0.0,0.0,2.0,4.0,2.0,0.0,0.0,4.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,5.0,0.0,2.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09712837837837837,0.05827702702702703,0.03885135135135135,0.08783783783783784,0.011824324324324325,0.05067567567567568,0.11824324324324324,0.09881756756756757,0.07601351351351351,0.06672297297297297,0.02364864864864865,0.05067567567567568,0.05912162162162162,0.016047297297297296,0.0016891891891891893,0.028716216216216218,0.0016891891891891893,0.006756756756756757,0.03547297297297297,0.0059121621621621625,0.015202702702702704,0.007601351351351352,0.024493243243243243,0.017736486486486486,0.0,0.0,291,4.0687285223367695,24.25,153.99915540540545
Jeremiah,21.0,9.0,0.0,4.0,30.0,20.0,3.0,0.0,3.0,2.0,4.0,4.0,4.0,1.0,0.0,0.0,2.0,5.0,1.0,1.0,0.0,9.0,4.0,0.0,0.0,10.0,6.0,0.0,2.0,13.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,5.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,2.0,4.0,0.0,9.0,0.0,3.0,0.0,2.0,0.0,4.0,0.0,0.0,3.0,3.0,1.0,2.0,1.0,3.0,0.0,5.0,3.0,0.0,0.0,1.0,0.0,8.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07869481765834933,0.0690978886756238,0.045425463851567496,0.0799744081893794,0.01599488163787588,0.0563019833653231,0.1017274472168906,0.11068458093410109,0.09404990403071017,0.05502239283429303,0.02815099168266155,0.035188739603326934,0.06525911708253358,0.010876519513755598,0.0,0.03390914907229686,0.004478566858605247,0.005758157389635317,0.02815099168266155,0.013435700575815739,0.021753039027511197,0.006397952655150352,0.014075495841330775,0.02431222008957134,0.0,0.0,408,3.8308823529411766,27.2,247.99872040946894
Ezekiel,15.0,4.0,0.0,2.0,22.0,9.0,1.0,0.0,6.0,0.0,14.0,3.0,1.0,2.0,0.0,2.0,1.0,6.0,7.0,0.0,0.0,5.0,7.0,0.0,0.0,5.0,4.0,0.0,1.0,1.0,1.0,0.0,5.0,2.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,1.0,4.0,0.0,2.0,1.0,1.0,5.0,11.0,0.0,2.0,1.0,0.0,6.0,4.0,3.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,2.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07148120854826824,0.05821665438467207,0.03389830508474576,0.10243183492999262,0.01400147383935151,0.058953574060427415,0.10832719233603537,0.11274871039056743,0.08327192336035372,0.058953574060427415,0.039056742815033164,0.0397936624907885,0.06853352984524687,0.008843036109064112,0.0,0.021370670596904937,0.0007369196757553427,0.0007369196757553427,0.026529108327192335,0.01105379513633014,0.015475313190862197,0.011790714812085483,0.027266028002947678,0.025792188651436992,0.0,0.0,345,3.933333333333333,28.75,211.99926308032425
