Author,and,the,shall,them,with,of,for,lord,they,be,to,ye,that,it,may,an,unto,do,no,therein,ever,in,all,your,throughout,when,thou,shalt,not,make,thy,neither,god,have,but,by,also,there,is,whatsoever,he,from,among,his,doeth,will,these,are,which,every,upon,out,thee,without,thereof,one,each,being,him,whose,was,man,forth,hath,let,their,whosoever,as,if,again,should,had,did,say,into,then,thence,were,said,lest,my,now,cometh,our,we,what,thus,where,because,therefore,me,whom,himself,much,became,thyself,thine,thereon,who,her,abundance,many,some,would,moreover,didst,other,how,or,yea,hast,once,been,like,wherefore,wherewith,more,yet,than,according,notwithstanding,those,verily,such,must,ought,till,could,inasmuch,downward,whereto,seest,therewith,wherein,whereof,thereby,shouldest,outward,hence,howsoever,becometh,whereby,henceforth,thereupon,thereunto,oft,oftentimes,whither,underneath,whereunto,whence,whensoever,wherewithal,seemeth,hereof,whereon,soever,forthwith,therefrom,wheresoever,whoso,upward,a_percentage_use,n_percentage_use,d_percentage_use,t_percentage_use,h_percentage_use,e_percentage_use,p_percentage_use,r_percentage_use,i_percentage_use,s_percentage_use,l_percentage_use,w_percentage_use,v_percentage_use,m_percentage_use,b_percentage_use,o_percentage_use,f_percentage_use,u_percentage_use,g_percentage_use,y_percentage_use,c_percentage_use,k_percentage_use,j_percentage_use,x_percentage_use,z_percentage_use,q_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
Moses,74.0,139.0,65.0,6.0,4.0,67.0,30.0,38.0,6.0,34.0,16.0,30.0,25.0,25.0,3.0,15.0,41.0,6.0,6.0,4.0,4.0,32.0,12.0,21.0,4.0,6.0,14.0,13.0,3.0,4.0,14.0,3.0,6.0,3.0,2.0,9.0,2.0,1.0,5.0,2.0,15.0,5.0,3.0,11.0,1.0,1.0,1.0,3.0,4.0,4.0,5.0,3.0,5.0,2.0,4.0,3.0,1.0,1.0,11.0,1.0,2.0,7.0,2.0,3.0,2.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09101069774868274,0.0710522114002874,0.039437969024429184,0.09771674916174357,0.08095162062909149,0.11959125019958486,0.010218745010378413,0.055724093884719786,0.04806003512693598,0.06019479482676034,0.05795944435574006,0.010378412901165576,0.010538080791952738,0.020756825802331152,0.021076161583905476,0.0817499600830273,0.03145457448507105,0.02714354143381766,0.013891106498483154,0.027941880887753474,0.01357177071690883,0.006546383522273671,0.0006386715631486508,0.0004790036723614881,0.0,0.0,1546,4.051099611901682,26.603448275862068,912.9980839853107
Joshua,16.0,43.0,1.0,0.0,0.0,22.0,0.0,0.0,0.0,1.0,6.0,0.0,3.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08229166666666667,0.06875,0.04791666666666667,0.121875,0.084375,0.125,0.015625,0.06770833333333333,0.036458333333333336,0.046875,0.022916666666666665,0.029166666666666667,0.007291666666666667,0.017708333333333333,0.025,0.09895833333333333,0.03125,0.028125,0.014583333333333334,0.009375,0.008333333333333333,0.0020833333333333333,0.00625,0.0,0.0010416666666666667,0.0010416666666666667,239,4.01673640167364,39.833333333333336,126.99999999999997
Samuel,23.0,36.0,4.0,5.0,1.0,17.0,10.0,2.0,12.0,3.0,24.0,3.0,7.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,4.0,1.0,1.0,5.0,1.0,0.0,0.0,5.0,3.0,3.0,0.0,0.0,4.0,11.0,0.0,15.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0,9.0,0.0,0.0,4.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,4.0,0.0,3.0,10.0,1.0,5.0,6.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08776328986960882,0.059679037111334,0.04162487462387161,0.10080240722166499,0.08575727181544635,0.13640922768304914,0.019558676028084254,0.04312938816449348,0.05315947843530592,0.06168505516549649,0.04162487462387161,0.023069207622868605,0.007522567703109328,0.029087261785356068,0.014543630892678034,0.07723169508525576,0.022066198595787363,0.033600802407221665,0.017051153460381142,0.020561685055165497,0.017051153460381142,0.003009027081243731,0.0010030090270812437,0.0,0.0005015045135406219,0.0005015045135406219,538,3.7063197026022303,35.8,310.9979939819459
Unknown,11.0,13.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,1.0,8.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,4.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08967391304347826,0.07201086956521739,0.04755434782608696,0.08423913043478261,0.09103260869565218,0.11956521739130435,0.005434782608695652,0.043478260869565216,0.0625,0.059782608695652176,0.036684782608695655,0.021739130434782608,0.009510869565217392,0.021739130434782608,0.02309782608695652,0.08152173913043478,0.025815217391304348,0.024456521739130436,0.025815217391304348,0.01358695652173913,0.009510869565217392,0.01358695652173913,0.006793478260869565,0.0,0.0,0.001358695652173913,194,3.7938144329896906,31.833333333333332,103.99048913043478
Unknown,16.0,22.0,0.0,2.0,2.0,8.0,3.0,3.0,2.0,1.0,2.0,0.0,5.0,2.0,1.0,1.0,6.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,7.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,6.0,1.0,0.0,3.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,6.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09823399558498896,0.07836644591611479,0.0673289183222958,0.10044150110375276,0.09161147902869757,0.12141280353200883,0.005518763796909493,0.04966887417218543,0.052980132450331126,0.04746136865342163,0.02759381898454746,0.03421633554083885,0.002207505518763797,0.03090507726269316,0.013245033112582781,0.0739514348785872,0.02207505518763797,0.01434878587196468,0.023178807947019868,0.018763796909492272,0.012141280353200883,0.009933774834437087,0.0011037527593818985,0.0,0.0,0.0,250,3.624,31.125,159.99668874172184
Unknown,14.0,21.0,0.0,0.0,3.0,21.0,0.0,2.0,1.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,5.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10552763819095477,0.07537688442211055,0.048994974874371856,0.08040201005025126,0.09296482412060302,0.11809045226130653,0.013819095477386936,0.05150753768844221,0.0942211055276382,0.05402010050251256,0.02512562814070352,0.016331658291457288,0.005025125628140704,0.02763819095477387,0.01256281407035176,0.07160804020100503,0.03768844221105527,0.005025125628140704,0.02135678391959799,0.008793969849246231,0.010050251256281407,0.013819095477386936,0.005025125628140704,0.0,0.002512562814070352,0.0,201,3.9601990049751246,28.571428571428573,111.99748743718592
Ezra,52.0,55.0,2.0,7.0,3.0,34.0,3.0,11.0,7.0,3.0,14.0,1.0,7.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,7.0,6.0,0.0,1.0,5.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,3.0,2.0,1.0,0.0,16.0,1.0,1.0,8.0,0.0,2.0,0.0,1.0,6.0,1.0,1.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,2.0,1.0,0.0,3.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09198926791874282,0.06362591031046377,0.05174396320429283,0.08432349559218091,0.09697201993100805,0.13568417018014564,0.009582215408202376,0.052127251820620925,0.052893829053277115,0.05787658106554235,0.03296282100421617,0.01686469911843618,0.00843234955921809,0.03487926408585665,0.01763127635109237,0.0697585281717133,0.021464162514373324,0.025297048677654272,0.019547719432732848,0.012265235722499043,0.02184745113070142,0.011881947106170947,0.006132617861249521,0.0,0.0011498658489842851,0.0,582,4.482817869415808,28.95,325.99693369106933
Nehemiah,17.0,13.0,0.0,6.0,2.0,9.0,0.0,0.0,6.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07977207977207977,0.08404558404558404,0.07977207977207977,0.10541310541310542,0.0811965811965812,0.11538461538461539,0.011396011396011397,0.03276353276353276,0.06125356125356125,0.08262108262108261,0.038461538461538464,0.009971509971509971,0.011396011396011397,0.018518518518518517,0.011396011396011397,0.07407407407407407,0.022792022792022793,0.019943019943019943,0.02564102564102564,0.01282051282051282,0.014245014245014245,0.007122507122507123,0.0,0.0,0.0,0.0,156,4.5,39.0,89.00000000000001
Mordecai,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09395973154362416,0.11409395973154363,0.06040268456375839,0.10067114093959731,0.08053691275167785,0.12751677852348994,0.026845637583892617,0.020134228187919462,0.04697986577181208,0.06711409395973154,0.013422818791946308,0.026845637583892617,0.006711409395973154,0.026845637583892617,0.020134228187919462,0.03355704697986577,0.0,0.026845637583892617,0.026845637583892617,0.013422818791946308,0.026845637583892617,0.020134228187919462,0.0,0.006711409395973154,0.0,0.0,35,4.257142857142857,34.0,17.986577181208055
Unknown,10.0,8.0,0.0,0.0,2.0,6.0,1.0,0.0,2.0,3.0,1.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,4.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,5.0,0.0,2.0,0.0,0.0,4.0,0.0,1.0,0.0,5.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09735973597359736,0.07425742574257425,0.037953795379537955,0.09900990099009901,0.10231023102310231,0.10561056105610561,0.013201320132013201,0.0462046204620462,0.06435643564356436,0.057755775577557754,0.028052805280528052,0.037953795379537955,0.0033003300330033004,0.033003300330033,0.018151815181518153,0.08415841584158416,0.019801980198019802,0.0231023102310231,0.013201320132013201,0.009900990099009901,0.0165016501650165,0.006600660066006601,0.0033003300330033004,0.0016501650165016502,0.0,0.0,168,3.607142857142857,16.8,104.99669966996699
David and others,10.0,20.0,5.0,0.0,4.0,11.0,4.0,6.0,2.0,2.0,8.0,0.0,4.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,7.0,6.0,0.0,0.0,0.0,16.0,0.0,7.0,0.0,5.0,0.0,1.0,3.0,1.0,3.0,1.0,0.0,4.0,0.0,3.0,2.0,0.0,14.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,15.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07377049180327869,0.06305170239596469,0.0403530895334174,0.09773013871374527,0.09520807061790669,0.11601513240857503,0.010718789407313998,0.0605296343001261,0.06368221941992434,0.07187894073139975,0.04476670870113493,0.02080706179066835,0.015762925598991173,0.029003783102143757,0.014501891551071878,0.07944514501891552,0.02269861286254729,0.025851197982345524,0.013871374527112233,0.018915510718789406,0.01197982345523329,0.006305170239596469,0.0012610340479192938,0.0,0.0,0.0006305170239596469,377,4.206896551724138,15.708333333333334,222.99873896595207
Solomon and others,6.0,10.0,4.0,1.0,1.0,6.0,2.0,1.0,1.0,1.0,3.0,0.0,3.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,4.0,2.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07976366322008863,0.06646971935007386,0.03692762186115214,0.08419497784342689,0.08567208271787297,0.1137370753323486,0.0206794682422452,0.06351550960118169,0.06794682422451995,0.08419497784342689,0.04431314623338257,0.01624815361890694,0.008862629246676515,0.019202363367799114,0.004431314623338257,0.07680945347119646,0.03692762186115214,0.028064992614475627,0.0206794682422452,0.007385524372230428,0.014771048744460856,0.004431314623338257,0.0,0.0,0.0,0.0,170,3.9823529411764707,18.77777777777778,82.98522895125554
Solomon,1.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08786610878661087,0.06694560669456066,0.04184100418410042,0.11715481171548117,0.07112970711297072,0.08786610878661087,0.012552301255230125,0.05439330543933055,0.07531380753138076,0.07112970711297072,0.029288702928870293,0.02092050209205021,0.0041841004184100415,0.02510460251046025,0.012552301255230125,0.09623430962343096,0.03347280334728033,0.029288702928870293,0.012552301255230125,0.012552301255230125,0.012552301255230125,0.0041841004184100415,0.0,0.0,0.0,0.0,60,3.9833333333333334,19.333333333333332,22.97907949790794
Isaiah,20.0,35.0,0.0,3.0,0.0,23.0,1.0,11.0,2.0,1.0,4.0,0.0,3.0,2.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,5.0,6.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09048723897911833,0.06728538283062645,0.05955143078112916,0.09358081979891725,0.10672853828306264,0.1345707656612529,0.008507347254447023,0.060324825986078884,0.050270688321732405,0.05491105955143078,0.0317092034029389,0.014694508894044857,0.013147718484145398,0.014694508894044857,0.0069605568445475635,0.07811291569992267,0.02397525135344161,0.019334880123743233,0.02165506573859242,0.014694508894044857,0.013147718484145398,0.01237432327919567,0.0007733952049497294,0.0,0.006187161639597835,0.0,308,4.1980519480519485,25.583333333333332,177.99767981438518
Jeremiah,23.0,44.0,2.0,7.0,0.0,35.0,5.0,8.0,4.0,1.0,14.0,6.0,10.0,3.0,3.0,0.0,17.0,1.0,0.0,1.0,1.0,4.0,10.0,4.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,1.0,5.0,15.0,8.0,0.0,1.0,0.0,0.0,0.0,4.0,6.0,0.0,4.0,0.0,3.0,0.0,1.0,4.0,2.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,4.0,0.0,4.0,0.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09103078982597054,0.07228915662650602,0.04863900044622936,0.09147701918786257,0.07987505577867024,0.12003569834895136,0.011155734047300312,0.055778670236501564,0.05042391789379741,0.049085229808121376,0.03614457831325301,0.013833110218652387,0.012940651494868362,0.029451137884872823,0.01651048639000446,0.08879964301651048,0.027666220437304774,0.03257474341811691,0.012940651494868362,0.020526550647032574,0.01740294511378849,0.008478357875948238,0.009817045961624275,0.0,0.000892458723784025,0.0004462293618920125,548,4.089416058394161,36.46666666666667,315.9982150825524
