Author,and,with,the,them,unto,but,there,was,that,could,it,to,me,said,of,is,one,god,hath,what,he,do,are,shall,be,which,have,throughout,all,in,not,by,for,because,will,now,therefore,let,out,man,him,those,his,we,such,as,whom,thee,thou,shalt,my,according,thy,than,from,upon,had,they,without,no,or,when,forth,were,every,much,into,ye,thence,may,lest,among,their,himself,whence,lord,our,hence,your,if,did,verily,would,also,an,make,wherefore,became,hast,been,other,whatsoever,seemeth,then,again,thine,yet,thus,once,where,moreover,whosoever,these,who,should,neither,many,thereof,say,shouldest,like,how,thyself,yea,abundance,her,till,upward,downward,cometh,more,wherewith,ever,becometh,some,thereon,didst,each,inasmuch,whereto,seest,therewith,wherein,whereof,thereby,being,outward,howsoever,henceforth,whereby,must,thereupon,doeth,thereunto,oft,oftentimes,whither,underneath,whereunto,whensoever,wherewithal,whose,hereof,therein,notwithstanding,whereon,soever,forthwith,therefrom,wheresoever,whoso,ought,a_percentage_use,n_percentage_use,d_percentage_use,b_percentage_use,e_percentage_use,h_percentage_use,o_percentage_use,l_percentage_use,s_percentage_use,v_percentage_use,r_percentage_use,w_percentage_use,i_percentage_use,t_percentage_use,p_percentage_use,u_percentage_use,g_percentage_use,f_percentage_use,m_percentage_use,c_percentage_use,j_percentage_use,k_percentage_use,y_percentage_use,z_percentage_use,x_percentage_use,q_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
Moses,98.0,5.0,107.0,18.0,28.0,8.0,8.0,16.0,19.0,1.0,8.0,22.0,4.0,20.0,60.0,16.0,10.0,9.0,4.0,3.0,23.0,7.0,14.0,15.0,17.0,7.0,3.0,2.0,25.0,31.0,13.0,6.0,14.0,2.0,2.0,2.0,3.0,7.0,3.0,5.0,13.0,2.0,12.0,7.0,1.0,5.0,1.0,3.0,3.0,1.0,6.0,2.0,4.0,1.0,4.0,3.0,2.0,8.0,2.0,2.0,2.0,4.0,2.0,3.0,1.0,1.0,2.0,14.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,8.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09097395647520513,0.07599001070281841,0.051908669282911164,0.01641098822689975,0.13110952550838387,0.08455226542989654,0.08080627898679986,0.035319300749197285,0.057616839100963255,0.00927577595433464,0.05226542989653942,0.01658936853371388,0.045843738851230824,0.08740635033892258,0.023902961113093115,0.026221905101676775,0.015519086692829111,0.026400285408490903,0.02015697466999643,0.014805565465572601,0.005351409204423832,0.004102747056724938,0.02336782019265073,0.00017838030681412772,0.00035676061362825543,0.00017838030681412772,1421,3.945109078114004,24.379310344827587,803.9966107741707
Joshua,20.0,0.0,20.0,4.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,9.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0779976717112922,0.06868451688009314,0.0570430733410943,0.018626309662398137,0.15017462165308498,0.0779976717112922,0.09080325960419092,0.033760186263096625,0.04540162980209546,0.008149010477299184,0.050058207217694994,0.01629802095459837,0.04074505238649592,0.10942956926658906,0.02211874272409779,0.037252619324796274,0.011641443538998836,0.025611175785797437,0.025611175785797437,0.009313154831199068,0.008149010477299184,0.0034924330616996507,0.009313154831199068,0.0,0.0011641443538998836,0.0,220,3.9045454545454548,36.666666666666664,112.99883585564608
Samuel,32.0,3.0,30.0,3.0,11.0,0.0,1.0,4.0,5.0,0.0,2.0,8.0,5.0,8.0,27.0,1.0,1.0,0.0,0.0,1.0,3.0,2.0,2.0,2.0,5.0,1.0,2.0,0.0,2.0,7.0,3.0,0.0,2.0,0.0,1.0,3.0,1.0,1.0,4.0,2.0,3.0,0.0,3.0,5.0,0.0,0.0,0.0,3.0,4.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,3.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09354647720544701,0.07282415630550622,0.05979869745411486,0.010657193605683837,0.1290704558910598,0.08880994671403197,0.07282415630550622,0.037300177619893425,0.046773238602723505,0.0076968620485494375,0.046773238602723505,0.021906453522794554,0.05920663114268798,0.09354647720544701,0.014209591474245116,0.022498519834221433,0.02486678507992895,0.02664298401420959,0.03019538188277087,0.013617525162818236,0.006512729425695678,0.0,0.013617525162818236,0.0005920663114268798,0.0005920663114268798,0.0,417,4.0503597122302155,27.533333333333335,242.99407933688582
Unknown,13.0,0.0,14.0,3.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,4.0,1.0,2.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09523809523809523,0.06758832565284179,0.07680491551459294,0.01228878648233487,0.13671274961597543,0.07834101382488479,0.04915514592933948,0.05222734254992319,0.05069124423963134,0.02304147465437788,0.043010752688172046,0.009216589861751152,0.08602150537634409,0.08602150537634409,0.027649769585253458,0.016897081413210446,0.009216589861751152,0.016897081413210446,0.03225806451612903,0.010752688172043012,0.0,0.004608294930875576,0.009216589861751152,0.0030721966205837174,0.0,0.0015360983102918587,148,4.398648648648648,24.666666666666668,78.9984639016897
Unknown,22.0,0.0,7.0,5.0,2.0,0.0,2.0,3.0,2.0,0.0,0.0,7.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,4.0,0.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,4.0,3.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091005291005291,0.08465608465608465,0.05396825396825397,0.013756613756613757,0.11322751322751323,0.06666666666666667,0.09735449735449736,0.042328042328042326,0.06666666666666667,0.013756613756613757,0.05502645502645503,0.01798941798941799,0.050793650793650794,0.08042328042328042,0.007407407407407408,0.025396825396825397,0.016931216931216932,0.015873015873015872,0.042328042328042326,0.022222222222222223,0.0,0.0010582010582010583,0.020105820105820106,0.0,0.0,0.0,217,4.354838709677419,27.125,104.99894179894177
Unknown,15.0,1.0,13.0,1.0,2.0,1.0,1.0,2.0,4.0,0.0,3.0,2.0,1.0,4.0,12.0,4.0,1.0,2.0,0.0,0.0,6.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,4.0,3.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,4.0,0.0,4.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09016393442622951,0.07650273224043716,0.04918032786885246,0.009562841530054645,0.11065573770491803,0.08879781420765027,0.06967213114754098,0.03415300546448088,0.07513661202185792,0.00546448087431694,0.04781420765027322,0.01912568306010929,0.07377049180327869,0.09289617486338798,0.015027322404371584,0.01912568306010929,0.020491803278688523,0.025956284153005466,0.020491803278688523,0.02185792349726776,0.0,0.015027322404371584,0.01639344262295082,0.0,0.0,0.0,195,3.753846153846154,27.857142857142858,120.99726775956287
Ezra,38.0,6.0,59.0,2.0,3.0,2.0,1.0,10.0,7.0,0.0,9.0,13.0,2.0,5.0,34.0,4.0,3.0,2.0,0.0,0.0,6.0,1.0,2.0,2.0,2.0,2.0,1.0,0.0,4.0,9.0,4.0,4.0,2.0,0.0,0.0,1.0,4.0,0.0,3.0,0.0,6.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,4.0,3.0,3.0,2.0,3.0,0.0,2.0,0.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07913978494623657,0.057634408602150536,0.06666666666666667,0.016774193548387096,0.13161290322580646,0.08645161290322581,0.07010752688172044,0.04172043010752688,0.05075268817204301,0.017204301075268817,0.04946236559139785,0.021075268817204302,0.07139784946236559,0.10623655913978494,0.012473118279569893,0.01935483870967742,0.015483870967741935,0.024516129032258065,0.022795698924731184,0.013763440860215054,0.004731182795698925,0.0064516129032258064,0.011182795698924731,0.0012903225806451613,0.00043010752688172043,0.00043010752688172043,555,4.1891891891891895,27.75,317.99913978494607
Nehemiah,5.0,1.0,8.0,2.0,1.0,0.0,2.0,1.0,4.0,0.0,0.0,1.0,1.0,2.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07990867579908675,0.06621004566210045,0.02968036529680365,0.0091324200913242,0.14840182648401826,0.0730593607305936,0.0730593607305936,0.02511415525114155,0.0502283105022831,0.01598173515981735,0.0776255707762557,0.02968036529680365,0.0502283105022831,0.10273972602739725,0.01598173515981735,0.0319634703196347,0.02054794520547945,0.02968036529680365,0.0273972602739726,0.0091324200913242,0.0045662100456621,0.0045662100456621,0.0228310502283105,0.0,0.0,0.0,114,3.8421052631578947,28.5,62.99771689497718
Mordecai,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06363636363636363,0.07272727272727272,0.031818181818181815,0.013636363636363636,0.14545454545454545,0.05909090909090909,0.08181818181818182,0.05,0.03636363636363636,0.02727272727272727,0.07272727272727272,0.00909090909090909,0.06363636363636363,0.09090909090909091,0.031818181818181815,0.031818181818181815,0.03636363636363636,0.01818181818181818,0.004545454545454545,0.02727272727272727,0.0,0.004545454545454545,0.01818181818181818,0.0,0.0,0.0,48,4.583333333333333,47.0,31.990909090909085
Unknown,6.0,3.0,5.0,0.0,2.0,1.0,1.0,0.0,4.0,0.0,2.0,0.0,8.0,0.0,4.0,5.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,3.0,1.0,0.0,1.0,0.0,1.0,4.0,1.0,5.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06572769953051644,0.07355242566510173,0.0406885758998435,0.010954616588419406,0.11267605633802817,0.07668231611893583,0.07668231611893583,0.04538341158059468,0.07042253521126761,0.004694835680751174,0.03286384976525822,0.03442879499217527,0.07668231611893583,0.09233176838810642,0.01564945226917058,0.03599374021909233,0.009389671361502348,0.023474178403755867,0.04538341158059468,0.01564945226917058,0.001564945226917058,0.010954616588419406,0.025039123630672927,0.0,0.001564945226917058,0.0,171,3.736842105263158,17.1,100.99843505477313
David and others,22.0,3.0,40.0,2.0,2.0,3.0,1.0,0.0,4.0,0.0,2.0,7.0,2.0,0.0,19.0,5.0,0.0,1.0,1.0,0.0,4.0,2.0,3.0,17.0,11.0,0.0,2.0,0.0,0.0,10.0,8.0,0.0,7.0,3.0,0.0,0.0,1.0,2.0,1.0,3.0,5.0,1.0,4.0,1.0,1.0,4.0,0.0,3.0,6.0,4.0,0.0,0.0,12.0,1.0,1.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07069059271343121,0.06416530723219141,0.04241435562805873,0.016856987493202826,0.1250679717237629,0.0929853181076672,0.06905927134312126,0.0511147362697118,0.06470908102229472,0.009244154431756389,0.051658510059815116,0.02011963023382273,0.06199021207177814,0.11364872213159326,0.010875475802066341,0.0255573681348559,0.019032082653616094,0.025013594344752584,0.015225666122892877,0.015769439912996192,0.0016313213703099511,0.010875475802066341,0.01957585644371941,0.0,0.000543773790103317,0.001087547580206634,440,4.179545454545455,18.333333333333332,271.9989124524198
